488538;cellular organisms;Bacteria;Pseudomonadota;Alphaproteobacteria; ; ;SAR116 cluster;Candidatus Puniceispirillum;Candidatus Puniceispirillum marinum;Candidatus Puniceispirillum marinum IMCC13
1944648;cellular organisms;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;Ralstonia syzygii;Ralstonia syzygii subsp. celebesensis;blood disease bacterium A2-HR MAR
413404;cellular organisms;Bacteria;Pseudomonadota;Gammaproteobacteria; ; ;sulfur-oxidizing symbionts;Candidatus Ruthturnera;Candidatus Ruthturnera calyptogenae;Candidatus Ruthia magnifica str. Cm (Calyptogena magnific
2026885;cellular organisms;Bacteria; ; ; ; ;Bacteria candidate phyla;Candidatus Bipolaricaulota;Candidatus Bipolaricaulis;Candidatus Bipolaricaulis anaerobi
1332188;cellular organisms;Bacteria; ; ; ; ;Bacteria candidate phyla;Candidatus Saccharibacteria;Candidatus Saccharimonadia;Candidatus Saccharimonadales;Candidatus Saccharimonadaceae;Candidatus Saccharimonas;Candidatus Saccharimonas aalborgens
2093823;cellular organisms;Bacteria; ; ; ; ;Bacteria candidate phyla;Candidatus Saccharibacteria;Candidatus Saccharimonadia;Candidatus Nanosynbacterales;Candidatus Nanosynbacteraceae;Candidatus Nanosynbact
1551504;cellular organisms;Bacteria; ; ; ; ;Bacteria candidate phyla;Candidatus Dependentiae;Candidatus Babeliae;Candidatus Babeliales;Candidatus Babeliaceae;Candidatus Babe
6033;cellular organisms;Eukaryota;Opisthokonta;Fungi; ; ;Microsporidia;Apansporoblastina;Unikaryonidae;Encephalitozo
