1414737;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Rhizobium phage vB_RleS_L33; ; ; ; ; 
2656526;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Mufasoctovirus;Mufasoctovirus mufasa8;Arthrobacter phage Mufas; ; ; 
1821559;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Jujuvirus;Gordonia phage Oblivia; ; ; ; 
573591;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Stenotrophomonas phage ; ; ; ; ; 
1414742;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Arthrobacter phage vB_ArS-Ar; ; ; ; ; 
1838081;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Jujuvirus;Gordonia phage U; ; ; ; 
1838072;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Gordonia phage McGonaga; ; ; ; ; 
909297;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Synechococcus phage S-CB; ; ; ; ; 
906669;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Escherichia phage HK6; ; ; ; ; 
2656582;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Indlulamithivirus;Indlulamithivirus indlulamithi;Mycobacterium phage Indlulamit; ; ; 
2599838;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Triplejayvirus;Triplejayvirus tripleJ;Arthrobacter phage Tripl; ; ; 
2591132;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Whackvirus;Whackvirus whack;Rhodococcus phage Wha; ; ; 
1821553;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Jujuvirus;Gordonia phage Guacamo; ; ; ; 
2250352;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Orlajensenviridae;Pelczarvirinae;Paopuvirus;Paopuvirus quaker;Microbacterium phage Quak; 
2283267;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Boydwoodruffvirinae;Karimacvirus;Streptomyces virus Wollford;Streptomyces phage Wollfo; ; 
294631;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Flavobacterium phage 1; ; ; ; ; 
754044;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casjensviridae;Broinstvirus;Broinstvirus pCB2051A;Loktanella phage pCB2051; ; 
753085;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Synechococcus phage S-CB; ; ; ; ; 
2729575;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casjensviridae;Jacunavirus;Jacunavirus JC01;Cronobacter phage JC; ; 
45764;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Hnatkovirus;Hnatkovirus DS6A;Mycobacterium phage DS; ; ; 
1589748;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Achromobacter phage J; ; ; ; ; 
59241;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Streptococcus phage Dp; ; ; ; ; 
1964565;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casjensviridae;Sessunavirus;Sessunavirus SESS1;Synechococcus virus S-ES; ; 
1647471;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Gordonia phage GM; ; ; ; ; 
753084;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Synechococcus phage S-CB; ; ; ; ; 
747763;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Streptomyces phage phiSAS; ; ; ; ; 
1647475;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zierdtviridae;Emilbogenvirinae;Foxborovirus;Foxborovirus GTE8;Gordonia phage GT; 
2026102;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casjensviridae;Seodaemunguvirus;Seodaemunguvirus YMC16-01N133;Klebsiella phage YMC16/01/N133_KPN_; ; 
2315217;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casjensviridae;Dunedinvirus;Dunedinvirus JS26;Serratia phage JS; ; 
1690818;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Streptomyces phage S; ; ; ; ; 
1109713;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Rhodococcus phage RE; ; ; ; ; 
2507858;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Deejayvirinae;Kenoshavirus;Kenoshavirus duffington;Gordonia phage Duffingt; ; 
1105171;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Bacteroides phage B124-; ; ; ; ; 
2759389;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Archimedesvirus;Archimedesvirus archimedes;Gordonia phage Archimed; ; ; 
2099336;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Tandoganvirus;Tandoganvirus A403;Anoxybacillus phage A4; ; ; 
319522;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zierdtviridae;Emilbogenvirinae;Gruunavirus;Gruunavirus GTE5;Gordonia phage GT; 
1982746;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Woodruffvirus;Woodruffvirus TP16; ; ; ; 
1982747;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Woodruffvirus;Woodruffvirus YDN; ; ; ; 
2301302;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Woodruffvirus; ; ; ; ; 
2562717;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Weiservirinae;Timquatrovirus; ; ; ; 
1195070;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Weiservirinae;Keshuvirus;Keshuvirus macnchee; ; ; 
861044;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Weiservirinae;Anayavirus;Anayavirus angeli; ; ; 
1034114;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Weiservirinae;Keshuvirus;Keshuvirus pix; ; ; 
1993872;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Weiservirinae;Timquatrovirus;Mycobacterium virus T; ; ; 
2315863;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Bclasvirinae; ; ; ; ; 
1982898;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Bclasvirinae;Coopervir; ; ; ; 
1982900;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Bclasvirinae;Rosebushvir; ; ; ; 
1623295;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Bclasvirinae;Pegunavir; ; ; ; 
1982897;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Bclasvirinae;Acadianvir; ; ; ; 
1982899;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Bclasvirinae;Pipefishvir; ; ; ; 
2562661;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Fromanvirus; ; ; ; ; 
1089111;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Fromanvirus;Fromanvirus al; ; ; ; 
1041807;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Fromanvirus;Fromanvirus benedi; ; ; ; 
1993873;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Timshelvirus;Timshelvirus timsh; ; ; ; 
1211282;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Fromanvirus;Fromanvirus goo; ; ; ; 
28369;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Fromanvirus;Fromanvirus D; ; ; ; 
540068;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pukovnikvirus;Pukovnikvirus pukovn; ; ; ; 
1225862;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Fromanvirus;Fromanvirus rebeu; ; ; ; 
2003504;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Fromanvirus;Fromanvirus redro; ; ; ; 
205870;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Microwolfvirus;Microwolfvirus Bx; ; ; ; 
1993867;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Fromanvirus;Fromanvirus trix; ; ; ; 
1993865;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Turbidovirus;Turbidovirus turbi; ; ; ; 
1034108;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Fromanvirus;Fromanvirus JC; ; ; ; 
