2591031;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casjensviridae;Sharonstreetvirus;Sharonstreetvirus LAh7;Aeromonas phage LAh; ; 
2593268;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casjensviridae;Gwanakrovirus;Gwanakrovirus SNUABM08;Erwinia phage pEp_SNUABM_; ; 
2599838;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Triplejayvirus;Triplejayvirus tripleJ;Arthrobacter phage Tripl; ; ; 
2599845;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Lambovirus;Lambovirus lambo;Gordonia phage Lam; ; ; 
1527493;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Sparkyvirus;Sparkyvirus sparky;Mycobacterium phage Spar; ; ; 
1109717;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Rhodococcus phage RR; ; ; ; ; 
1308863;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Bacillus phage vB_BanS-Tsam; ; ; ; ; 
1109712;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Rhodococcus phage RE; ; ; ; ; 
45764;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Hnatkovirus;Hnatkovirus DS6A;Mycobacterium phage DS; ; ; 
2315475;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casjensviridae;Yonseivirus;Yonseivirus seifer;Klebsiella phage Seif; ; 
1089121;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Mycobacterium phage Do; ; ; ; ; 
1838062;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Jujuvirus;Gordonia phage Blueber; ; ; ; 
2283304;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Boydwoodruffvirinae;Karimacvirus;Streptomyces virus LukeCage;Streptomyces phage LukeCa; ; 
1071177;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Psychrobacter phage Psym; ; ; ; ; 
1414742;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Arthrobacter phage vB_ArS-Ar; ; ; ; ; 
1589748;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Achromobacter phage J; ; ; ; ; 
2729575;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casjensviridae;Jacunavirus;Jacunavirus JC01;Cronobacter phage JC; ; 
2126925;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Orlajensenviridae;Pelczarvirinae;Bonaevitaevirus;Bonaevitaevirus bonaevitae;Microbacterium phage BonaeVit; 
909297;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Synechococcus phage S-CB; ; ; ; ; 
984186;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Cronobacter phage ENT476; ; ; ; ; 
2743909;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Zitchvirus;Zitchvirus zitch;Gordonia Phage Zit; ; ; 
1538804;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Queuovirinae;Vibrio phage VpK; ; ; ; 
2250336;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Annadreamyvirus;Annadreamyvirus blueeyedbeauty;Streptomyces phage Blueeyedbeau; ; ; 
2571253;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Fairfaxidumvirus;Fairfaxidumvirus william;Gordonia phage Willi; ; ; 
2557579;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Ravarandavirus;Ravarandavirus kac65v151;Nodularia phage vB_NspS-kac65v1; ; ; 
2250352;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Orlajensenviridae;Pelczarvirinae;Paopuvirus;Paopuvirus quaker;Microbacterium phage Quak; 
2283249;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Orlajensenviridae;Pelczarvirinae;Paopuvirus;Paopuvirus Scamander;Microbacterium phage Scamand; 
2507858;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Deejayvirinae;Kenoshavirus;Kenoshavirus duffington;Gordonia phage Duffingt; ; 
2507854;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Deejayvirinae;Kenoshavirus;Kenoshavirus rickmore;Gordonia phage Rickmo; ; 
2488789;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Gilsonvirus;Gilsonvirus gilson;Streptomyces phage Gils; ; ; 
2419978;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Fowlmouthvirus;Fowlmouthvirus fowlmouth;Mycobacterium phage Fowlmou; ; ; 
691966;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Rhodococcus phage ReqiDoc; ; ; ; ; 
2696356;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Arawnvirus;Arawnvirus ara; ; ; ; 
1458863;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Shewanella sp. phage 3/; ; ; ; ; 
2742114;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casjensviridae;Zhonglingvirus;Zhonglingvirus SAP012;Salmonella phage SAP0; ; 
747763;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Streptomyces phage phiSAS; ; ; ; ; 
753085;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Synechococcus phage S-CB; ; ; ; ; 
2686278;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Tantvirus;Tantvirus tant;Flavobacterium phage vB_FspS_tant8; ; ; 
754053;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Paenibacillus phage P; ; ; ; ; 
1643326;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Rockvillevirus;Rockvillevirus phi4J1;Bacillus phage phi4; ; ; 
330398;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Listeria phage P; ; ; ; ; 
2656526;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Mufasoctovirus;Mufasoctovirus mufasa8;Arthrobacter phage Mufas; ; ; 
1647471;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Gordonia phage GM; ; ; ; ; 
1964565;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casjensviridae;Sessunavirus;Sessunavirus SESS1;Synechococcus virus S-ES; ; 
2591132;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Whackvirus;Whackvirus whack;Rhodococcus phage Wha; ; ; 
370623;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Streptomyces phage mu1; ; ; ; ; 
1868596;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Pseudomonas phage M; ; ; ; ; 
2608321;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Casjensviridae;Sharonstreetvirus;Sharonstreetvirus A18P4;Aeromonas phage vB_AhyS-A18; ; 
1647309;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Gclasvirinae;Pinnievirus;Pinnievirus moorethemaryer;Mycobacterium phage MOOREtheMARY; ; 
322855;Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Alachuavirus;Alachuavirus Xp15;Xanthomonas phage Xp; ; ; 
