"","auc5_percent_between","f_stat_between","var_between"
"1",26,-0.095430088561746,NA
"2",63,0.109866671169578,0.0210733797780905
"3",109,0.566307232378619,0.114730171233056
"4",164,0.333486475509017,0.0813801473378959
"5",232,0.385992636886423,0.0659922703952929
"6",312,0.325502006662564,0.0535079286476253
"7",405,0.388650944924922,0.0465688739968246
"8",512,0.561097056863602,0.0492547755587782
"9",632,0.614360924464965,0.0525994216957489
"10",771,0.723161656381042,0.0603516410807444
"11",928,0.87904071629265,0.0759429718517163
"12",1104,0.822634287262314,0.0815194689390491
"13",1303,1.12151016723162,0.10758928414594
"14",1533,1.15592839721857,0.128365946028079
"15",1800,1.61912212613505,0.193454900730315
"16",2118,1.46029679873171,0.22322232986436
"17",2511,1.54270648935792,0.252472403949758
"18",3015,1.39153034758104,0.261484848659274
"19",3704,1.62143717495217,0.284885395972199
"20",6021,1.44427438916242,0.289551215434533
