"","auc5_percent_between","f_stat_between","var_between"
"1",9,-0.392998159837021,NA
"2",26,1.77681287289753,2.3540399588883
"3",49,1.98983713977416,1.73856055352134
"4",78,0.457005131795366,1.27044461292262
"5",113,0.759710528645229,0.960670594547351
"6",155,0.955313843297127,0.76876761613307
"7",205,1.30518460617621,0.661366558220141
"8",263,0.637658693038626,0.581423853390935
"9",331,3.61997370667241,1.30911951858655
"10",408,3.74864960707963,1.79586845539529
"11",496,3.06609028879047,1.84333494578281
"12",594,5.031514090645,2.6402990694467
"13",706,4.38067677090431,2.88873120773995
"14",834,3.83056593671624,2.87976634393969
"15",980,3.19992312103736,2.73728532727965
"16",1150,3.41938714726514,2.6343696023286
"17",1357,2.90080803757536,2.48682533568442
"18",1621,2.81007841401508,2.35019169191946
"19",1998,2.85416301287908,2.22970907724126
"20",3686,2.41043683451073,2.11239817908311
