"","auc5_percent_close","f_stat_close","var_close"
"1",137,0.111918194278129,NA
"2",276,0.199013953071632,0.00379283559990799
"3",418,0.180572742619267,0.00210653274178168
"4",562,0.0384456094327446,0.00533497767844231
"5",710,-0.108598616928624,0.0156257484538627
"6",861,-0.178379138213227,0.0239980600258023
"7",1015,-0.272349651514158,0.0339801065201072
"8",1173,-0.330066168589115,0.0423996693240561
"9",1335,-0.321487087973912,0.0455978895749033
"10",1503,-0.243025674333512,0.0433326208776414
"11",1676,-0.376661517901284,0.0463454607245958
"12",1855,-0.430453088495662,0.0502554285256057
"13",2040,-0.516998969171164,0.0567549698174875
"14",2231,-0.748959754553284,0.0760900673719271
"15",2430,-0.889602533285827,0.101077693131188
"16",2638,-0.948894988913151,0.124076993622243
"17",2858,-1.17124383580298,0.160745810957414
"18",3093,-1.1594990371578,0.187395357891014
"19",3354,-1.18067816863321,0.209215439448097
"20",3686,-1.07620548715677,0.218485700085682
