"","auc5_percent_close","f_stat_close","var_close"
"1",137,1.78559040280868,NA
"2",276,1.44874383633578,0.0567328046722912
"3",418,1.32578398320275,0.056667779722985
"4",562,1.22725535336572,0.0592091453966937
"5",710,1.00089070437454,0.0841816193115557
"6",861,0.8052935542295,0.118195428494531
"7",1015,0.825459191719123,0.126170153967004
"8",1173,0.87580742949012,0.121504556622108
"9",1335,1.1379462883663,0.106379990775864
"10",1503,1.2555860431674,0.095489081397581
"11",1676,1.11498677483114,0.0862037827531431
"12",1855,1.29858047142385,0.0798777393426253
"13",2040,1.25221756075943,0.0736780161310531
"14",2231,1.19813727420699,0.0680312395759271
"15",2430,1.2176060314835,0.0632549398605983
"16",2638,1.26867703194349,0.0594791332958
"17",2858,1.16101971295054,0.0558107848566811
"18",3093,1.57192882624771,0.0607077759531703
"19",3354,1.90457914285098,0.0827612054937617
"20",3686,2.41043683451073,0.146188203818034
