"","auc5_percent_deg","f_stat_deg","var_deg"
"1",80,1.43629068118489,NA
"2",168,1.40876840740714,0.000378737776948537
"3",262,1.26875038949957,0.00807204503844414
"4",364,1.22477522079132,0.0107465307000112
"5",477,1.13918908766499,0.0157005926010709
"6",603,1.08906198859802,0.0196670180025511
"7",742,1.11593320831894,0.0194012970771214
"8",894,1.09080242808848,0.0194269466874165
"9",1061,1.03056640995304,0.0210575431519224
"10",1242,0.967547811337778,0.0241426136222859
"11",1441,1.01244395795394,0.0241950973147193
"12",1661,1.02257523812451,0.0236199835749815
"13",1906,1.00765624347166,0.0232225071717473
"14",2182,0.986876496609105,0.0231014573675485
"15",2496,0.968741103599,0.0231562864624447
"16",2859,0.999010924809129,0.0224974128849374
"17",3287,1.00144296049427,0.0217917323450204
"18",3812,1.10420217885478,0.0205098659304508
"19",4518,1.09006278694155,0.0193808682728348
"20",6093,1.36201462694552,0.0217047660966913
