"","auc5_percent_between","f_stat_between","var_between"
"1",9,-1.99856358808269,NA
"2",26,-1.45453239297318,0.14798497062614
"3",49,-1.49274690084026,0.0922134684927851
"4",78,-1.87793563995301,0.0746227155932516
"5",113,-1.66189859237314,0.0563550473892088
"6",155,-1.47105479492922,0.0536027796311246
"7",205,-1.09199437504382,0.0906706861685836
"8",263,-1.15937883719126,0.099663969715625
"9",331,-0.731258321352137,0.157387664838893
"10",408,-0.630171073330583,0.205111581754698
"11",496,-0.479422694304268,0.254605899034881
"12",594,-0.0678323882178873,0.353336294472927
"13",706,-0.086137560744381,0.415327779913634
"14",834,0.0720246361565365,0.480250500447628
"15",980,-0.0719256173163861,0.504531214016019
"16",1150,0.0323952518924887,0.530829016365516
"17",1357,-0.289105768429435,0.518585583587533
"18",1621,-0.417865976690766,0.498481941900428
"19",1998,-0.483226934085816,0.476991228662954
"20",3285,-1.08027463644623,0.455580742108781
