"","AJwcM2MAIPOOA100700.extra.kraken2.report","Ia7iM2MAIPOOB100245.extra.kraken2.report","P0ZQM2MAIPOOA100240.extra.kraken2.report","qU3SM2MAIPOOM070605.extra.kraken2.report","c5isM2MAIPOOA070615.extra.kraken2.report","TgLUM2MAIPOOM070620.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2619029",161,84,88,169,133,127,"v_1412",109,3.17289082082686e-05,6423.88165362053
"1765049",220,113,145,88,177,179,"v_2668",226,3.17268948887972e-05,40411.9108243698
"262776",162,48,66,73,63,44,"v_489",52,3.17248818248152e-05,3753.43644960424
"2732364",17,16,12,12,51,23,"v_2398",54,3.17248818248152e-05,5981.924907073
"2807626",122,98,201,67,110,104,"v_2541",81,3.17248818248152e-05,9067.36550237974
"1094342",215,140,130,125,154,141,"v_3504",132,3.17248818248152e-05,28895.0656351295
"78258",111,39,72,36,43,51,"v_756",30,3.17218627077782e-05,9528.23051707617
"2489010",25,18,30,22,27,20,"v_3167",23,3.17188441653186e-05,1813.11341494523
"658644",87,63,103,57,83,72,"v_2897",82,3.17178381121543e-05,5152.96820533806
"2518645",21,9,6,13,13,14,"v_4336",130,3.17178381121543e-05,48265.6202674916
"2108365",16,7,7,8,24,10,"v_4372",103,3.17168321228076e-05,44484.8232126858
"2488639",20,11,15,16,14,15,"v_3367",95,3.17138145376126e-05,10298.099204246
"1960083",209,91,109,112,120,98,"v_702",90,3.17128088034757e-05,9280.20999767914
"651740",125,93,137,56,113,105,"v_2985",58,3.17037600659438e-05,15656.7740021824
"256701",158,83,92,84,89,95,"v_159",71,3.17027549694068e-05,18053.1149513697
"768670",21,15,27,19,22,21,"v_4403",29,3.17027549694068e-05,2287.95820877518
"2547598",69,50,85,36,63,50,"v_3538",42,3.16987352204647e-05,4321.47996584541
"133549",44,22,22,25,21,24,"v_459",71,3.1694716490761e-05,7097.82417880996
"437900",152,96,121,110,87,131,"v_3039",68,3.16937119675456e-05,7966.89145236455
"1538553",178,121,134,95,156,172,"v_3696",227,3.16917031121252e-05,26257.7092580013
"187491",143,96,82,126,102,113,"v_537",143,3.16866820875186e-05,8378.2755623026
"1126833",226,103,146,145,189,177,"v_922",301,3.16856780735108e-05,55609.342167965
"487909",49,61,42,41,43,46,"v_2793",14,3.16816626536561e-05,1049.38560305739
"640081",188,115,133,112,192,172,"v_2667",302,3.16796553253501e-05,59311.4577379175
"1637831",25,5,17,12,30,12,"v_2407",65,3.16766448097817e-05,7852.94879082052
"84032",49,26,33,15,31,18,"v_1184",26,3.1675641431739e-05,6482.08571183486
"637971",23,4,20,19,19,14,"v_1053",14,3.16716285551403e-05,10927.2622134583
"2608981",202,113,130,111,155,126,"v_3695",117,3.16676166951675e-05,20899.655623486
"1420917",207,144,141,110,137,122,"v_3545",136,3.1661600810537e-05,10189.9263889871
"46224",45,12,31,35,26,30,"v_830",48,3.16595960235547e-05,2631.90299529996
"2619321",185,57,103,135,122,127,"v_1389",146,3.16585937252667e-05,7796.11182935235
"2739063",39,39,23,26,32,36,"v_3823",39,3.16565893190668e-05,1980.05902460092
"395598",138,101,188,74,116,93,"v_3047",70,3.16555872111428e-05,10589.2029119676
"558541",19,15,20,18,11,17,"v_3603",42,3.16555872111428e-05,5167.65949177375
"2787628",17,9,16,10,19,12,"v_4320",105,3.16545851666614e-05,19971.5370887842
"113653",31,15,13,13,17,15,"v_4621",108,3.16545851666614e-05,19087.9043933069
"1336806",101,68,117,54,81,87,"v_3523",48,3.16535831856166e-05,9804.27577076581
"1590041",119,103,129,58,127,133,"v_2690",67,3.16525812680024e-05,3248.23843132754
"2706126",187,145,119,104,140,168,"v_2881",206,3.16515794138128e-05,44959.7944613206
"2547962",20,9,11,7,10,16,"v_3322",88,3.16505776230416e-05,32146.2252669103
"122355",84,51,95,62,59,73,"v_3065",29,3.1646571094022e-05,4357.76453177656
"548",230,134,132,134,178,209,"v_3164",161,3.1640563202025e-05,45144.9572495536
"1264",20,6,14,14,22,14,"v_1188",159,3.16325562268687e-05,24997.4756864817
"1637869",233,129,131,120,218,166,"v_2387",187,3.16315556399064e-05,34932.6631713762
"1032",180,114,112,124,115,121,"v_3839",77,3.16265536544483e-05,19790.0853608991
"37929",134,51,74,56,65,60,"v_161",51,3.16235532224401e-05,13647.4923378807
"280472",49,45,29,13,26,38,"v_4155",18,3.16225532049458e-05,4854.89678270011
"42422",20,5,16,23,20,20,"v_1322",90,3.16205533596838e-05,7065.44990052905
"2828338",18,25,20,11,21,25,"v_4225",27,3.16195535319041e-05,7400.36425251787
"1247726",125,117,107,64,124,114,"v_2581",77,3.16165544278984e-05,19791.8626073559
"317025",28,7,17,5,10,10,"v_3828",68,3.16165544278984e-05,48609.3277884889
"930806",219,117,148,104,138,137,"v_3728",231,3.16145553412791e-05,21881.3169837213
"2043170",219,112,145,114,154,163,"v_2252",226,3.16135558927668e-05,15750.4078308486
"856793",124,76,65,211,88,100,"v_2222",86,3.16125565074448e-05,2749.83885500572
"1920191",46,51,44,35,45,35,"v_2341",19,3.16005688102386e-05,949.89380143223
"2201356",103,79,158,61,66,88,"v_2906",58,3.16005688102386e-05,16956.0650796911
"2811788",211,114,133,99,190,160,"v_2388",224,3.15995702458447e-05,35002.753524992
"1537400",211,144,131,112,195,176,"v_2688",196,3.15995702458447e-05,43729.6302736581
"1679444",239,94,133,117,189,166,"v_4120",157,3.15995702458447e-05,32297.8062135911
"84096",158,69,72,94,96,72,"v_588",54,3.15955766192733e-05,8972.49603596028
"1959104",13,4,10,12,11,12,"v_4452",126,3.15945783703516e-05,89608.1689867346
"2614128",187,87,117,117,275,101,"v_1193",192,3.15895880717715e-05,11764.0417899396
"454601",131,76,94,88,104,78,"v_1756",43,3.15865946492309e-05,6192.62002978931
"2321394",197,80,88,119,129,95,"v_703",74,3.15845993493573e-05,8941.97881363252
"2508726",25,2,2,16,13,19,"v_5669",83,3.15836017939486e-05,7862.69086486287
"374162",18,9,12,60,43,24,"v_1426",32,3.15826043015507e-05,103.903546182387
"2018067",36,21,29,22,21,25,"v_2905",44,3.15806095057635e-05,4718.57485519593
"2820710",16,11,8,17,13,17,"v_3639",66,3.15806095057635e-05,6710.95402241934
"51288",14,13,11,8,17,16,"v_3234",62,3.15786149619478e-05,10729.2585883386
"1691904",144,80,128,97,81,98,"v_3054",56,3.15776177845143e-05,4496.34931602309
"43675",258,104,107,101,112,116,"v_168",128,3.15756236185665e-05,8851.77407916076
"159743",32,15,18,83,25,22,"v_928",28,3.15726328418527e-05,7239.35853474934
"2518644",160,112,164,100,118,135,"v_2882",159,3.15656565656566e-05,10634.1679209664
"1937972",18,21,21,7,21,21,"v_4161",13,3.15646602064329e-05,5123.39205137729
"1775880",232,96,103,104,118,114,"v_160",91,3.1562667676672e-05,10442.2592296119
"1687",29,3,8,8,11,12,"v_754",149,3.15596793536578e-05,34142.4856529721
"288965",25,10,33,18,17,15,"v_1182",33,3.15507177788295e-05,2955.69141000827
"145458",136,65,59,92,72,84,"v_215",37,3.15467364901101e-05,6130.83357258934
"2602067",220,125,138,108,154,144,"v_2155",247,3.15467364901101e-05,25723.677860595
"1500687",33,16,49,25,21,32,"v_2924",41,3.15437511828907e-05,7068.52845376592
"313985",239,105,112,127,234,198,"v_3909",194,3.15427562060373e-05,69214.5156660601
"2572923",24,4,12,6,12,12,"v_3763",103,3.15407664406245e-05,30136.852524132
"129338",199,83,98,118,168,127,"v_860",70,3.15377822631513e-05,12292.7789013435
"1335613",250,107,122,151,197,182,"v_789",316,3.15357931251971e-05,64357.4974762788
"1155738",150,55,75,246,139,101,"v_1454",78,3.15328098886892e-05,2861.26833428924
"701347",17,14,12,13,21,20,"v_3225",77,3.15298272165469e-05,14163.4820475653
"515393",252,118,186,128,165,168,"v_3046",115,3.15288331178863e-05,28413.4216180379
"520734",50,91,38,56,185,79,"v_1889",12,3.15228698420704e-05,1742.53306574787
"2719119",27,10,15,13,10,20,"v_573",32,3.15218761820704e-05,16618.6849511336
"1091494",57,62,54,32,49,44,"v_3705",28,3.15198890499905e-05,6542.11463476408
"1844006",85,62,63,57,46,73,"v_2130",47,3.15188955778989e-05,880.031790591945
"2617942",29,10,21,17,13,16,"v_1003",51,3.15159155373464e-05,17225.8688931217
"33847",115,79,71,68,94,58,"v_4428",27,3.15139291566873e-05,270.333408300436
"418008",38,16,68,9,16,13,"v_4571",41,3.15139291566873e-05,21893.6227217461
"2052956",81,54,146,49,68,83,"v_2895",65,3.15099571464583e-05,5510.1192354984
"1986146",267,126,138,149,180,189,"v_3960",307,3.15099571464583e-05,67734.711991861
"487316",20,7,10,64,15,20,"v_4877",33,3.15099571464583e-05,239.533442118605
"1492710",162,85,68,168,110,118,"v_1448",87,3.15089643003435e-05,4670.3478962833
"1441930",45,38,44,15,36,16,"v_3302",21,3.15089643003435e-05,11404.2286369463
"37734",34,7,4,17,8,13,"v_5394",73,3.15049935414763e-05,17508.887900791
"2735554",50,66,65,34,66,57,"v_2335",44,3.1501023783273e-05,1187.29848647141
"618",156,99,103,78,83,120,"v_3271",30,3.1501023783273e-05,2827.94514943171
"1684",103,60,54,61,58,49,"v_746",62,3.14980471210785e-05,1110.14900177182
"428406",128,82,143,62,241,91,"v_2462",101,3.14980471210785e-05,4431.38683653587
"292691",160,128,158,65,117,110,"v_4172",64,3.14980471210785e-05,9586.35611169579
"208224",32,22,20,22,23,18,"v_3138",66,3.14970550253551e-05,3797.26209491263
"2594883",28,7,8,15,12,14,"v_900",68,3.14950710213852e-05,9421.93502077585
"291183",45,44,111,17,25,32,"v_4183",26,3.14930872673448e-05,40754.8422207378
"29322",30,15,25,21,27,27,"v_1285",66,3.14920954840335e-05,9237.49201450483
"2231053",34,23,18,14,15,33,"v_4037",32,3.14821810855056e-05,8939.87332351785
"1296990",208,145,116,91,128,122,"v_2022",130,3.14782170737849e-05,4270.10874462509
"29484",24,11,19,12,10,12,"v_3289",48,3.14782170737849e-05,7782.46018382554
"1547283",101,12,26,53,18,34,"v_821",50,3.14762354422411e-05,5243.27332907622
"65555",33,21,19,19,23,16,"v_3964",47,3.14693016961954e-05,3563.89511339263
"253239",259,118,142,151,194,186,"v_1179",181,3.14673211869474e-05,33289.9763732771
"62320",267,134,122,130,210,153,"v_4537",202,3.14663310258024e-05,15844.6359461641
"2545632",20,10,22,6,14,11,"v_5055",77,3.14623710042789e-05,25819.0643752172
"61651",20,11,7,6,13,10,"v_3280",148,3.14613811546327e-05,95260.9335292808
"2520507",20,11,13,11,13,13,"v_3613",153,3.14603913672686e-05,25575.0244157049
"472569",122,52,71,97,101,80,"v_314",34,3.14584119793633e-05,3616.53708951142
"1479",42,18,22,20,18,18,"v_832",51,3.14544539506794e-05,3114.05459147244
"2072406",73,105,50,36,53,60,"v_2769",22,3.14524753098069e-05,2323.18200339648
"1159613",15,11,9,11,9,14,"v_3195",91,3.14524753098069e-05,47218.9432426376
"857087",122,105,139,65,129,99,"v_3697",48,3.14524753098069e-05,7083.30390003229
"1670",52,10,35,53,46,38,"v_138",29,3.14455520266658e-05,1710.18731904805
"1712516",68,21,87,40,46,31,"v_935",21,3.14435745055498e-05,8513.0965047487
"28223",24,11,12,13,21,12,"v_3958",72,3.14415972331394e-05,13328.25110189
"2637870",34,19,28,19,14,24,"v_992",32,3.14396202093879e-05,3666.41737366681
"926570",219,108,126,156,147,175,"v_2030",140,3.14356669076734e-05,17402.736567199
"365349",34,9,24,9,17,15,"v_1333",38,3.14336906296168e-05,2507.70485702311
"290180",53,41,53,27,38,47,"v_4157",38,3.14307266784008e-05,5151.39818451892
"142877",19,2,14,9,16,16,"v_1273",153,3.14297388188704e-05,13227.5836993291
"1173270",16,11,16,8,10,11,"v_2950",95,3.14277632860869e-05,29976.763589587
"2726956",146,97,129,127,117,125,"v_2887",99,3.14267756128221e-05,5450.3200538202
"91994",21,8,14,13,17,9,"v_1006",65,3.14248004525171e-05,14806.325233589
"1931241",201,150,158,140,160,155,"v_2878",118,3.14248004525171e-05,25540.2698766248
"51101",245,107,151,141,211,216,"v_956",321,3.14218381775334e-05,47469.879012247
"340",301,108,91,73,84,86,"v_2789",38,3.14198636377918e-05,2265.71579520992
"392500",20,18,13,9,13,21,"v_5091",55,3.14188764609778e-05,15561.2014394412
"2315253",20,19,18,13,19,18,"v_3744",28,3.14169022934339e-05,33975.7991033559
"92947",232,147,149,151,168,177,"v_2154",161,3.14159153026923e-05,40295.8020072747
"552811",249,100,107,105,130,121,"v_1485",105,3.14149283739633e-05,9798.9237157258
"349521",165,119,165,82,123,112,"v_3525",91,3.14129547025193e-05,7908.88249619326
"29284",277,122,103,164,201,193,"v_4486",228,3.14090081035241e-05,56637.2832140368
"75379",155,108,100,84,114,90,"v_2596",38,3.14060488049998e-05,12861.2304261031
"180957",80,35,96,47,61,32,"v_3361",32,3.14050624960744e-05,2453.12379789408
"2171755",158,118,126,91,140,156,"v_2179",46,3.14040762490971e-05,6674.27914411371
"882626",14,6,8,10,11,14,"v_3629",110,3.14040762490971e-05,23169.5282439121
"1659194",32,26,37,18,14,19,"v_4848",17,3.1402103940964e-05,7207.59300686654
"156978",259,143,119,144,175,154,"v_538",211,3.14011178797965e-05,20738.7154187316
"263819",20,14,10,5,16,11,"v_3291",90,3.14011178797965e-05,47871.6953592183
"290174",65,60,129,31,63,49,"v_4171",16,3.13991459432303e-05,8573.21991959796
"1792192",120,24,45,48,135,85,"v_817",61,3.13971742543171e-05,795.739836233712
"339862",34,10,18,20,27,14,"v_1266",51,3.13952028130102e-05,5025.78876357734
"676208",24,20,16,9,24,12,"v_3821",12,3.13932316192629e-05,8160.53612212011
"1855823",31,10,18,10,13,20,"v_1034",68,3.13912606730286e-05,8900.65813563295
"116085",18,14,17,8,14,20,"v_1251",99,3.13863343900066e-05,12774.9121934737
"120",214,130,122,97,157,140,"v_4097",79,3.13853493189379e-05,9335.58363422742
"1581",13,8,13,10,15,10,"v_1089",97,3.13843643097009e-05,45563.1964222099
"56636",24,4,9,9,9,12,"v_4475",135,3.13843643097009e-05,44937.439594121
"471189",244,108,121,152,191,160,"v_790",288,3.13755020080321e-05,40630.578997517
"1296",45,8,13,16,9,9,"v_1030",47,3.13695965869879e-05,7376.42960446912
"666681",21,27,60,13,15,19,"v_2648",29,3.13666447100154e-05,20345.0742478272
"67260",96,40,56,88,58,42,"v_115",27,3.13656608744746e-05,2881.39410035037
"268175",14,6,9,25,21,12,"v_1461",50,3.13646771006493e-05,2750.35333674465
"1908198",31,28,31,19,17,26,"v_3790",24,3.13636933885334e-05,9282.47550476056
"170861",20,11,21,2,11,10,"v_4574",90,3.13636933885334e-05,16642.0582281134
"39791",212,83,76,118,119,78,"v_531",59,3.13607426223853e-05,22360.2268842657
"1283291",153,84,197,93,110,114,"v_2900",65,3.13587757533946e-05,4648.80485463252
"2292255",21,11,13,15,20,18,"v_1054",116,3.13568091311028e-05,6068.29916080024
"1573712",98,59,153,45,77,52,"v_2912",66,3.13528766264305e-05,4561.98762081941
"1287916",29,22,37,10,16,15,"v_4187",45,3.13528766264305e-05,16285.2550034508
"44742",260,127,128,155,210,193,"v_3925",319,3.13499278951658e-05,57029.4069582952
"45668",34,9,20,23,13,25,"v_891",65,3.13489451079971e-05,9624.03805406879
"38288",183,91,95,91,117,75,"v_533",62,3.13440320962889e-05,6489.88761088364
"410072",13,8,6,9,19,9,"v_1252",146,3.13430496787337e-05,80043.7282726264
"1408281",29,14,14,5,16,17,"v_4409",80,3.13391206242753e-05,11989.5260254485
"2624170",24,11,13,11,29,12,"v_1349",67,3.13361744798195e-05,8892.41239021815
"2500533",177,112,140,87,117,107,"v_2181",82,3.13351925547582e-05,4676.28588238423
"2563897",15,7,12,5,12,11,"v_3089",92,3.13342106912327e-05,50540.6512919431
"120044",17,12,17,8,25,22,"v_1944",40,3.13293022964379e-05,6058.69570179201
"1628392",193,103,131,105,108,169,"v_3526",149,3.1328320802005e-05,6593.14604200215
"187327",41,20,12,11,18,14,"v_1342",14,3.13253766876547e-05,15165.8750605745
"88724",276,109,131,150,203,175,"v_4540",277,3.13234142521535e-05,36305.1976711496
"1236179",44,27,94,13,34,44,"v_2526",31,3.13204710598847e-05,3922.56824122481
"129817",87,47,92,65,58,59,"v_2986",42,3.1317528420657e-05,4205.35384236062
"96473",16,10,12,15,16,15,"v_3677",132,3.13116448007014e-05,12194.3833247324
"1532552",54,11,30,32,27,14,"v_902",29,3.1306743472544e-05,2697.97025572056
"911045",195,145,139,98,133,131,"v_1796",77,3.13057633910403e-05,9917.32869837286
"69525",312,134,89,173,200,169,"v_4539",152,3.13047833708991e-05,38546.1418655846
"2683272",29,19,14,18,13,18,"v_3527",71,3.1302823514681e-05,9342.61685136729
"84163",20,11,13,10,15,15,"v_797",80,3.13008639038437e-05,2784.37107546015
"53345",17,9,15,6,15,10,"v_1141",110,3.12969454181272e-05,14459.4401062042
"28449",25,12,9,11,26,19,"v_2717",125,3.12920486904278e-05,23051.0589440704
"1178482",226,132,126,134,148,207,"v_3480",267,3.12861746394268e-05,44357.3127012233
"545",18,19,16,16,18,23,"v_3185",32,3.12832384408434e-05,1290.87057277151
"294702",36,31,36,23,20,30,"v_4253",35,3.12812812812813e-05,7764.49005021817
"1778601",50,35,44,22,30,31,"v_4214",16,3.12783460010635e-05,5919.23183744692
"2775920",23,30,24,12,15,22,"v_4835",25,3.12773676967346e-05,12074.7365859237
"628",20,12,9,8,16,9,"v_3385",53,3.12714991556695e-05,30314.6553039044
"33936",105,23,46,30,24,26,"v_901",13,3.12695434646654e-05,5385.3895245546
"83771",18,7,20,4,22,20,"v_3687",27,3.12685657108908e-05,7585.20981786267
"1691",14,6,10,6,11,12,"v_752",120,3.12617231461798e-05,32993.9001302912
"2751313",20,7,9,8,14,8,"v_1326",115,3.12587915351193e-05,74371.5627175838
"1249553",70,66,65,54,66,54,"v_3518",19,3.12587915351193e-05,4443.8437601267
"375489",202,55,87,150,150,119,"v_924",134,3.12578144536134e-05,4695.73645856511
"219572",152,92,164,70,120,127,"v_3062",104,3.12578144536134e-05,6406.49956354581
"83655",136,114,93,82,103,139,"v_3201",116,3.12578144536134e-05,21794.9864830164
"1802984",23,27,5,9,12,12,"v_2249",32,3.1252929962184e-05,3692.37734076738
"83612",23,15,32,14,11,27,"v_4179",35,3.1252929962184e-05,4786.80191557692
"574987",103,73,75,63,63,87,"v_2050",25,3.12490234680166e-05,312.902083449778
"169480",47,28,28,17,35,12,"v_171",24,3.12451179503203e-05,6204.08114232624
"1190415",165,138,147,91,124,145,"v_3009",93,3.12421894526368e-05,8671.19358935155
"1504981",91,50,185,47,61,58,"v_3466",48,3.12421894526368e-05,6400.44496199081
"1048396",315,117,125,168,216,188,"v_4493",188,3.12421894526368e-05,28117.373331113
"2072412",110,124,61,44,80,73,"v_2768",35,3.12412134087288e-05,7447.25999930869
"2267264",41,45,25,14,26,36,"v_3551",22,3.1239261503858e-05,8983.82496279074
"129394",66,93,53,42,54,47,"v_2803",21,3.12373098428763e-05,3850.29956471096
"33871",240,96,134,146,156,161,"v_807",251,3.12343828085957e-05,45317.4218843412
"90245",22,11,20,5,17,14,"v_2584",50,3.12314563228083e-05,8723.2420947889
"2502979",80,47,78,58,46,64,"v_3060",28,3.12275551947038e-05,5058.91660178121
"120683",15,6,5,9,14,11,"v_4319",151,3.12265800649513e-05,51888.6403718553
"419610",179,111,118,134,146,147,"v_1726",156,3.12207305650952e-05,14849.2499437193
"2654238",19,13,32,14,8,13,"v_2952",30,3.12197558615092e-05,3662.72367940948
"2662419",174,89,176,82,120,93,"v_980",45,3.12187812187812e-05,4270.33095697802
"1508404",26,14,22,22,17,30,"v_1002",25,3.12178066369057e-05,850.120790354101
"1547",56,38,33,29,15,30,"v_1346",26,3.12158576556891e-05,6865.85629636236
"35746",291,126,123,144,241,178,"v_4497",192,3.12158576556891e-05,18159.8370246623
"1607",25,10,6,6,6,16,"v_1095",78,3.12119604232342e-05,49544.0080184003
"232244",16,18,23,6,32,22,"v_4156",20,3.12119604232342e-05,2893.28641975974
"257487",25,8,9,9,12,11,"v_1152",104,3.1210986267166e-05,10261.864991543
"2714935",205,105,115,118,123,119,"v_232",76,3.12100121719047e-05,12244.4995270352
"55583",15,13,7,11,13,21,"v_1278",103,3.12100121719047e-05,15972.3298283159
"2559074",26,37,74,20,43,24,"v_2923",17,3.12100121719047e-05,7637.2712786759
"253703",28,8,14,13,14,11,"v_950",61,3.12080641637799e-05,8203.26440740999
"1769779",249,163,147,132,153,178,"v_3723",118,3.1207090250905e-05,15057.1767655526
"1655489",184,100,108,90,108,112,"v_260",82,3.1204168876962e-05,7469.96235659998
"2732163",88,83,149,55,91,75,"v_2492",47,3.1204168876962e-05,1986.54856222712
"92644",126,89,53,97,89,68,"v_123",15,3.11993011356546e-05,86.1002366328755
"1505907",23,4,6,6,11,12,"v_4597",165,3.11963812197785e-05,66076.1793604709
"256839",22,12,9,8,9,17,"v_3598",70,3.11944349128116e-05,16935.0027586706
"865",19,10,5,7,9,10,"v_1332",147,3.11915159076731e-05,109179.917351692
"2603215",254,166,156,146,204,195,"v_3543",259,3.11895702077225e-05,45768.5741605347
"1470067",35,6,10,2,12,13,"v_4446",79,3.1187624750499e-05,15528.3100759158
"2562663",18,3,8,6,11,10,"v_4654",138,3.11827621690729e-05,41547.9059967246
"416344",20,12,15,9,21,21,"v_2397",71,3.11817898347365e-05,7352.42057160514
"2750620",156,114,83,93,89,91,"v_248",43,3.11788731955227e-05,22887.5205340156
"2785909",149,79,196,84,119,108,"v_3463",99,3.11720698254364e-05,7805.96852458125
"1410606",42,5,6,11,23,10,"v_4458",74,3.11691550042078e-05,10077.9614606847
"336276",18,11,48,6,9,14,"v_4201",38,3.11672120928783e-05,19296.0181086758
"145259",18,21,19,10,21,22,"v_4341",35,3.11672120928783e-05,2795.51433874265
"1481663",19,13,17,10,22,14,"v_3755",66,3.11584719885337e-05,5331.00359536748
"402384",44,5,15,11,11,16,"v_890",29,3.11526479750779e-05,3182.47299620509
"78543",144,107,139,67,115,91,"v_2983",67,3.11526479750779e-05,2978.07097767223
"572547",21,14,10,13,11,12,"v_4357",54,3.11526479750779e-05,20030.5770737638
"69220",23,16,14,9,17,14,"v_3230",88,3.11419762698141e-05,22273.2525467943
"314285",189,133,125,118,104,115,"v_3731",33,3.11390670735505e-05,8919.14902032686
"396811",37,35,36,18,24,30,"v_4151",24,3.11380974622451e-05,6605.9928017886
"584708",289,102,119,162,209,191,"v_4353",288,3.11380974622451e-05,38174.2549106753
"54120",29,5,10,22,17,14,"v_4558",29,3.1136158420774e-05,6303.92947199853
"1637862",219,129,198,132,234,177,"v_2389",223,3.11351889905972e-05,41062.0888286307
"556053",38,30,28,25,32,21,"v_2490",45,3.11342196207852e-05,1154.0464011643
"1209493",149,58,84,173,131,113,"v_1413",96,3.11332503113325e-05,6212.65621954991
"2641160",39,3,2,12,14,8,"v_4478",71,3.11313118734823e-05,6922.52232349948
"714995",20,10,8,21,25,15,"v_2025",51,3.11264668347496e-05,1463.39733299782
"1603555",53,3,9,16,12,12,"v_4455",52,3.11264668347496e-05,4601.18715768486
"1623",18,9,12,10,15,17,"v_1082",142,3.11254980079681e-05,21348.9345136789
"476",14,12,9,9,13,14,"v_4897",110,3.11245292414952e-05,37944.8502685554
"291112",16,7,7,7,13,7,"v_3389",105,3.11235605353252e-05,71072.2638139214
"708131",23,10,12,11,18,5,"v_262",71,3.11225918894526e-05,20753.9853375966
"1268635",21,14,17,10,16,19,"v_3806",84,3.11225918894526e-05,9057.84146113511
"1630135",297,140,133,143,182,153,"v_313",250,3.11206547785765e-05,46298.5115094948
"2083053",17,6,16,6,18,8,"v_4849",112,3.1119686313562e-05,38022.6030708709
"274",271,120,141,162,237,207,"v_1388",240,3.11187179088222e-05,43202.486299608
"59734",47,96,82,27,43,30,"v_4218",15,3.11167812801444e-05,11172.6113263919
"2562449",24,24,39,13,28,22,"v_3184",24,3.11158130561952e-05,1084.75999706342
"1159327",57,46,30,33,30,37,"v_263",8,3.11090371752994e-05,2719.5947811498
"1470434",68,61,60,41,52,46,"v_3734",24,3.11090371752994e-05,3971.83239256116
"393005",24,19,65,13,15,19,"v_4185",17,3.11061341296504e-05,8160.17331417871
"488732",258,130,153,149,225,159,"v_2377",239,3.11032316257659e-05,19334.9094351733
"94122",16,10,8,6,9,12,"v_3583",164,3.11032316257659e-05,82005.7512274131
"195950",215,119,125,155,174,188,"v_4248",240,3.1102264244837e-05,28272.4181290371
"1246",14,6,7,8,20,8,"v_5343",151,3.10993624630695e-05,186801.039433212
"152794",264,96,141,98,90,112,"v_542",33,3.10974282426843e-05,4878.97174656343
"44283",18,29,4,45,29,19,"v_3873",19,3.10945273631841e-05,1916.342925126
"333965",24,6,5,7,12,10,"v_3381",148,3.10887272275073e-05,38903.4267554473
"77635",261,151,145,155,167,173,"v_737",132,3.10877607485933e-05,66476.4042331017
"2704463",308,132,137,152,221,198,"v_918",197,3.1085827971028e-05,33776.6455841884
"2058625",74,69,289,33,70,59,"v_2538",57,3.10838954337758e-05,3879.13785702365
"1352",11,3,15,8,13,15,"v_1136",58,3.1082929255253e-05,8707.4784400358
"1385591",229,144,143,156,269,214,"v_2403",212,3.1082929255253e-05,71626.4382896253
"33952",21,6,3,12,13,12,"v_1288",92,3.10809970783863e-05,10975.4137392663
"314260",210,112,140,166,166,215,"v_2253",205,3.10809970783863e-05,20674.7575722138
"84564",20,13,15,10,16,10,"v_4949",76,3.10809970783863e-05,10754.199495247
"252356",78,99,111,30,62,68,"v_4177",31,3.10800310800311e-05,7684.88592571906
"2048283",197,150,131,115,179,136,"v_2004",70,3.1077133445211e-05,8788.95369376189
"172827",265,108,158,175,211,190,"v_1398",294,3.10761676870008e-05,42252.7199996292
"2795687",193,137,192,110,158,157,"v_3443",118,3.10761676870008e-05,8947.64449503404
"2755562",25,17,18,3,20,10,"v_3798",53,3.10732707724815e-05,8549.33911383784
"1173283",14,11,20,10,22,11,"v_2953",89,3.10703743980115e-05,7195.40107415659
"2684943",17,5,11,5,9,9,"v_1253",141,3.10665134052005e-05,99207.8975919748
"1028416",21,4,9,8,18,8,"v_4890",145,3.10665134052005e-05,47565.8986214846
"2283160",59,15,31,35,17,21,"v_896",36,3.10636182902584e-05,4411.35828949377
"1599",19,5,13,11,13,9,"v_1085",64,3.10636182902584e-05,6421.13905028784
"2498848",173,107,173,97,130,112,"v_2880",45,3.10636182902584e-05,7345.79633340455
"441209",221,115,126,113,137,122,"v_2178",90,3.10616885133876e-05,29469.0585967285
"2259620",211,161,158,110,143,133,"v_3559",101,3.10607237148626e-05,36087.558585959
"680",39,31,27,18,20,26,"v_3743",40,3.10607237148626e-05,6260.73749131061
"2067572",26,18,15,8,14,16,"v_2961",54,3.10587942976054e-05,9192.51654237199
"132132",204,120,138,127,181,164,"v_3944",109,3.1057829678862e-05,5660.65240335648
"88719",26,12,9,8,10,12,"v_2709",45,3.10568651200348e-05,13972.7101443848
"2527994",271,127,152,100,153,213,"v_4100",223,3.10568651200348e-05,29405.8289290873
"1641",24,6,12,11,13,19,"v_1039",52,3.10539718029936e-05,4789.80159704348
"431944",228,138,150,148,202,188,"v_1995",294,3.10539718029936e-05,34131.226039182
"29498",31,10,6,14,13,12,"v_3752",62,3.10539718029936e-05,26116.3566316928
"40215",13,9,13,2,21,8,"v_3114",80,3.10530074837748e-05,10627.4095799594
"935293",27,22,19,19,17,28,"v_3288",19,3.10491508057255e-05,694.469638559783
"1203471",273,111,125,157,314,242,"v_3910",242,3.10472228259182e-05,34109.43329655
"2029986",13,6,23,7,19,11,"v_3578",69,3.10462589257994e-05,9302.2513552569
"1301098",147,74,119,103,112,93,"v_3021",16,3.10443313051037e-05,832.57940872103
