"","AJwcM2MAIPOOA100700.extra.kraken2.report","Ia7iM2MAIPOOB100245.extra.kraken2.report","P0ZQM2MAIPOOA100240.extra.kraken2.report","qU3SM2MAIPOOM070605.extra.kraken2.report","c5isM2MAIPOOA070615.extra.kraken2.report","TgLUM2MAIPOOM070620.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"114277",51,30,18,29,46,36,"v_2241",122,3.42759211653813e-05,43566.8871691665
"1415568",81,48,52,46,49,74,"v_3541",171,3.4272397011447e-05,96898.8830230969
"326523",48,27,26,23,33,34,"v_2725",165,3.42676992666712e-05,52471.5069965194
"1349409",46,18,27,23,32,34,"v_4726",149,3.42676992666712e-05,127991.432606258
"28173",59,19,17,18,41,34,"v_3756",74,3.42571340481655e-05,53729.3231402139
"795750",36,15,21,21,25,32,"v_4281",179,3.42559605371335e-05,70658.7412351064
"1295642",39,9,17,25,32,25,"v_903",103,3.4250094187759e-05,72362.0379475313
"2238",81,35,37,51,71,57,"v_4513",135,3.42477482105552e-05,62430.1399406996
"445932",50,20,31,34,37,40,"v_4410",117,3.42383675146369e-05,106806.675269848
"105559",63,38,37,36,34,37,"v_3435",81,3.42219636562746e-05,73391.5769979554
"2183582",68,30,48,37,51,44,"v_3570",115,3.42207925535555e-05,55869.061206111
"1871021",70,29,39,46,48,47,"v_1231",201,3.42149382420365e-05,59144.2053082267
"320778",70,41,37,39,48,41,"v_3788",101,3.42149382420365e-05,133270.966380296
"1310165",57,29,37,25,48,37,"v_2465",135,3.42114266164899e-05,77080.7229279159
"2735563",69,43,46,30,66,67,"v_3840",146,3.42102562348192e-05,44519.3731000115
"1123366",78,30,33,39,48,51,"v_2008",140,3.42079157116957e-05,65499.8982159796
"1173032",58,29,40,62,53,49,"v_1417",104,3.42055755088079e-05,89495.855376921
"1940790",33,16,18,19,37,31,"v_4105",155,3.41973873196088e-05,46683.3838036341
"2246",65,20,26,42,50,46,"v_4500",141,3.41856967044988e-05,74909.4773154073
"35757",72,28,30,37,48,43,"v_566",134,3.41786861713036e-05,94694.5262893294
"2774188",38,16,28,19,43,21,"v_3865",82,3.41693432652224e-05,83601.2108696169
"1526571",62,45,35,18,46,50,"v_3569",52,3.41611724114372e-05,60123.642248619
"267363",76,39,48,45,73,66,"v_1052",142,3.41600054656009e-05,57947.2500413497
"1758730",47,29,28,20,38,23,"v_2960",114,3.41436765910953e-05,67580.0357246007
"2648079",57,20,22,26,30,34,"v_1239",126,3.41425108402472e-05,146364.377646878
"1193324",52,19,41,20,26,37,"v_4262",58,3.41413451689997e-05,31993.2550194424
"2724191",39,29,22,28,30,30,"v_3642",108,3.41390140652738e-05,132912.082624905
"1433995",49,33,38,32,35,44,"v_4219",131,3.41285280365858e-05,46947.8330868743
"1637841",39,23,22,21,26,24,"v_2408",117,3.41273633199099e-05,145436.247110398
"161154",39,24,28,26,32,54,"v_1308",180,3.41133929180596e-05,65029.6783374359
