"","auc5_percent_deg","f_stat_deg","var_deg"
"2",79,1.84254078369611,1.18347645241607e-05
"3",122,1.73346969869919,0.00415027218594906
"4",167,1.48215621752908,0.0292787064960704
"5",215,1.13626403536035,0.0916095053022413
"6",265,1.17592671660255,0.104455085014279
"7",318,1.18366118886098,0.104810164948923
"8",373,1.20361960545937,0.0997988176532974
"9",432,1.13962188505929,0.0980713400369564
"10",495,1.17605184157444,0.0929355883920969
"11",562,1.18690033032044,0.0874688775055818
"12",636,1.27076921678269,0.0803952572095477
"13",720,1.22715207536843,0.0751545001591111
"14",817,1.36976455078689,0.069390528387739
"15",932,1.31585990455443,0.0645381786059273
"16",1075,1.08260974134307,0.0647964246550714
"17",1265,0.703635459789844,0.084258939449245
"18",1525,0.977060233796156,0.0850488405255062
"19",1929,1.12600342698048,0.0815851245588508
"20",3686,2.41043683451074,0.142018379125156
