"","auc5_percent_close","f_stat_close","var_close"
"1",237,0.709957490691743,NA
"2",478,0.665810882235159,0.000974461519109453
"3",723,0.572438991394571,0.00492976178105203
"4",971,0.62969827296222,0.00338357154925088
"5",1224,0.567299368288448,0.00372893779444384
"6",1481,0.539326203477303,0.00432460772140012
"7",1744,0.589480249316903,0.00369034944161397
"8",2012,0.601439329075514,0.00317358480683094
"9",2286,0.628052066580521,0.0028154123886918
"10",2568,0.597951760463608,0.00252094512867806
"11",2859,0.69598150818887,0.0029386530630828
"12",3160,0.733257103360959,0.00377950436997132
"13",3470,0.834997846577914,0.00677465227658444
"14",3790,0.817093380972851,0.00840563655121485
"15",4123,0.886529594042605,0.0113508294480054
"16",4469,0.88216995860886,0.013373567974381
"17",4831,0.903860952273818,0.0153690950955638
"18",5214,1.06740405654841,0.022071853482857
"19",5625,1.17516470032694,0.0318489611469758
"20",6093,1.36201462694552,0.0493938884832856
