"","X3xfYM2CHIPOOA051365.extra.kraken2.report","jYxWM2CHIPOOB051110.extra.kraken2.report","j1iWM2CHIPOOBXX1561.extra.kraken2.report","X1ayWM2CHIPOOB100705.extra.kraken2.report","oAVVM2CHIPOOB051360.extra.kraken2.report","hoQoM2CHIPOOA051115.extra.kraken2.report","eBCjM2CHIPOOBXX1180.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2247",83,37,46,162,120,297,159,"v_5220",74,2.94802629639456e-05,24638.9719551232
"1078471",293,195,178,1084,486,1171,547,"v_3138",56,2.44492799687049e-05,24628.1438545368
"637389",11,8,2,33,22,46,13,"v_2950",68,3.19356177945262e-05,24625.1613472318
"1867846",6,6,1,20,5,16,5,"v_2650",40,2.94117647058824e-05,24620.951793067
"61435",33,10,12,31,39,60,32,"v_4665",26,3.1062653371851e-05,24603.8378345483
"2620435",20,1,2,20,13,43,12,"v_4074",51,3.11798453479671e-05,24599.5392932125
"2666185",154,112,59,367,282,513,190,"v_2169",119,2.83310196333966e-05,24579.9027362569
"391595",48,39,27,161,95,181,82,"v_576",51,3.06748466257669e-05,24520.3415826805
"349968",3,0,0,1,3,3,4,"v_1994",33,2.47905201051118e-05,24480.9306499375
"118117",0,0,0,1,1,4,0,"v_2070",53,2.00843542880096e-05,24472.6028611979
"1109716",0,0,0,1,1,4,0,"v_5736",53,2.00843542880096e-05,24472.6028611979
"1573719",76,25,21,112,103,131,53,"v_1471",78,3.0715360751912e-05,24471.3468794921
"1765967",208,186,95,592,407,786,355,"v_2165",131,2.65681872525838e-05,24467.6964765311
"2527968",81,71,48,351,156,419,136,"v_4785",42,2.86960514233242e-05,24461.1717073842
"304378",84,50,57,289,150,280,101,"v_353",19,2.8303755908409e-05,24455.0609934176
"29542",108,86,56,238,183,412,143,"v_2832",132,2.94498763105195e-05,24455.0244113143
"1443036",1,0,0,2,1,4,1,"v_2768",52,2.19380032029485e-05,24378.3310652999
"1231000",51,37,36,138,110,238,90,"v_3466",101,3.11740133424777e-05,24377.228769748
"628",8,4,7,19,13,21,13,"v_2140",18,2.88442124087802e-05,24371.8310046954
"651740",79,28,22,157,115,135,66,"v_1575",85,3.03831312855103e-05,24325.8758638339
"187304",33,25,14,108,44,104,56,"v_271",39,3.16525812680024e-05,24317.8443914845
"83655",59,30,26,507,85,169,74,"v_1755",21,2.87728384405122e-05,24308.137399136
"640030",14,4,3,34,37,31,27,"v_1263",45,3.14811899889816e-05,24292.8932751319
"2223",21,9,5,20,12,38,17,"v_5308",39,3.20153673763406e-05,24262.5904933247
"1851148",49,21,21,83,70,155,62,"v_4818",102,3.21522731657128e-05,24252.4908176573
"10449",0,0,0,3,4,2,5,"v_6054",27,2.36989288084179e-05,24251.5457420072
"1737446",35,18,11,73,64,77,27,"v_1239",66,3.16395621084604e-05,24244.5887104219
"33871",96,53,45,209,123,318,171,"v_3793",128,2.97229818095351e-05,24238.079648428
"486698",168,116,88,493,329,646,416,"v_3374",63,2.66624006825575e-05,24211.1107583804
"2733487",159,117,92,408,266,576,215,"v_2207",150,2.76372882292789e-05,24142.1247280741
"2505979",94,27,23,135,90,120,57,"v_1642",79,3.06447658739887e-05,24127.2968592076
"2623549",15,12,10,38,39,59,32,"v_2935",43,3.20975766329642e-05,24124.2757685733
"2322",3,0,0,5,2,17,5,"v_5305",47,2.75573192239859e-05,24120.696362895
"1440763",293,239,281,1043,575,931,456,"v_1414",76,2.40558094779889e-05,24119.2363887041
"1862358",22,18,12,49,22,73,43,"v_3492",56,3.22674324803975e-05,24108.4170966583
"53558",1,1,0,2,3,3,5,"v_4706",26,2.44893960914924e-05,24095.7925853762
"34084",7,4,1,46,20,22,7,"v_4886",25,2.97106185750787e-05,24093.7773211164
"342113",166,99,112,438,314,547,257,"v_982",63,2.70336027682409e-05,24068.668295709
"233055",8,2,2,32,10,23,19,"v_4372",36,3.02388872089507e-05,24065.1706762659
"312285",67,31,26,132,74,224,74,"v_3698",59,3.11701265507138e-05,24055.5446684097
"161398",5,1,1,12,6,15,7,"v_2491",59,2.93212138982554e-05,24052.9766921381
"54248",4,0,2,6,2,11,4,"v_5465",18,2.68918410154359e-05,24047.0020773926
"1903056",0,0,0,2,0,5,4,"v_4058",35,2.28044970468176e-05,24031.8202366086
"1622",4,3,0,5,6,6,6,"v_4149",36,2.7520915896081e-05,24026.145676706
"557993",0,0,1,1,0,6,4,"v_2068",28,2.33377675091601e-05,23990.5994178015
"45658",13,5,2,27,15,24,14,"v_2586",59,3.10443313051037e-05,23983.1111348336
"54308",17,8,10,35,19,59,21,"v_4645",32,3.09405940594059e-05,23965.1441482925
"28898",1,0,0,1,3,7,0,"v_2896",26,2.32904788522452e-05,23938.1537324325
"481145",4,1,3,7,4,9,4,"v_666",20,2.63567117366437e-05,23912.6396608902
"2632186",0,2,0,5,1,6,2,"v_2944",44,2.43640970665627e-05,23906.4912018752
"388357",336,231,180,2455,452,1676,583,"v_3056",52,2.28081379436183e-05,23902.2166323597
"76761",31,7,11,67,62,65,30,"v_1580",37,3.09453814018258e-05,23889.8447676596
"1678128",242,63,65,491,658,307,187,"v_937",38,2.53286390922216e-05,23882.4908677676
"187491",59,43,59,133,73,271,106,"v_3468",67,3.00779017655728e-05,23863.5657454938
"257496",1437,862,839,4283,2174,4904,2854,"v_3010",36,1.90705036520015e-05,23856.0859218239
"759914",0,0,0,3,0,1,2,"v_5084",39,1.98629456748436e-05,23824.5389555631
"296",55,24,19,157,76,146,51,"v_1595",37,3.02938503483793e-05,23824.3493302666
"2049589",154,32,22,229,203,219,84,"v_1451",75,2.89159413584709e-05,23817.6264075538
"1637853",79,55,61,232,175,337,145,"v_965",64,2.92226767971946e-05,23812.7867285532
"2304594",69,35,42,194,118,226,84,"v_2360",22,2.93547818939705e-05,23799.4313140197
"225992",138,66,49,412,339,280,119,"v_897",54,2.70745904968187e-05,23782.7139212835
"2627006",247,160,134,548,429,851,460,"v_4575",154,2.62425864693224e-05,23773.7804478322
"45056",11,1,2,16,10,7,8,"v_2653",28,2.78489473097917e-05,23754.5376091108
"180957",32,21,7,70,34,75,40,"v_2097",56,3.21440051430408e-05,23712.6814348718
"221065",9,4,8,66,18,28,23,"v_4908",9,2.73687667633696e-05,23692.4625491206
"1278309",7,7,6,39,20,46,23,"v_2279",42,3.18025696476275e-05,23690.0854842864
"2060094",21,11,22,66,42,70,42,"v_4288",20,3.03739027427634e-05,23689.2995131153
"38305",136,99,95,327,205,491,251,"v_3440",116,2.81618744543637e-05,23685.4256379376
"291990",36,14,6,45,45,89,40,"v_4484",88,3.24548877060885e-05,23663.8534927946
"1534348",142,83,80,476,243,492,371,"v_3351",29,2.6763729793384e-05,23646.3431404585
"572544",0,0,0,5,11,6,7,"v_5164",30,2.69912818159734e-05,23642.809719427
"2316383",26,11,14,43,37,103,52,"v_4482",46,3.16475726311792e-05,23627.8743521441
"38304",56,38,28,141,75,161,136,"v_3464",64,3.06400710849649e-05,23589.3804341619
"2632575",1419,1007,1158,3551,2221,5372,2814,"v_3710",35,1.88444578449478e-05,23588.0340159682
"1725",269,171,128,686,422,840,472,"v_3432",132,2.59087493846672e-05,23563.0952999917
"68909",166,93,75,332,289,579,305,"v_4551",85,2.76090557702927e-05,23562.6359080693
"75385",307,245,188,913,484,1363,607,"v_3552",192,2.46190206553583e-05,23532.3241682033
"216142",281,61,38,491,270,442,124,"v_1606",56,2.6905588290688e-05,23530.2045683528
"1395516",24,9,6,104,57,59,24,"v_1618",31,3.06400710849649e-05,23523.5508002825
"665007",541,247,473,892,585,1460,3660,"v_3258",57,2.10035495998824e-05,23520.163891115
"34062",24,19,10,56,21,66,33,"v_1739",53,3.21099444497961e-05,23516.4619406437
"1921086",31,21,23,63,40,86,38,"v_2971",43,3.09559187716691e-05,23437.1835887997
"2698828",248,158,170,763,493,663,196,"v_375",81,2.51490078716395e-05,23423.1552113845
"593117",9,3,1,11,11,14,16,"v_5342",38,3.01522689582391e-05,23404.9708426661
"1628086",42,21,14,68,53,93,33,"v_1651",66,3.15716360421797e-05,23397.6270687349
"203263",24,29,24,118,47,136,68,"v_3469",46,3.05399462496946e-05,23381.1542737949
"92826",19,23,10,128,57,113,27,"v_1350",39,3.13814096529216e-05,23353.2591181566
"2583452",3,2,2,7,5,9,11,"v_4521",28,2.75687150221928e-05,23349.5552722838
"1891926",176,115,58,547,264,674,246,"v_4807",60,2.67816492139586e-05,23317.3103483763
"272131",4,4,2,15,18,29,28,"v_4597",42,3.11158130561952e-05,23283.9716928297
"1458425",256,132,92,637,658,561,317,"v_931",49,2.54336436237855e-05,23266.0711532607
"2486578",6,3,0,10,6,16,7,"v_771",46,2.93979303857008e-05,23264.7720950993
"62320",93,51,45,196,159,356,167,"v_5266",90,2.96489563567362e-05,23259.8623038285
"1630141",9,2,2,28,20,24,11,"v_2191",26,2.98418382572366e-05,23248.8411739291
"487909",19,15,10,95,37,84,30,"v_1360",25,3.13293022964379e-05,23244.1964571559
"59814",87,59,60,249,144,310,146,"v_2017",132,2.95220382015174e-05,23239.8416902766
"114090",1,2,0,3,4,5,7,"v_4169",33,2.65971594233736e-05,23233.7770602887
"2518644",174,36,32,268,156,251,99,"v_1445",68,2.86689028410883e-05,23195.1294314909
"2563897",4,0,3,20,11,19,8,"v_1671",10,2.79916025192442e-05,23186.4487110756
"1891094",166,113,102,415,254,489,233,"v_1059",126,2.77484877074199e-05,23169.8409985523
"1982900",2,1,1,10,4,7,6,"v_5565",41,2.75580786507565e-05,23168.6417940147
"2760873",5,4,5,27,8,14,6,"v_4986",16,2.77031332243677e-05,23163.8510198389
"2665642",498,335,258,1056,753,1964,782,"v_3640",96,2.32617646374654e-05,23150.0588602944
"573600",9,4,0,14,10,24,5,"v_3758",43,3.01968836816041e-05,23140.5618623181
"86331",8,2,4,21,16,23,11,"v_4289",31,3.00444658093979e-05,23110.2152314858
"2643261",173,95,105,631,286,617,319,"v_3046",24,2.54148982133327e-05,23086.07617757
"2781774",4,1,0,4,4,8,11,"v_4042",42,2.80119891313482e-05,23085.2461229648
"29291",3,1,0,5,4,20,2,"v_5302",28,2.7698529208099e-05,23052.047016618
"158627",61,31,15,151,97,126,45,"v_1640",64,3.04127003436635e-05,23048.0260367201
"84757",691,379,372,1816,967,2177,1220,"v_3165",135,2.20041367777142e-05,23045.9664977644
"2714110",3,0,0,11,3,9,9,"v_1676",55,2.7681660899654e-05,23035.9608850217
"2619321",69,48,56,149,134,292,122,"v_4560",85,2.98855383879741e-05,23025.0156506133
"289377",2,1,0,4,5,6,6,"v_5149",41,2.7196083763938e-05,23014.487918846
"374606",543,315,233,2306,870,1458,743,"v_168",46,2.21719657664849e-05,23009.5857313497
"1363",5,5,5,19,10,17,22,"v_4232",19,2.89678746270386e-05,23004.607495506
"376489",263,186,127,658,451,931,371,"v_2247",172,2.59699787046175e-05,23001.912374839
"1712261",267,202,194,818,438,1017,490,"v_304",183,2.5160397534281e-05,23001.5055960036
"768670",19,6,6,17,21,26,11,"v_5183",29,3.05352835201075e-05,22998.7205906989
"28184",13,4,1,15,32,30,10,"v_5081",63,3.14584119793633e-05,22974.4322500142
"392499",130,243,115,447,288,576,186,"v_367",78,2.68969041663305e-05,22919.1338430309
"1915309",11,4,0,25,16,34,17,"v_2968",64,3.14871375043295e-05,22916.3095988803
"1267562",68,30,11,112,154,166,86,"v_1005",87,3.05744947564741e-05,22898.9001278341
"1470434",21,14,13,73,38,64,37,"v_2323",21,3.14139415072409e-05,22893.222819501
"260552",46,27,21,135,82,170,60,"v_2315",83,3.17874058298102e-05,22884.9190524083
"69713",20,14,15,29,19,64,37,"v_5042",52,3.07210223956253e-05,22881.5352047922
"1655489",61,33,24,223,83,209,91,"v_3051",32,2.98302657876682e-05,22877.0076983755
"1089444",17,7,8,66,21,57,21,"v_2090",4,2.89469113645574e-05,22862.0044105977
"1268635",15,4,4,18,15,22,8,"v_2652",35,3.08014538286207e-05,22851.5859800353
"1309",4,0,1,3,2,15,6,"v_4221",17,2.7189428750102e-05,22843.9273141726
"863643",25,13,15,42,36,83,27,"v_4378",31,3.1266610386768e-05,22840.4724066071
"1246",0,0,3,10,6,12,4,"v_4128",26,2.61882938326568e-05,22825.9729712991
"1649877",98,36,27,156,115,132,80,"v_1463",66,2.98748244854061e-05,22816.3006373041
"215743",24,18,17,78,45,82,45,"v_526",54,3.16525812680024e-05,22785.5775020159
"41673",0,0,3,4,5,4,2,"v_5441",14,2.38937207301921e-05,22762.3992394877
"499229",16,10,4,22,21,28,15,"v_4483",68,3.16215532506957e-05,22756.8899774273
"110937",278,171,184,786,459,1114,567,"v_3004",156,2.48102019550439e-05,22743.1659225007
"1697043",338,283,271,893,698,1102,536,"v_1094",114,2.41382639760548e-05,22739.6022788414
"856",2,0,2,11,5,14,6,"v_5155",24,2.72851296043656e-05,22717.12815741
"1703",166,90,101,450,262,556,297,"v_3152",129,2.69353014060227e-05,22676.3284785514
"1805933",27,19,14,71,45,116,43,"v_1996",112,3.25224404839339e-05,22668.3546592984
"279828",192,142,131,610,353,621,312,"v_3047",63,2.63227165043432e-05,22645.398632447
"1288636",403,251,226,1447,594,1536,784,"v_3134",89,2.32715086919085e-05,22641.7404979899
"717231",14,8,6,17,37,42,14,"v_5182",43,3.21926407623217e-05,22639.2849742472
"373",283,199,183,1947,500,957,514,"v_93",46,2.34626123272565e-05,22626.3535729851
"253239",110,54,45,211,151,307,167,"v_4295",85,2.9575298710517e-05,22614.3072244714
"2681547",88,70,39,261,176,329,146,"v_2306",125,2.97707651086633e-05,22611.1891003928
"235559",7,3,0,9,9,13,1,"v_2145",43,2.87455444406117e-05,22608.7474556047
"515635",57,15,7,60,97,93,39,"v_5188",88,3.19193079894028e-05,22608.2949237018
"2624044",17,22,9,40,53,51,26,"v_2947",58,3.22757641287157e-05,22596.8965520485
"1296540",1,0,1,3,3,9,10,"v_4183",29,2.6128762541806e-05,22585.6143518771
"1224153",5,3,0,4,5,5,2,"v_2079",48,2.69106566200215e-05,22562.2191321845
"36809",247,164,156,676,437,993,568,"v_3390",179,2.52640088929311e-05,22552.983793001
"637910",28,13,16,98,43,114,42,"v_1838",7,2.81175312807536e-05,22547.5564277773
"1931241",154,58,45,257,189,282,106,"v_1448",67,2.83278094104983e-05,22536.5184636183
"1389713",241,142,151,680,361,858,643,"v_3369",133,2.52111433253498e-05,22528.6221757363
"754035",255,186,173,1145,466,897,469,"v_161",45,2.38072564517665e-05,22506.712643255
"833",30,25,13,55,47,122,44,"v_5006",103,3.24285760612252e-05,22504.1317115351
"66219",14,2,3,27,15,22,17,"v_4384",25,2.98391668904604e-05,22460.2817121038
"45656",14,9,5,25,16,41,11,"v_2844",51,3.1675641431739e-05,22454.4996253218
"85701",2,1,0,0,1,5,2,"v_6093",23,2.3828813801649e-05,22435.6355437289
"2698686",1,0,1,11,3,6,4,"v_2419",29,2.58011249290469e-05,22411.9049463704
"1748",242,174,141,683,416,1008,411,"v_3567",163,2.60240462187061e-05,22399.9865251536
"869212",128,43,43,170,175,259,111,"v_5083",75,2.92090197452973e-05,22356.0894705097
"68202",168,97,95,511,214,603,300,"v_3278",131,2.71879503004268e-05,22345.4943049379
"1630135",90,55,46,230,141,283,153,"v_3146",137,3.00878565411e-05,22339.3890440328
"330922",5,0,0,9,4,11,4,"v_1738",30,2.71901680352385e-05,22323.4517290615
"2055893",63,31,45,150,90,296,181,"v_5237",70,2.94472746547307e-05,22311.6152671894
"294702",16,13,6,30,19,42,16,"v_4979",59,3.19959045242209e-05,22302.2532347388
"2733153",7,2,1,8,4,19,10,"v_5586",52,2.9847182425979e-05,22289.7019394734
"1711",455,270,279,2078,629,1459,896,"v_3108",46,2.19649878094318e-05,22286.3562992364
"712310",0,0,0,2,2,2,5,"v_2737",32,2.29415678267453e-05,22283.6156933877
"53444",0,0,0,2,2,2,5,"v_4179",32,2.29415678267453e-05,22283.6156933877
"2233999",660,523,348,6016,1192,2670,1073,"v_620",27,2.04741820564268e-05,22279.3983117204
"1983744",1,0,0,1,1,5,1,"v_5631",49,2.2335887069755e-05,22241.7198700396
"1297617",104,65,58,177,152,322,127,"v_4286",100,2.96138355839848e-05,22231.1091069664
"158822",83,61,39,246,180,284,136,"v_1897",80,2.99463959512473e-05,22231.0562740224
"259536",7,5,3,29,14,31,8,"v_1736",37,3.05231670838166e-05,22230.5290917032
"946432",4,1,0,7,6,7,13,"v_4055",47,2.83897342720872e-05,22227.6363817782
"2231053",28,9,1,34,43,33,15,"v_2961",58,3.17208564631245e-05,22220.5454935983
"676210",24,1,3,36,31,40,14,"v_1503",40,3.13253766876547e-05,22211.1861546761
"2315802",0,0,0,3,0,2,0,"v_2048",21,1.85459940652819e-05,22196.0722065303
"118101",0,0,0,3,0,2,0,"v_2051",21,1.85459940652819e-05,22196.0722065303
"2815358",26,11,11,104,43,83,33,"v_1749",19,3.01777469294143e-05,22189.3523382638
"41527",1,0,0,8,3,6,0,"v_1894",17,2.37880013321281e-05,22188.1992429416
"61652",42,27,34,123,107,221,89,"v_1964",38,3.0331523552428e-05,22151.5716106339
"1736691",459,280,267,2520,684,1872,868,"v_3543",55,2.21366272634701e-05,22121.7031554268
"78258",18,22,20,65,56,103,43,"v_3743",57,3.16255534471853e-05,22119.9111739741
"1162633",2,0,0,5,0,5,4,"v_4114",33,2.46250831096555e-05,22113.0366659189
"2639138",88,61,22,265,316,304,111,"v_4782",71,2.9271434007552e-05,22112.5221914799
"133453",408,203,143,679,591,1166,550,"v_4661",89,2.46524011438714e-05,22109.9936123268
"29519",1,0,0,2,0,0,1,"v_5071",25,1.94696468206067e-05,22108.3774508689
"1274",346,198,184,957,433,1073,667,"v_3161",131,2.43575691146024e-05,22061.1526260314
"47879",122,30,31,244,146,217,93,"v_1568",54,2.89913895573015e-05,22052.9990016997
"689",6,4,1,25,11,40,14,"v_2587",40,3.09300671182456e-05,22041.4290439297
"2675707",2,0,0,4,7,3,0,"v_2342",10,2.44045294806716e-05,22024.5621699795
"758796",69,49,87,204,144,258,152,"v_969",86,2.88791983134548e-05,22019.4555804363
"218144",7,2,0,5,9,5,18,"v_4258",35,2.9129890180314e-05,22005.4278925421
"1500686",25,7,11,35,24,69,20,"v_1504",26,3.1504001008128e-05,22003.5618767842
"2184083",193,140,132,472,477,580,251,"v_1205",79,2.62164429530201e-05,21996.0701652681
"297",175,134,97,317,306,577,228,"v_2969",160,2.75649153757098e-05,21991.92566295
"1743162",8,4,2,9,22,19,11,"v_1075",49,3.0683317480286e-05,21972.4480589925
"252514",53,51,27,175,108,211,91,"v_2313",71,3.07436898576567e-05,21963.7741814176
"82367",297,180,158,1408,481,957,461,"v_486",52,2.41615927321929e-05,21920.5640407217
"446660",98,39,52,201,141,345,169,"v_3777",72,2.89905490809996e-05,21920.0284982761
"122",87,64,43,247,148,323,122,"v_4798",99,2.98489642409408e-05,21895.0019621341
"106649",4,2,1,16,2,5,2,"v_1708",12,2.5932937423822e-05,21892.5850969272
"65958",63,32,30,138,102,182,96,"v_655",79,3.12548835755587e-05,21890.4995686862
"290180",34,10,3,69,42,52,45,"v_4874",27,3.0458089668616e-05,21883.5450633466
"178399",12,7,4,32,29,36,12,"v_2268",53,3.20379329125685e-05,21865.8209677562
"2594003",2110,714,412,2566,4250,3087,988,"v_629",11,1.88476544094088e-05,21857.551546101
"29419",3,3,0,6,4,19,7,"v_2921",54,2.90452815940051e-05,21843.5756884327
"477967",0,1,0,1,0,5,2,"v_5902",41,2.24124792684567e-05,21834.9363513048
"2242",18,5,2,31,18,44,21,"v_5257",46,3.1742001015744e-05,21831.0867819819
"2771361",823,487,545,2051,1204,2737,1846,"v_659",83,2.08916558726445e-05,21827.3487955782
"361183",208,132,129,794,401,572,194,"v_457",46,2.48997783919723e-05,21818.2692764578
"2211106",3,8,2,17,16,36,7,"v_2670",51,3.07692307692308e-05,21816.7240831639
"119",198,133,55,515,284,689,254,"v_4808",113,2.72650434877444e-05,21810.2180887026
"2714948",9,4,2,13,7,15,12,"v_2573",51,3.00670495204306e-05,21799.5382933409
"701347",3,8,4,24,8,42,20,"v_1869",45,3.09444238148286e-05,21798.7201795681
"2560506",0,0,1,2,0,3,1,"v_5672",53,2.1218808351723e-05,21793.9232940605
"2035",280,206,194,995,483,1121,715,"v_3011",107,2.4211316369271e-05,21762.9367927217
"52773",77,53,61,163,110,270,140,"v_3691",72,2.94325406169061e-05,21755.7173983654
"55148",127,67,58,194,173,388,188,"v_4556",96,2.94524784260596e-05,21744.375768266
"1935379",290,155,170,898,428,1016,513,"v_3018",157,2.4955080854462e-05,21727.4968692951
"1159613",9,2,3,20,9,14,7,"v_1861",17,2.71606279537183e-05,21716.4460493281
"2483033",47,33,18,189,95,175,71,"v_603",62,3.05203723485427e-05,21705.6641943268
"39791",51,39,42,139,85,200,112,"v_3465",55,3.01404545180541e-05,21703.3636741456
"488142",2,1,0,4,3,7,5,"v_1959",36,2.68096514745308e-05,21692.4799600681
"120831",423,109,84,5734,687,546,245,"v_4856",20,2.15521886247548e-05,21688.2281503056
"187303",237,199,157,557,358,812,359,"v_278",134,2.61697895948917e-05,21675.7850242833
"2067957",124,86,83,508,237,458,221,"v_220",26,2.63921879123779e-05,21672.0829022196
"316276",211,178,94,477,372,643,276,"v_2182",165,2.69767190914241e-05,21670.9175855088
"1795874",51,34,38,104,92,147,68,"v_975",29,2.984005729291e-05,21669.591146859
"1303590",2,3,1,3,2,10,13,"v_4187",38,2.85257873117298e-05,21668.2525015098
"94694",6,0,1,2,2,6,1,"v_5460",11,2.46669955599408e-05,21649.3398022354
"1938604",127,95,59,319,339,375,200,"v_1238",83,2.84082838555723e-05,21627.4988593855
"2642663",4,3,2,11,11,23,11,"v_4647",52,3.08489634748272e-05,21615.1962839564
"439481",1,1,0,3,0,11,3,"v_5480",26,2.49525900788502e-05,21613.9061524985
"29543",192,145,97,386,373,633,257,"v_2831",161,2.72457292319429e-05,21613.2884680536
"2714923",311,121,99,909,762,564,311,"v_860",63,2.44618395303327e-05,21597.0684648766
"246432",4,0,1,11,4,8,10,"v_4023",37,2.76793622674934e-05,21587.9000683507
"1573712",56,19,14,111,77,77,44,"v_1472",61,3.08584829969759e-05,21563.2879090358
"2748080",322,64,57,425,347,421,131,"v_1435",50,2.6499894000424e-05,21559.9568684147
"239106",23,19,26,151,34,74,44,"v_296",10,2.71054129509663e-05,21531.4205843137
"2689056",11,10,10,48,18,60,26,"v_3094",36,3.11264668347496e-05,21529.642531392
"53346",5,1,5,36,7,16,17,"v_4242",11,2.73373428102788e-05,21506.8896123665
"2565368",18,12,9,132,24,50,23,"v_1643",10,3.01777469294143e-05,21502.6426361275
"456",17,5,2,22,17,20,18,"v_2647",40,3.10520432244442e-05,21502.1403126283
"69362",170,79,81,626,231,453,287,"v_2990",14,2.47579906414795e-05,21500.8795298844
"1246305",0,0,0,2,2,2,1,"v_2568",82,2.11063973490365e-05,21454.2360735025
"1647309",0,0,0,2,2,2,1,"v_5512",82,2.11063973490365e-05,21454.2360735025
"2734279",0,0,0,2,2,2,1,"v_5665",82,2.11063973490365e-05,21454.2360735025
"33039",5,1,0,3,5,10,9,"v_4412",42,2.82398124876451e-05,21450.6313012171
"243233",218,178,103,441,405,890,281,"v_2533",168,2.64340470526038e-05,21448.0694012603
"224458",2228,1332,1095,5211,2927,5968,12460,"v_2780",10,1.71019102833787e-05,21431.1677279374
"37921",483,277,246,2328,723,1728,830,"v_3065",48,2.2269235051776e-05,21413.9164469349
"125",282,221,78,1027,486,1090,346,"v_4781",72,2.48441032520931e-05,21381.5945494118
"1332264",277,160,145,790,390,975,480,"v_3558",151,2.55649861949075e-05,21343.7938468556
"2819280",148,130,68,338,299,464,200,"v_2167",115,2.82262617138986e-05,21329.0517209786
"1244",1,2,1,5,9,18,7,"v_4132",28,2.89268151576511e-05,21327.7344321924
"2626589",94,71,49,383,173,380,206,"v_3100",42,2.86082105564297e-05,21318.4793596136
"2052056",24,8,9,65,39,76,37,"v_2010",38,3.1970331532338e-05,21313.2382921271
"401053",178,129,123,383,279,625,358,"v_5015",126,2.69447363457549e-05,21309.8908202288
"44",1143,646,371,2466,1632,3598,3086,"v_2777",18,1.9723865877712e-05,21299.2882461612
"321846",48,25,12,126,70,121,48,"v_1646",83,3.17470395885584e-05,21282.1195031261
"46127",3,1,0,10,6,9,12,"v_4026",67,2.85379983447961e-05,21257.6576598561
"1229909",9,6,1,17,13,66,56,"v_5408",66,3.22455823552173e-05,21257.2477738162
"2698684",183,135,103,358,316,589,225,"v_2551",162,2.7358284088422e-05,21256.5699550983
"161879",41,41,25,142,68,224,101,"v_3463",31,3.04878048780488e-05,21234.260996446
"2604047",101,75,103,847,197,368,155,"v_1013",22,2.4817590708294e-05,21234.2447588352
"692036",309,210,85,810,460,1082,503,"v_4768",118,2.53704079561599e-05,21233.5010802508
"1827300",26,6,5,39,36,35,10,"v_1501",51,3.1501023783273e-05,21226.7737016687
"1718",12,8,7,62,23,42,18,"v_3487",16,3.01877679164403e-05,21199.0463141204
"936337",84,64,42,342,124,322,145,"v_2991",36,2.86952279835863e-05,21194.8925580961
"1285901",301,188,168,925,482,1190,570,"v_3557",193,2.4836698706008e-05,21192.4415486296
"204536",4,3,0,7,4,11,5,"v_5139",43,2.79978721617157e-05,21187.1987794386
"67304",1296,510,814,2186,1145,2944,5846,"v_3192",22,1.88811056775485e-05,21178.583370524
"1427366",1,0,0,13,3,13,4,"v_2076",39,2.7168745075665e-05,21146.3050144546
"1908198",10,14,5,28,24,50,14,"v_2621",64,3.19142145911789e-05,21141.8783696063
"1229621",11,1,3,21,11,24,13,"v_4405",57,3.07049864898059e-05,21123.3336367072
"2051",41,16,6,59,41,77,42,"v_3707",71,3.22820156890596e-05,21110.9733428142
"1081866",141,112,86,383,239,577,235,"v_2229",143,2.77592715967133e-05,21088.7332491051
"2494234",184,129,89,342,326,503,256,"v_1149",134,2.74197970935015e-05,21082.5347698127
"188770",258,111,133,505,290,806,463,"v_3280",75,2.57871528404549e-05,21066.8360328202
"2447890",13,1,2,19,36,20,6,"v_1953",39,3.06974459724951e-05,21065.1673042145
"1510",22,23,9,18,13,39,20,"v_4311",21,3.06927350296185e-05,21058.7104379462
"1285599",1,0,1,6,2,5,4,"v_5981",23,2.51502728804608e-05,21034.2974216567
"1636610",36,5,6,42,38,48,22,"v_1499",48,3.15188955778989e-05,21027.3450510499
"146919",467,278,258,948,868,1766,743,"v_4992",113,2.34252383518002e-05,21021.9969653106
"478",4,1,1,10,7,6,6,"v_1744",30,2.75839240890409e-05,21013.0658381531
"2572923",12,2,3,19,15,32,7,"v_2597",31,3.04515971862724e-05,21009.8485526415
"1415630",22,1,4,16,10,9,6,"v_1527",14,2.68940107038163e-05,20988.3314980943
"136241",1,0,0,2,2,2,1,"v_4685",45,2.18928563609694e-05,20966.8059368436
"75658",1,0,2,6,8,6,7,"v_2881",19,2.62377666413035e-05,20960.9427478307
"1141663",0,0,0,2,0,1,1,"v_2121",63,1.86919381670685e-05,20959.6427574897
"2107",0,0,0,2,0,1,1,"v_4699",63,1.86919381670685e-05,20959.6427574897
"2134",0,0,0,2,0,1,1,"v_4730",63,1.86919381670685e-05,20959.6427574897
"2560505",0,0,0,2,0,1,1,"v_5656",63,1.86919381670685e-05,20959.6427574897
"1984784",0,0,0,2,0,1,1,"v_5801",63,1.86919381670685e-05,20959.6427574897
"2733922",0,0,0,2,0,1,1,"v_5897",63,1.86919381670685e-05,20959.6427574897
"2026199",399,259,562,1195,732,1350,639,"v_1016",88,2.31336895921531e-05,20944.7525537163
"1894",59,33,57,161,128,308,134,"v_3308",78,2.95963063809637e-05,20928.8831164058
"1208919",2,2,1,3,6,5,1,"v_1291",19,2.56904303147078e-05,20919.4721056997
