"","X3xfYM2CHIPOOA051365.extra.kraken2.report","jYxWM2CHIPOOB051110.extra.kraken2.report","j1iWM2CHIPOOBXX1561.extra.kraken2.report","X1ayWM2CHIPOOB100705.extra.kraken2.report","oAVVM2CHIPOOB051360.extra.kraken2.report","hoQoM2CHIPOOA051115.extra.kraken2.report","eBCjM2CHIPOOBXX1180.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"1709477",11,8,3,20,13,39,22,"v_2462",76,3.22809735941636e-05,118668.949219016
"2675794",0,0,0,3,1,2,3,"v_1926",58,2.22578347578348e-05,114309.853594839
"218936",84,58,38,191,154,311,132,"v_2347",166,3.08137922534126e-05,113346.873437846
"1615494",23,19,12,52,46,104,46,"v_2041",103,3.29088096883536e-05,113287.52094149
"1163748",29,15,4,38,33,59,20,"v_2372",97,3.26487968918345e-05,112967.223275544
"1815583",23,16,12,69,54,109,41,"v_1251",90,3.27535947070191e-05,112175.040182275
"1457195",8,3,1,13,9,16,2,"v_1042",38,2.95342449570277e-05,111876.897217999
"43771",57,42,36,166,96,283,129,"v_3459",129,3.06814346638849e-05,111227.038276461
"60480",2,0,2,5,4,11,5,"v_2422",28,2.69701709908841e-05,111053.262116636
"1874277",25,15,13,53,33,83,56,"v_5420",60,3.24949632806915e-05,110180.810360051
"626937",43,24,16,78,63,134,58,"v_4432",125,3.2680806562306e-05,109732.393299923
"1840265",7,3,1,11,15,26,13,"v_899",81,3.16035648821187e-05,109205.398797504
"65058",32,14,12,68,47,93,52,"v_3483",62,3.2266391326794e-05,108520.730900564
"1573720",17,7,3,37,23,47,21,"v_1502",68,3.29826181602296e-05,108073.832992954
"948519",11,7,5,29,23,41,17,"v_2351",66,3.28461159467893e-05,108003.074053159
"1160721",4,1,1,7,10,17,7,"v_4306",75,3.00598190398894e-05,107858.512354848
"97481",0,0,0,6,1,6,5,"v_2752",38,2.47727103822429e-05,107684.287297146
"669",8,3,3,17,10,23,17,"v_2560",90,3.1814711122423e-05,107681.30492992
"417367",17,17,7,51,31,53,83,"v_3927",58,3.24801870858776e-05,107377.969353621
"1229908",10,6,2,19,18,33,30,"v_5406",75,3.22674324803975e-05,107215.965265708
