"","pse1M2MAIPOOA100685.extra.kraken2.report","AJwcM2MAIPOOA100700.extra.kraken2.report","qU3SM2MAIPOOM070605.extra.kraken2.report","B7zTM2MAIPOOA070610.extra.kraken2.report","c5isM2MAIPOOA070615.extra.kraken2.report","TgLUM2MAIPOOM070620.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2773299",8.73031462863424e-05,0.000128662915612346,0.000115274590733588,0.000163310099749809,0.000150594256373187,0.00017419825041767,"v_3940",338,3.07059293149507e-05,47133.9879351581
"83564",9.32556335331385e-05,0.000128109526727991,0.000118187667033714,0.000150245291769824,0.000131912943557273,0.00015199651261934,"v_3948",338,3.07682840527984e-05,29501.2901752123
"1873716",0.000128970557013915,0.0001424976377212,0.000134417663562992,0.000150245291769824,0.000156313025602549,0.000187860858293566,"v_2228",337,2.9771651433505e-05,19558.5183477393
"2725477",0.000144843856338704,0.000205307276095399,0.000205163802280356,0.000215569331669748,0.000211975712768334,0.000225859986448401,"v_2856",337,2.82685512367491e-05,17489.2466824444
"106634",0.000128970557013915,0.000169613693054554,0.000148566891306465,0.000202504523689763,0.000152881764064932,0.000203231292153949,"v_3413",337,2.9292012068309e-05,24335.3657764317
"119484",0.00012103390735152,0.000155225582061346,0.000147318430034982,0.000176374907729794,0.000184144369185441,0.000184872162820714,"v_3968",337,2.9771651433505e-05,19558.5183477393
"2587844",0.000111113095273527,0.000166016665306252,0.000151896121363753,0.000169842503739801,0.00017995060508391,0.000199388683688853,"v_3453",336,2.95963063809637e-05,28399.2944859668
"2812648",0.00016666964291029,0.000201156859462742,0.000174368424250445,0.000228634139649732,0.000212738215332249,0.000251477376215705,"v_3688",336,2.8258965156696e-05,16945.5267795932
"274493",0.000132938881845112,0.000174870887455919,0.000163964580321421,0.000176374907729794,0.000171944328162803,0.000189141727781931,"v_4276",336,2.93720260823592e-05,24075.5362310278
"2638792",0.000126986394598316,0.000216651748224659,0.000201834572223068,0.00022210173565974,0.000203969435847228,0.000228848681921253,"v_799",335,2.86837047873103e-05,15599.7294333815
"119",0.000130954719429514,0.000175147581898096,0.000141908431191889,0.000163310099749809,0.000143731733297953,0.000212624335068627,"v_4093",333,2.94230146820843e-05,27024.8529480144
