"","auc5_percent_deg","f_stat_deg","var_deg"
"1",38,1.60543373820807,NA
"2",79,1.13108521780035,0.112503259406497
"3",122,1.31293382102551,0.0572719391432899
"4",167,1.45529342944786,0.0409625808153496
"5",215,1.22628162384561,0.0352162330857484
"6",265,1.07831948259547,0.0401334787547484
"7",318,1.08949997590526,0.0398686452027054
"8",373,1.04003101262473,0.040856705392689
"9",432,0.967622062786727,0.0441363747164268
"10",495,0.84239690339495,0.0528806636481273
"11",562,0.788747614992931,0.0611476636908236
"12",636,0.634741198116734,0.0768446309489011
"13",720,0.53741370642904,0.0945885602393226
"14",817,0.454464434885296,0.113038422634387
"15",932,0.346504800705921,0.134466167476012
"16",1075,0.196669332826314,0.162626882898065
"17",1265,-0.281856991727828,0.237319978154073
"18",1525,-0.625407004590416,0.344059388973118
"19",1929,-0.9639651086567,0.482582866359828
"20",3686,-1.07620548715677,0.6106231326622
