"","FvY2M2TOMPOOB051329.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report"
"1325100",1960,377,2107,4532,2270,3110,2118,1439,1464,2635,1141
"288000",1647,238,1974,4946,1744,2721,1715,1264,1357,2404,1021
"1223566",998,0,1349,2942,1082,2874,1113,1071,1383,1743,2627
"114615",1688,188,1607,3829,1683,2642,1600,1183,1341,2155,941
"1325102",1128,407,1962,4697,1405,0,1431,1779,0,2464,0
"1197460",1325,242,1339,3261,1393,2026,1438,1018,981,1749,873
"115808",1605,215,1717,3741,1703,2610,1565,1239,1227,2069,936
"2057741",1281,221,1367,4740,1383,2066,1363,976,1116,1685,918
"1325120",1171,227,1301,3069,1277,1876,1277,904,964,1607,725
"2715960",1037,170,1205,3658,1250,1767,1171,785,903,1494,709
"1404888",924,302,1278,2583,1095,2667,1131,838,1218,1409,2016
"1325114",757,289,2084,2392,1283,8324,1875,634,1005,1224,1632
"1325112",880,141,1164,2253,1114,2126,1075,676,872,1182,986
"1325111",958,163,1231,2424,1046,2043,1016,806,944,1320,1012
"376",669,124,846,1805,784,1519,708,506,648,888,720
"319017",271,56,336,852,352,640,330,220,294,381,340
"2493093",171,24,193,580,158,278,153,107,137,205,163
"2599805",80,16,112,226,70,282,95,66,77,107,113
"2599819",82,11,108,230,83,258,83,44,68,72,120
"1404649",27,2,28,275,26,40,22,16,21,37,20
"1325083",9,1,9,32,8,26,6,9,9,12,8
"2578113",0,0,0,3,0,1,0,1,1,0,0
"1274631",3263,994,3072,5880,3180,3773,3229,2790,5384,4896,2959
"1437360",5397,906,7029,15297,5669,8167,5782,4262,4438,6937,3278
"190148",2843,1116,2782,5429,2949,3639,3005,2271,2287,4072,1569
"1355477",4299,847,5841,0,5240,10805,4890,3251,4257,0,0
"722472",1887,333,2021,4968,2016,2708,1924,1431,1398,2318,1004
"83637",1595,253,1626,3768,1776,2478,1666,1088,1177,2078,904
"1245469",1739,233,1790,4324,1776,2707,1711,1301,1399,2157,1153
"255045",1367,263,1632,4636,1536,2133,1510,1020,1139,1836,810
"476282",215,40,252,555,238,481,242,185,196,292,230
"1037409",3,1,1,3,1,5,0,2,2,3,8
"1325107",1071,261,1412,3038,1412,2680,1820,883,1190,1451,1627
"1549949",1053,248,1423,3383,1324,2808,1324,948,1616,1424,2805
"1404367",963,224,1975,3257,1336,3897,1304,813,1271,1356,1692
"1404864",997,159,1487,2561,1097,2430,1040,739,979,1252,1204
"858423",918,189,1280,2573,1202,2519,1099,786,978,1310,1230
"1325090",1292,263,1697,5234,1358,2717,1377,840,1468,1486,1568
"83627",999,161,1199,2502,1092,2018,1060,752,897,1356,957
"1325115",852,213,1721,2517,1408,5393,1842,745,1128,1372,1731
"1325095",903,148,1238,2325,1059,2056,1012,723,800,1229,915
"1404768",619,144,1142,1758,795,2858,800,531,671,840,1002
"244734",608,112,913,4139,751,1476,681,490,675,865,847
"931866",186,63,242,537,218,470,243,130,181,258,201
"1275962",29,1,19,100,17,17,14,28,12,29,35
"1867715",2453,756,1849,10143,1567,2710,1506,1594,2709,2341,1487
"2020412",1432,422,1450,6887,1296,1956,1089,1044,2242,1870,983
"2599640",1951,406,1745,5008,1549,2328,1386,1508,2693,2252,1159
"1842539",1769,287,1708,4036,1401,2300,1337,1352,1582,1926,1104
"2015316",1554,424,1737,5952,1443,2210,1291,1189,2166,1858,1020
"1792307",1361,224,1322,3155,1146,1520,1059,1084,1187,1543,840
"1526658",1627,272,1505,3969,1260,2092,1193,1240,1385,1879,972
"316058",1656,208,1717,4542,1670,2354,1510,1101,1290,1951,872
"316055",1346,173,1504,4173,1362,2027,1387,1032,1134,1605,753
"316056",1374,215,1590,4478,1514,2046,1377,971,1222,1762,882
"652103",303,31,367,1064,310,440,221,198,238,371,179
"395960",224,35,260,780,285,390,229,216,208,300,180
"2592814",38,10,42,120,41,39,40,29,21,50,24
"2592817",15,4,24,62,24,21,18,10,7,18,9
"2592815",32,1,21,30,11,37,25,22,21,30,15
"2592816",8,2,9,9,8,6,1,6,5,5,4
"943830",1189,166,1300,4461,1192,1849,1096,800,1130,1454,653
"1882747",1019,225,1069,3199,1111,1553,1077,743,869,1442,539
"504832",19,0,7,123,13,13,19,18,26,13,36
"1333996",1948,242,2257,4269,1888,3240,2050,1397,1688,2144,1073
"323097",1094,412,1957,44838,2591,1866,1317,824,4658,1318,8529
"323098",777,419,1276,63896,1272,1415,920,738,2310,1252,14284
"675281",2346,332,3688,13529,2525,2904,1756,1773,3669,2348,1972
"2584466",1414,281,3571,17587,2832,2557,1150,1200,3704,1813,1402
"2108445",908,228,1883,11218,1375,1337,652,902,2876,1029,1149
"2082387",1054,178,1769,8908,1368,1865,777,801,1977,1123,878
"2493672",883,132,1246,4921,1053,1185,710,680,1383,1003,658
"2493673",993,155,1385,4942,1288,1460,878,834,1354,1301,622
"2493676",860,141,1372,5479,1085,1307,792,653,1467,973,663
"2493668",780,160,939,4151,759,905,583,702,1204,784,593
"2777475",978,217,1884,6353,1684,3683,1653,726,1508,1808,667
"2493680",864,382,1355,4601,1135,1296,767,672,1330,2039,666
"2493675",766,134,1197,4351,984,1057,586,650,1218,835,545
"2744518",818,161,1286,5048,982,1189,640,687,1363,932,629
"2744521",835,146,986,4039,792,840,573,788,1275,910,635
"2493669",796,150,1185,4857,1052,1229,709,640,1315,1049,578
"2654248",782,141,1209,5794,946,977,570,631,1234,863,621
"2493677",654,122,878,3471,693,858,539,548,1060,748,517
"2493679",542,83,905,3481,653,829,419,429,920,604,406
"2493678",512,77,826,3592,583,724,431,402,749,575,383
"2493671",440,77,816,2864,654,1027,692,362,690,663,324
"2654249",392,70,692,3333,421,484,274,322,935,450,384
"2483404",518,73,783,3032,574,665,440,372,738,594,348
