"","X0n7bM2TOMPOOA100365.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"1325100",3889,3021,3155,374,1254,1317,2187,1626,1711,1270,0
"288000",3070,2371,2153,401,1141,1210,1454,1299,1508,1188,928
"1223566",2970,2921,3851,204,812,654,1432,1138,1292,917,595
"114615",2912,2276,2109,356,1073,1154,1462,1272,1423,1113,825
"1325102",2872,2056,2550,211,1150,961,2152,1477,1305,936,812
"1197460",2825,2206,2125,257,888,910,1329,1104,1183,810,571
"115808",2812,2209,2012,363,977,1100,1483,1261,1474,1122,821
"2057741",2639,2118,2011,274,885,895,1173,1067,1137,937,662
"1325120",2463,1867,1846,227,793,799,1211,945,1076,791,576
"2715960",2286,1737,1705,219,751,740,1117,864,1015,695,520
"1404888",1940,1639,1601,214,685,618,1248,829,1047,722,599
"1325114",1809,1306,1334,160,579,688,2306,758,744,618,706
"1325112",1759,1349,1367,222,628,668,1180,768,846,572,449
"1325111",1711,1467,1326,186,707,702,1089,797,926,1031,827
"376",1229,1005,908,138,445,408,819,551,601,488,353
"319017",561,430,403,62,195,179,354,226,246,207,170
"2493093",287,242,199,26,138,124,165,158,157,119,82
"2599805",141,122,129,18,60,47,115,64,85,59,47
"2599819",139,110,82,15,54,48,112,61,72,49,16
"1404649",48,46,42,9,18,16,21,22,42,24,9
"1325083",13,10,11,0,4,6,6,1,5,6,6
"2578113",2,0,0,0,0,0,1,0,0,0,0
"1274631",12525,9274,10306,406,1994,1949,4797,3041,3550,2049,1008
"1437360",11526,8565,8295,1054,3572,3728,5058,4420,4758,3777,2648
"190148",11441,11678,9939,372,1681,1624,4651,2678,2941,1451,903
"1355477",7919,6370,0,887,2894,0,5534,3568,3875,2930,2353
"722472",4010,2992,2825,373,1246,1272,1789,1659,1748,1289,864
"83637",3130,2371,2419,307,966,1027,1548,1237,1398,1063,742
"1245469",3034,2426,2141,424,1144,1136,1497,1340,1518,1145,860
"255045",3004,2261,2196,318,844,921,1375,1131,1124,1065,665
"476282",444,346,298,53,131,151,301,185,218,144,112
"1037409",10,1,6,1,2,0,0,1,1,0,1
"1325107",2156,1740,1595,174,782,766,1793,1029,1005,788,615
"1549949",1958,1606,1526,226,815,733,1531,925,1095,820,707
"1404367",1958,1576,1463,229,730,759,1448,780,971,656,670
"1404864",1949,1470,1409,209,650,698,1123,753,872,676,576
"858423",1921,1526,1439,199,718,647,1279,819,916,645,574
"1325090",1828,1618,1386,264,943,904,1395,1036,938,731,747
"83627",1818,1524,1316,219,725,692,1073,837,884,665,535
"1325115",1664,1328,1271,175,658,584,3269,790,833,628,751
"1325095",1641,1327,1234,199,601,608,1025,723,811,578,483
"1404768",1262,1008,940,146,467,469,914,516,541,436,410
"244734",1141,942,797,153,426,408,707,502,561,564,410
"931866",475,383,339,38,140,136,253,153,166,134,109
"1275962",30,25,19,5,19,15,17,7,31,23,7
"1867715",4149,4051,2395,769,2784,1644,1281,1615,1915,1315,986
"2020412",3371,2789,1828,932,1477,936,1005,1139,1281,1000,655
"2599640",3221,3169,2047,1294,1886,1292,1258,1524,1821,1292,811
"1842539",2802,2577,1786,587,1562,1240,1090,1438,1642,1112,754
"2015316",2517,2338,1656,854,1555,1093,1006,1160,1371,1201,773
"1792307",2293,2135,1483,467,1138,955,863,1041,1246,841,645
"1526658",2546,2519,1725,537,1358,1128,1008,1284,1425,1082,774
"316058",2819,2049,1811,391,1074,1086,1156,1152,1301,1211,870
"316055",2576,1828,1610,326,907,933,937,960,1113,1028,725
"316056",2462,1870,1630,362,884,924,1116,985,1099,1059,804
"652103",499,351,313,98,207,204,201,221,236,181,148
"395960",404,330,282,63,184,185,176,214,289,164,131
"2592814",75,57,44,2,27,32,25,42,35,27,17
"2592817",21,14,16,5,4,12,12,3,13,7,9
"2592815",15,25,19,7,18,21,18,22,19,16,9
"2592816",13,8,9,1,4,6,6,7,5,4,3
"943830",2191,1661,1506,335,801,751,899,890,985,984,749
"1882747",2603,2121,2072,197,701,642,1060,866,946,697,522
"504832",22,32,11,4,14,12,13,11,18,26,7
"1333996",3845,2516,2621,471,1276,1390,1305,1348,1614,1298,1104
"323097",2009,4031,1464,398,854,729,1127,1239,993,2888,1571
"323098",1429,4279,1121,947,842,640,682,719,759,1190,826
"675281",3747,3791,2145,2174,2232,1511,1322,1718,2118,1749,1474
"2584466",2782,2809,1484,2118,1425,980,937,957,1277,1743,1562
"2108445",2066,2355,1370,1866,1053,677,504,644,947,885,855
"2082387",1909,1912,1022,1213,927,736,629,661,855,992,824
"2493672",1613,1444,924,698,766,628,707,702,754,1333,964
"2493673",1607,1568,1029,717,825,707,906,787,917,1472,1123
"2493676",1546,1514,903,826,690,588,595,644,801,1165,868
"2493668",1542,1699,829,668,740,556,489,666,792,727,501
"2777475",1541,1665,1012,837,865,689,1411,1005,820,6131,6126
"2493680",1513,2063,1547,690,705,955,700,1152,726,1272,981
"2493675",1454,1376,852,693,627,562,503,583,701,797,582
"2744518",1453,1525,853,756,740,578,537,670,810,902,714
"2744521",1438,1715,946,671,766,650,504,733,833,744,453
"2493669",1402,1375,898,646,698,590,710,728,717,1246,888
"2654248",1391,1325,798,736,704,497,491,613,750,695,591
"2493677",1076,1246,696,524,564,504,435,522,660,573,415
"2493679",899,911,578,499,479,379,349,412,469,566,458
"2493678",836,918,513,437,430,360,311,355,476,483,454
"2493671",831,797,491,397,425,350,669,379,410,1507,1433
"2654249",804,750,435,568,392,267,212,254,347,372,322
"2483404",783,817,526,388,398,341,373,384,417,487,352
"2493681",773,775,475,343,394,300,307,356,386,447,317
"2744523",771,837,422,376,533,420,265,415,480,318,263
"2744516",718,731,410,353,339,329,285,347,408,413,315
"1854057",701,1024,476,265,401,273,263,373,372,392,213
"2744522",670,719,405,407,355,345,215,268,371,274,252
"2483403",568,524,321,260,267,243,226,255,300,319,258
"2744517",538,525,324,238,286,249,259,253,262,325,264
"2493674",438,398,250,200,236,189,336,243,242,743,652
"2493670",397,423,269,199,190,167,279,210,213,677,664
"2744515",193,197,115,81,75,77,64,83,86,105,76
"278153",147,234,118,104,113,78,63,87,113,92,83
"2744520",107,101,62,39,57,45,51,39,37,59,40
"2744519",100,104,69,19,64,56,37,77,54,47,29
"2483402",73,72,45,32,29,19,26,35,47,43,20
"1670800",2876,2712,1629,1720,1585,1164,865,1110,1564,1265,1122
"1082933",1432,1460,842,664,693,567,477,608,757,718,575
"935548",789,763,506,398,387,328,296,339,481,384,309
"935546",107,99,56,33,70,41,62,62,59,43,42
"682633",717,886,470,264,350,320,236,353,412,311,220
"278148",186,205,100,80,113,98,93,97,113,94,88
"754035",1062,992,630,515,512,428,399,503,575,558,448
"536019",1016,1022,552,504,515,402,397,441,530,575,463
"1777866",809,828,465,469,431,334,333,376,423,461,383
"763057",78,86,56,53,32,39,34,45,43,67,45
"266835",209,223,125,91,94,71,124,76,82,102,89
"2725666",93,64,66,37,34,40,30,40,44,80,34
"2774562",2408,530,912,298,222,163,120,191,194,158,118
"374606",2241,2026,1249,1357,1050,780,575,757,977,894,693
"2666139",510,300,284,260,123,72,64,98,91,117,103
"83263",723,323,374,160,130,118,90,124,175,125,70
"266779",6197,20712,2603,720,3756,959,804,4604,4962,16274,839
"2599600",2386,2427,1395,1347,1331,1105,795,1039,1313,1130,995
"1756988",1180,1146,705,662,620,471,396,483,663,621,450
"1852022",1781,1785,1156,625,974,973,828,936,1169,941,699
"1620421",837,763,528,304,446,409,308,404,521,405,247
"411684",765,663,495,320,392,348,258,330,418,314,250
"2742145",1370,1327,814,564,695,603,483,582,761,615,495
"1867719",839,817,585,350,475,375,291,459,498,450,305
"2718938",496,380,333,163,202,191,169,218,233,182,163
"2712698",538,432,404,180,258,252,196,255,253,322,171
"2305987",43,42,44,9,14,19,22,19,23,17,15
"2613769",10462,9853,6803,6170,5384,4655,4400,4923,5795,6018,4236
"384",5446,5108,3422,1919,2686,2437,2356,2863,3079,2598,1883
"29449",2081,2436,1392,724,774,695,669,813,895,935,674
