"","X9JUZM2TOMPOOB100355.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report"
"1325100",377,1464,1141,4532,3110,2118,1626,1439,1270,2635,2107
"288000",238,1357,1021,4946,2721,1715,1299,1264,1188,2404,1974
"1223566",0,1383,2627,2942,2874,1113,1138,1071,917,1743,1349
"114615",188,1341,941,3829,2642,1600,1272,1183,1113,2155,1607
"1325102",407,0,0,4697,0,1431,1477,1779,936,2464,1962
"1197460",242,981,873,3261,2026,1438,1104,1018,810,1749,1339
"115808",215,1227,936,3741,2610,1565,1261,1239,1122,2069,1717
"2057741",221,1116,918,4740,2066,1363,1067,976,937,1685,1367
"1325120",227,964,725,3069,1876,1277,945,904,791,1607,1301
"2715960",170,903,709,3658,1767,1171,864,785,695,1494,1205
"1404888",302,1218,2016,2583,2667,1131,829,838,722,1409,1278
"1325114",289,1005,1632,2392,8324,1875,758,634,618,1224,2084
"1325112",141,872,986,2253,2126,1075,768,676,572,1182,1164
"1325111",163,944,1012,2424,2043,1016,797,806,1031,1320,1231
"376",124,648,720,1805,1519,708,551,506,488,888,846
"319017",56,294,340,852,640,330,226,220,207,381,336
"2493093",24,137,163,580,278,153,158,107,119,205,193
"2599805",16,77,113,226,282,95,64,66,59,107,112
"2599819",11,68,120,230,258,83,61,44,49,72,108
"1404649",2,21,20,275,40,22,22,16,24,37,28
"1325083",1,9,8,32,26,6,1,9,6,12,9
"2578113",0,1,0,3,1,0,0,1,0,0,0
"1274631",994,5384,2959,5880,3773,3229,3041,2790,2049,4896,3072
"1437360",906,4438,3278,15297,8167,5782,4420,4262,3777,6937,7029
"190148",1116,2287,1569,5429,3639,3005,2678,2271,1451,4072,2782
"1355477",847,4257,0,0,10805,4890,3568,3251,2930,0,5841
"722472",333,1398,1004,4968,2708,1924,1659,1431,1289,2318,2021
"83637",253,1177,904,3768,2478,1666,1237,1088,1063,2078,1626
"1245469",233,1399,1153,4324,2707,1711,1340,1301,1145,2157,1790
"255045",263,1139,810,4636,2133,1510,1131,1020,1065,1836,1632
"476282",40,196,230,555,481,242,185,185,144,292,252
"1037409",1,2,8,3,5,0,1,2,0,3,1
"1325107",261,1190,1627,3038,2680,1820,1029,883,788,1451,1412
"1549949",248,1616,2805,3383,2808,1324,925,948,820,1424,1423
