"","X9JUZM2TOMPOOB100355.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"1325100",377,3155,1464,3110,1254,1960,2187,1626,2635,2107,0
"288000",238,2153,1357,2721,1141,1647,1454,1299,2404,1974,928
"1223566",0,3851,1383,2874,812,998,1432,1138,1743,1349,595
"114615",188,2109,1341,2642,1073,1688,1462,1272,2155,1607,825
"1325102",407,2550,0,0,1150,1128,2152,1477,2464,1962,812
"1197460",242,2125,981,2026,888,1325,1329,1104,1749,1339,571
"115808",215,2012,1227,2610,977,1605,1483,1261,2069,1717,821
"2057741",221,2011,1116,2066,885,1281,1173,1067,1685,1367,662
"1325120",227,1846,964,1876,793,1171,1211,945,1607,1301,576
"2715960",170,1705,903,1767,751,1037,1117,864,1494,1205,520
"1404888",302,1601,1218,2667,685,924,1248,829,1409,1278,599
"1325114",289,1334,1005,8324,579,757,2306,758,1224,2084,706
"1325112",141,1367,872,2126,628,880,1180,768,1182,1164,449
"1325111",163,1326,944,2043,707,958,1089,797,1320,1231,827
"376",124,908,648,1519,445,669,819,551,888,846,353
"319017",56,403,294,640,195,271,354,226,381,336,170
"2493093",24,199,137,278,138,171,165,158,205,193,82
"2599805",16,129,77,282,60,80,115,64,107,112,47
"2599819",11,82,68,258,54,82,112,61,72,108,16
"1404649",2,42,21,40,18,27,21,22,37,28,9
"1325083",1,11,9,26,4,9,6,1,12,9,6
"2578113",0,0,1,1,0,0,1,0,0,0,0
"1274631",994,10306,5384,3773,1994,3263,4797,3041,4896,3072,1008
"1437360",906,8295,4438,8167,3572,5397,5058,4420,6937,7029,2648
"190148",1116,9939,2287,3639,1681,2843,4651,2678,4072,2782,903
"1355477",847,0,4257,10805,2894,4299,5534,3568,0,5841,2353
"722472",333,2825,1398,2708,1246,1887,1789,1659,2318,2021,864
"83637",253,2419,1177,2478,966,1595,1548,1237,2078,1626,742
"1245469",233,2141,1399,2707,1144,1739,1497,1340,2157,1790,860
"255045",263,2196,1139,2133,844,1367,1375,1131,1836,1632,665
"476282",40,298,196,481,131,215,301,185,292,252,112
"1037409",1,6,2,5,2,3,0,1,3,1,1
"1325107",261,1595,1190,2680,782,1071,1793,1029,1451,1412,615
"1549949",248,1526,1616,2808,815,1053,1531,925,1424,1423,707
"1404367",224,1463,1271,3897,730,963,1448,780,1356,1975,670
"1404864",159,1409,979,2430,650,997,1123,753,1252,1487,576
"858423",189,1439,978,2519,718,918,1279,819,1310,1280,574
"1325090",263,1386,1468,2717,943,1292,1395,1036,1486,1697,747
