"","TECcM2TOMPOOA051310.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report"
"1325100",1317,3889,3110,377,1141,1626,2635,1464,1711,2187,2107
"288000",1210,3070,2721,238,1021,1299,2404,1357,1508,1454,1974
"1223566",654,2970,2874,0,2627,1138,1743,1383,1292,1432,1349
"114615",1154,2912,2642,188,941,1272,2155,1341,1423,1462,1607
"1325102",961,2872,0,407,0,1477,2464,0,1305,2152,1962
"1197460",910,2825,2026,242,873,1104,1749,981,1183,1329,1339
"115808",1100,2812,2610,215,936,1261,2069,1227,1474,1483,1717
"2057741",895,2639,2066,221,918,1067,1685,1116,1137,1173,1367
"1325120",799,2463,1876,227,725,945,1607,964,1076,1211,1301
"2715960",740,2286,1767,170,709,864,1494,903,1015,1117,1205
"1404888",618,1940,2667,302,2016,829,1409,1218,1047,1248,1278
"1325114",688,1809,8324,289,1632,758,1224,1005,744,2306,2084
"1325112",668,1759,2126,141,986,768,1182,872,846,1180,1164
"1325111",702,1711,2043,163,1012,797,1320,944,926,1089,1231
"376",408,1229,1519,124,720,551,888,648,601,819,846
"319017",179,561,640,56,340,226,381,294,246,354,336
"2493093",124,287,278,24,163,158,205,137,157,165,193
"2599805",47,141,282,16,113,64,107,77,85,115,112
"2599819",48,139,258,11,120,61,72,68,72,112,108
"1404649",16,48,40,2,20,22,37,21,42,21,28
"1325083",6,13,26,1,8,1,12,9,5,6,9
"2578113",0,2,1,0,0,0,0,1,0,1,0
"1274631",1949,12525,3773,994,2959,3041,4896,5384,3550,4797,3072
"1437360",3728,11526,8167,906,3278,4420,6937,4438,4758,5058,7029
"190148",1624,11441,3639,1116,1569,2678,4072,2287,2941,4651,2782
"1355477",0,7919,10805,847,0,3568,0,4257,3875,5534,5841
"722472",1272,4010,2708,333,1004,1659,2318,1398,1748,1789,2021
"83637",1027,3130,2478,253,904,1237,2078,1177,1398,1548,1626
"1245469",1136,3034,2707,233,1153,1340,2157,1399,1518,1497,1790
"255045",921,3004,2133,263,810,1131,1836,1139,1124,1375,1632
"476282",151,444,481,40,230,185,292,196,218,301,252
"1037409",0,10,5,1,8,1,3,2,1,0,1
"1325107",766,2156,2680,261,1627,1029,1451,1190,1005,1793,1412
"1549949",733,1958,2808,248,2805,925,1424,1616,1095,1531,1423
"1404367",759,1958,3897,224,1692,780,1356,1271,971,1448,1975
"1404864",698,1949,2430,159,1204,753,1252,979,872,1123,1487
"858423",647,1921,2519,189,1230,819,1310,978,916,1279,1280
"1325090",904,1828,2717,263,1568,1036,1486,1468,938,1395,1697
"83627",692,1818,2018,161,957,837,1356,897,884,1073,1199
"1325115",584,1664,5393,213,1731,790,1372,1128,833,3269,1721
"1325095",608,1641,2056,148,915,723,1229,800,811,1025,1238
"1404768",469,1262,2858,144,1002,516,840,671,541,914,1142
"244734",408,1141,1476,112,847,502,865,675,561,707,913
"931866",136,475,470,63,201,153,258,181,166,253,242
"1275962",15,30,17,1,35,7,29,12,31,17,19
"1867715",1644,4149,2710,756,1487,1615,2341,2709,1915,1281,1849
"2020412",936,3371,1956,422,983,1139,1870,2242,1281,1005,1450
"2599640",1292,3221,2328,406,1159,1524,2252,2693,1821,1258,1745
"1842539",1240,2802,2300,287,1104,1438,1926,1582,1642,1090,1708
"2015316",1093,2517,2210,424,1020,1160,1858,2166,1371,1006,1737
"1792307",955,2293,1520,224,840,1041,1543,1187,1246,863,1322
"1526658",1128,2546,2092,272,972,1284,1879,1385,1425,1008,1505
"316058",1086,2819,2354,208,872,1152,1951,1290,1301,1156,1717
"316055",933,2576,2027,173,753,960,1605,1134,1113,937,1504
"316056",924,2462,2046,215,882,985,1762,1222,1099,1116,1590
"652103",204,499,440,31,179,221,371,238,236,201,367
"395960",185,404,390,35,180,214,300,208,289,176,260
"2592814",32,75,39,10,24,42,50,21,35,25,42
"2592817",12,21,21,4,9,3,18,7,13,12,24
"2592815",21,15,37,1,15,22,30,21,19,18,21
"2592816",6,13,6,2,4,7,5,5,5,6,9
"943830",751,2191,1849,166,653,890,1454,1130,985,899,1300
"1882747",642,2603,1553,225,539,866,1442,869,946,1060,1069
"504832",12,22,13,0,36,11,13,26,18,13,7
"1333996",1390,3845,3240,242,1073,1348,2144,1688,1614,1305,2257
"323097",729,2009,1866,412,8529,1239,1318,4658,993,1127,1957
"323098",640,1429,1415,419,14284,719,1252,2310,759,682,1276
"675281",1511,3747,2904,332,1972,1718,2348,3669,2118,1322,3688
"2584466",980,2782,2557,281,1402,957,1813,3704,1277,937,3571
"2108445",677,2066,1337,228,1149,644,1029,2876,947,504,1883
"2082387",736,1909,1865,178,878,661,1123,1977,855,629,1769
"2493672",628,1613,1185,132,658,702,1003,1383,754,707,1246
"2493673",707,1607,1460,155,622,787,1301,1354,917,906,1385
"2493676",588,1546,1307,141,663,644,973,1467,801,595,1372
"2493668",556,1542,905,160,593,666,784,1204,792,489,939
"2777475",689,1541,3683,217,667,1005,1808,1508,820,1411,1884
