"","X0n7bM2TOMPOOA100365.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"1325100",3889,3155,4532,374,2118,1960,2187,1439,2270,2107,0
"288000",3070,2153,4946,401,1715,1647,1454,1264,1744,1974,928
"1223566",2970,3851,2942,204,1113,998,1432,1071,1082,1349,595
"114615",2912,2109,3829,356,1600,1688,1462,1183,1683,1607,825
"1325102",2872,2550,4697,211,1431,1128,2152,1779,1405,1962,812
"1197460",2825,2125,3261,257,1438,1325,1329,1018,1393,1339,571
"115808",2812,2012,3741,363,1565,1605,1483,1239,1703,1717,821
"2057741",2639,2011,4740,274,1363,1281,1173,976,1383,1367,662
"1325120",2463,1846,3069,227,1277,1171,1211,904,1277,1301,576
"2715960",2286,1705,3658,219,1171,1037,1117,785,1250,1205,520
"1404888",1940,1601,2583,214,1131,924,1248,838,1095,1278,599
"1325114",1809,1334,2392,160,1875,757,2306,634,1283,2084,706
"1325112",1759,1367,2253,222,1075,880,1180,676,1114,1164,449
"1325111",1711,1326,2424,186,1016,958,1089,806,1046,1231,827
"376",1229,908,1805,138,708,669,819,506,784,846,353
"319017",561,403,852,62,330,271,354,220,352,336,170
"2493093",287,199,580,26,153,171,165,107,158,193,82
"2599805",141,129,226,18,95,80,115,66,70,112,47
"2599819",139,82,230,15,83,82,112,44,83,108,16
"1404649",48,42,275,9,22,27,21,16,26,28,9
"1325083",13,11,32,0,6,9,6,9,8,9,6
"2578113",2,0,3,0,0,0,1,1,0,0,0
"1274631",12525,10306,5880,406,3229,3263,4797,2790,3180,3072,1008
"1437360",11526,8295,15297,1054,5782,5397,5058,4262,5669,7029,2648
"190148",11441,9939,5429,372,3005,2843,4651,2271,2949,2782,903
"1355477",7919,0,0,887,4890,4299,5534,3251,5240,5841,2353
"722472",4010,2825,4968,373,1924,1887,1789,1431,2016,2021,864
"83637",3130,2419,3768,307,1666,1595,1548,1088,1776,1626,742
"1245469",3034,2141,4324,424,1711,1739,1497,1301,1776,1790,860
"255045",3004,2196,4636,318,1510,1367,1375,1020,1536,1632,665
"476282",444,298,555,53,242,215,301,185,238,252,112
"1037409",10,6,3,1,0,3,0,2,1,1,1
"1325107",2156,1595,3038,174,1820,1071,1793,883,1412,1412,615
"1549949",1958,1526,3383,226,1324,1053,1531,948,1324,1423,707
"1404367",1958,1463,3257,229,1304,963,1448,813,1336,1975,670
"1404864",1949,1409,2561,209,1040,997,1123,739,1097,1487,576
"858423",1921,1439,2573,199,1099,918,1279,786,1202,1280,574
"1325090",1828,1386,5234,264,1377,1292,1395,840,1358,1697,747
"83627",1818,1316,2502,219,1060,999,1073,752,1092,1199,535
"1325115",1664,1271,2517,175,1842,852,3269,745,1408,1721,751
"1325095",1641,1234,2325,199,1012,903,1025,723,1059,1238,483
"1404768",1262,940,1758,146,800,619,914,531,795,1142,410
"244734",1141,797,4139,153,681,608,707,490,751,913,410
"931866",475,339,537,38,243,186,253,130,218,242,109
"1275962",30,19,100,5,14,29,17,28,17,19,7
"1867715",4149,2395,10143,769,1506,2453,1281,1594,1567,1849,986
"2020412",3371,1828,6887,932,1089,1432,1005,1044,1296,1450,655
"2599640",3221,2047,5008,1294,1386,1951,1258,1508,1549,1745,811
"1842539",2802,1786,4036,587,1337,1769,1090,1352,1401,1708,754
"2015316",2517,1656,5952,854,1291,1554,1006,1189,1443,1737,773
"1792307",2293,1483,3155,467,1059,1361,863,1084,1146,1322,645
"1526658",2546,1725,3969,537,1193,1627,1008,1240,1260,1505,774
"316058",2819,1811,4542,391,1510,1656,1156,1101,1670,1717,870
"316055",2576,1610,4173,326,1387,1346,937,1032,1362,1504,725
"316056",2462,1630,4478,362,1377,1374,1116,971,1514,1590,804
"652103",499,313,1064,98,221,303,201,198,310,367,148
"395960",404,282,780,63,229,224,176,216,285,260,131
"2592814",75,44,120,2,40,38,25,29,41,42,17
"2592817",21,16,62,5,18,15,12,10,24,24,9
"2592815",15,19,30,7,25,32,18,22,11,21,9
"2592816",13,9,9,1,1,8,6,6,8,9,3
"943830",2191,1506,4461,335,1096,1189,899,800,1192,1300,749
"1882747",2603,2072,3199,197,1077,1019,1060,743,1111,1069,522
"504832",22,11,123,4,19,19,13,18,13,7,7
"1333996",3845,2621,4269,471,2050,1948,1305,1397,1888,2257,1104
"323097",2009,1464,44838,398,1317,1094,1127,824,2591,1957,1571
"323098",1429,1121,63896,947,920,777,682,738,1272,1276,826
"675281",3747,2145,13529,2174,1756,2346,1322,1773,2525,3688,1474
"2584466",2782,1484,17587,2118,1150,1414,937,1200,2832,3571,1562
"2108445",2066,1370,11218,1866,652,908,504,902,1375,1883,855
"2082387",1909,1022,8908,1213,777,1054,629,801,1368,1769,824
"2493672",1613,924,4921,698,710,883,707,680,1053,1246,964
"2493673",1607,1029,4942,717,878,993,906,834,1288,1385,1123
"2493676",1546,903,5479,826,792,860,595,653,1085,1372,868
"2493668",1542,829,4151,668,583,780,489,702,759,939,501
"2777475",1541,1012,6353,837,1653,978,1411,726,1684,1884,6126
"2493680",1513,1547,4601,690,767,864,700,672,1135,1355,981
