"","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report"
"2483403",524,321,483,260,459,221,267,243,330,255,300
"2744517",525,324,472,238,462,288,286,249,321,253,262
"2493674",398,250,375,200,570,337,236,189,257,243,242
"2493670",423,269,346,199,539,329,190,167,237,210,213
"2744515",197,115,179,81,149,82,75,77,112,83,86
"278153",234,118,176,104,91,80,113,78,95,87,113
"2744520",101,62,82,39,82,59,57,45,58,39,37
"2744519",104,69,64,19,38,30,64,56,69,77,54
"2483402",72,45,67,32,54,33,29,19,48,35,47
"1670800",2712,1629,2821,1720,1960,1128,1585,1164,1706,1110,1564
"1082933",1460,842,1338,664,1062,626,693,567,833,608,757
"935548",763,506,746,398,644,372,387,328,479,339,481
"935546",99,56,96,33,77,64,70,41,61,62,59
"682633",886,470,568,264,350,245,350,320,452,353,412
"278148",205,100,159,80,188,91,113,98,148,97,113
"754035",992,630,917,515,792,452,512,428,621,503,575
"536019",1022,552,903,504,920,572,515,402,607,441,530
"1777866",828,465,805,469,687,396,431,334,511,376,423
"763057",86,56,69,53,57,42,32,39,51,45,43
"266835",223,125,160,91,144,114,94,71,119,76,82
"2725666",64,66,53,37,60,46,34,40,49,40,44
"2774562",530,912,469,298,275,158,222,163,244,191,194
"374606",2026,1249,2293,1357,1351,744,1050,780,1093,757,977
"2666139",300,284,683,260,144,90,123,72,127,98,91
"83263",323,374,306,160,174,111,130,118,161,124,175
"266779",20712,2603,1146,720,1345,1004,3756,959,1571,4604,4962
"2599600",2427,1395,2276,1347,1842,1013,1331,1105,1492,1039,1313
"1756988",1146,705,1076,662,907,541,620,471,697,483,663
"1852022",1785,1156,1364,625,1598,973,974,973,1352,936,1169
"1620421",763,528,609,304,681,419,446,409,521,404,521
"411684",663,495,553,320,614,387,392,348,485,330,418
"2742145",1327,814,973,564,1104,725,695,603,918,582,761
"1867719",817,585,626,350,654,387,475,375,480,459,498
"2718938",380,333,348,163,344,230,202,191,281,218,233
"2712698",432,404,395,180,478,323,258,252,355,255,253
"2305987",42,44,22,9,31,23,14,19,38,19,23
"2613769",9853,6803,8784,6170,11020,5893,5384,4655,6819,4923,5795
"384",5108,3422,3419,1919,4685,2804,2686,2437,3652,2863,3079
"29449",2436,1392,1043,724,1421,869,774,695,1030,813,895
"348824",857,703,670,443,986,572,530,485,667,490,623
"396",909,617,491,354,732,528,442,384,612,404,441
"1312183",849,636,645,391,1006,728,482,449,610,519,561
"379684",990,614,857,751,1245,560,639,471,639,538,621
"1138189",683,482,501,315,680,392,385,361,508,391,426
"56730",855,512,463,274,631,326,449,374,476,456,498
"1138194",595,467,393,263,602,334,329,338,463,292,352
"293958",599,475,476,305,668,386,314,321,401,330,385
"1138190",501,358,330,216,468,334,296,251,366,265,297
"398",556,380,481,295,856,357,330,237,401,288,373
"1368430",582,367,669,357,566,287,301,261,397,272,327
"451876",454,326,2828,357,591,249,428,226,322,247,274
"240521",502,318,511,319,545,280,290,241,384,254,337
"2583231",396,241,212,132,313,215,186,184,264,186,207
"1335061",378,238,567,1032,518,235,338,255,360,234,355
"1538158",298,199,206,124,309,157,176,147,220,160,162
"2267833",293,238,340,199,356,164,224,165,221,146,225
"648995",336,183,248,236,245,144,378,127,185,134,128
"1538159",109,78,72,50,125,68,61,44,89,43,77
"2081791",89,58,58,27,77,36,31,40,40,43,48
"448181",21,3,15,25,8,0,15,0,5,4,5
"1183400",5564,2116,3181,1815,3391,1612,11036,1439,2506,1626,1863
"373",1038,848,874,603,1140,562,573,603,784,577,648
"2632611",1007,590,1221,625,1062,571,990,532,726,506,721
"359",528,348,439,285,553,291,317,272,378,282,318
"28099",422,284,314,256,445,241,251,166,295,240,258
"160699",390,248,321,310,399,211,241,188,263,202,241
"1183412",3,1,7,6,5,1,5,3,3,0,2
"399",2182,1395,1848,1765,5342,1533,1316,980,1485,1151,1229
"2629175",1852,1010,1528,2703,2892,1088,1139,811,1159,869,1160
"1125847",167,84,298,382,180,91,82,67,96,75,94
"663276",7435,3747,3456,2443,4750,2641,3565,3169,3882,3232,3567
"382",16399,2519,16814,0,6081,2431,7869,4769,7639,4244,6561
"2613772",2570,1716,3625,3462,2440,1336,1592,1347,1800,1290,1580
"194963",5925,2355,965,634,1211,724,836,839,1073,798,1144
"110321",1573,695,1280,1496,1176,629,800,738,1065,623,767
"106592",4626,3392,2084,1570,2354,1378,1427,1425,2251,1358,1538
"375549",1642,1104,1279,825,1787,1055,1131,1025,1299,1101,1234
"2633371",1152,1253,815,1182,1042,588,566,626,1004,531,655
"1752398",1144,812,996,565,1239,645,796,745,969,883,827
"716925",1057,659,825,608,1066,595,680,734,841,832,764
"879274",2097,1330,13010,5511,2220,979,3680,1050,1519,932,1145
"2715959",1819,1098,3405,5723,1678,891,1153,824,1150,833,948
"2795690",2785,2064,2040,1305,2916,1693,1547,1418,2037,1436,1760
"2341112",1366,834,997,668,1094,674,703,602,809,631,745
"1969821",1161,751,1007,631,1187,718,653,586,806,596,827
"1273132",6,9,11,3,9,15,11,9,5,9,8
"1174529",0,3,0,0,0,0,0,0,1,3,1
"658172",5,2,2,1,7,4,2,4,5,2,5
"34020",4,5,25,2,11,11,3,16,20,2,3
"1261131",14,8,2,0,6,3,2,2,6,1,0
"426117",4337,2689,1905,635,3002,2274,2001,1852,2757,2531,2740
"2202828",2424,1504,1138,417,1885,1268,1170,1071,1569,1332,1525
"2603276",1760,1051,843,292,1321,918,857,788,1157,996,1052
"2202826",1793,1055,735,268,1308,941,911,789,1201,1049,1183
"925818",732,481,335,131,559,368,404,319,491,413,434
"2067957",513,364,294,109,428,281,254,247,393,345,351
"1479019",302,207,164,36,236,197,183,142,227,208,269
"739141",156,88,75,24,100,77,66,60,87,79,99
"2696060",0,0,0,0,1,2,0,0,0,1,0
"460265",4114,2544,1597,606,2801,2434,1928,1639,2417,2243,2417
"270351",3650,2307,1706,613,2686,1866,1693,1551,2320,2116,2192
"2202825",2868,1766,1324,487,2001,1407,1381,1325,1839,1603,1842
"2051553",1927,1114,804,284,1371,956,941,824,1397,1109,1153
"2202827",1942,1023,900,298,1393,986,963,832,1362,1065,1180
"908290",1922,1153,858,313,1416,956,986,867,1239,1082,1202
"269660",1706,1072,806,292,1343,882,869,775,1151,973,1092
"1775910",1649,918,973,270,1077,814,799,736,1035,939,970
"426355",402,254,193,54,321,225,196,203,288,258,245
"418223",221,162,107,30,203,153,138,134,192,140,147
"693986",112,60,38,15,78,70,37,49,58,43,58
"2807101",16406,6697,2647,3359,5073,2642,5961,3874,5210,7285,6901
"2082949",4063,1977,1410,2314,2873,1440,1807,1352,1807,1897,1977
"1882682",16607,6605,2649,2716,4571,2664,5320,3518,4641,5270,5545
"2651334",4923,2542,1635,1414,2894,1811,2368,1831,2418,2351,2532
"441620",451,293,227,129,368,277,307,234,328,271,302
"272630",880,518,387,136,630,406,391,376,555,402,554
"440085",306,205,145,66,208,140,149,127,186,190,226
"419610",246,162,122,45,173,144,137,141,200,148,165
"29429",66,40,30,12,54,39,33,23,38,29,58
"674703",9164,14259,6016,1025,29461,11716,4355,5497,8036,4974,6648
"444923",7,5,4,2,5,4,4,5,11,7,7
"1736675",4489,2416,6300,3176,4153,1718,1980,1605,2125,1587,1895
"2801335",1467,844,3895,2048,1104,552,805,554,781,554,739
"2657486",1159,787,2281,1769,1095,641,767,548,744,619,743
"2499144",1053,588,1283,989,896,521,594,526,720,497,618
"2083786",770,523,1764,1865,784,432,618,422,599,391,557
"2774137",966,548,1547,1548,961,492,609,454,653,406,623
"2664417",478,318,628,401,580,298,330,300,374,265,343
"2759954",389,264,506,487,390,210,237,211,254,195,260
"400770",1742,826,5549,5256,1336,651,1094,735,1056,720,922
"582899",1161,1140,1105,334,1168,819,567,652,1006,615,703
"670307",912,907,795,264,1105,993,543,636,915,579,609
