"","X1qGgM2TOMPOOM080340.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report"
"1598",169,24,20,10,4,13,23,18,12,11,5
"227942",18,8,3,7,3,10,6,5,3,8,0
"1633",37,6,6,4,1,2,4,2,5,2,1
"104955",13,6,4,0,4,2,3,3,5,5,0
"1582",43,52,28,16,6,11,33,31,10,18,1
"47715",68,42,29,33,11,27,59,17,10,34,6
"88233",43,29,15,15,4,8,19,14,7,14,5
"1597",34,26,13,14,7,9,21,17,9,13,2
"57037",21,16,12,15,2,4,23,11,6,10,1
"1583",329,39,13,9,2,12,10,6,5,155,4
"137591",114,22,13,7,7,8,8,7,6,41,3
"2506420",30,22,14,6,8,9,18,12,11,8,6
"155866",22,14,11,23,2,6,12,11,3,8,4
"1631871",30,14,4,4,2,1,2,2,2,0,0
"46256",14,13,6,0,2,4,3,2,3,2,3
"1162633",16,12,8,4,3,1,7,5,2,0,2
"759620",21,7,9,4,1,4,4,5,5,8,1
"1629",22,6,12,3,0,6,5,3,5,0,0
"1249",61,4,4,2,1,5,12,5,6,13,7
"2683241",5,1,1,1,1,2,10,1,2,1,0
"304207",127,100,62,62,29,61,70,59,40,44,7
"1589",75,52,33,19,10,29,60,27,15,22,6
"1590",107,26,26,14,10,48,64,20,46,39,0
"60520",26,18,7,6,1,7,8,4,1,10,6
"1245",34,18,13,5,4,8,13,12,3,8,0
"1244",26,10,11,1,3,4,16,10,2,6,2
"1246",23,8,15,8,3,8,13,7,4,3,2
"1252",8,8,3,4,3,2,5,2,2,2,1
"33964",3,7,1,1,1,3,5,1,0,2,4
"1511761",6,5,1,2,0,3,13,1,1,4,1
"33968",24,3,2,4,2,4,10,3,3,5,0
"136609",1,1,0,0,1,0,0,0,0,0,0
"1622",20,13,8,6,2,12,8,6,1,7,1
"1623",37,13,22,12,7,12,22,14,7,8,5
"1624",105,12,19,7,2,12,12,8,17,13,3
"1605",12,11,7,9,2,6,10,11,5,16,1
"228229",25,9,5,7,2,8,9,6,3,3,0
"89059",22,7,5,14,1,5,10,5,2,5,2
"1601",20,4,10,10,2,2,3,11,7,8,1
"1581",26,26,11,17,2,5,24,11,5,12,3
"152331",18,11,9,11,1,3,10,6,5,11,1
"1588",42,10,10,9,4,6,15,12,7,2,3
"33962",16,8,5,7,4,7,5,9,3,6,0
"1138822",8,7,7,6,1,3,3,2,3,5,0
"1255",22,19,10,4,4,4,9,12,8,1,3
"1670797",40,17,24,16,7,8,34,12,4,14,2
"114090",23,11,10,2,2,3,8,6,4,3,0
"51663",19,9,9,5,1,4,20,4,2,2,1
"187452",14,4,4,1,1,3,6,5,10,1,0
"1599",72,27,20,9,6,3,18,9,11,12,3
"164393",19,14,3,5,1,1,4,5,10,5,0
"28038",24,10,14,9,4,15,7,15,4,6,2
"60519",22,3,7,4,0,3,10,5,3,5,0
"2203724",16,22,4,4,1,2,12,5,6,12,1
"1247",15,16,7,9,5,4,20,8,2,6,1
"336988",17,14,7,6,2,4,8,4,5,6,0
"2636988",22,3,6,3,1,6,14,6,4,0,0
"1847728",17,10,3,4,1,4,6,1,1,2,0
"938155",4,6,3,2,1,3,3,2,0,2,2
"1612",7,5,4,7,0,4,3,4,0,4,0
"2304606",14,5,6,5,0,3,9,9,3,2,1
"1602",11,4,4,1,1,3,4,3,3,4,0
"83526",10,4,2,2,1,6,4,1,4,2,1
"392416",20,4,4,5,7,1,9,1,1,1,1
"2714036",9,4,5,2,3,4,5,2,2,4,0
"1007676",37,2,5,8,2,1,7,6,3,2,3
"1074467",13,2,5,5,3,2,9,4,2,1,0
"1607",38,21,6,4,5,4,15,11,11,16,0
"1610",47,18,17,16,9,10,28,23,11,16,4
"375175",16,12,10,7,3,5,13,5,4,12,4
"240427",30,26,19,18,5,10,23,14,20,26,2
"176292",18,13,5,2,1,4,18,7,3,5,0
"231049",58,30,17,16,9,9,25,16,5,18,2
"468911",26,11,5,6,1,3,6,3,6,5,5
"82688",26,8,3,7,1,2,1,3,2,7,1
"1618",37,2,4,4,4,4,1,7,6,1,0
"1720083",30,15,11,6,6,4,5,13,11,5,0
"1296540",9,7,4,4,4,5,9,2,5,6,1
"293371",20,4,6,3,2,4,1,3,2,0,0
"1193095",15,3,3,3,3,1,7,8,1,2,0
"1614",16,4,6,4,3,4,1,3,5,0,0
"53444",12,3,3,1,0,3,3,3,4,1,1
"1625",11,1,1,2,0,1,1,0,0,0,0
"51664",48,10,3,1,1,1,5,7,1,0,0
"148814",14,4,2,2,0,1,3,4,0,1,0
"2419772",25,3,6,2,5,3,3,1,3,2,1
"1603",29,8,4,4,7,8,13,7,3,7,3
"1303590",21,5,8,3,0,2,2,6,5,5,3
"2608887",104,55,28,25,21,24,48,28,22,37,4
"1307",142,42,49,20,16,31,60,33,25,25,4
"119603",83,40,25,18,7,19,30,17,16,20,4
"2173853",32,24,9,21,6,14,18,22,8,15,5
"1305",73,24,25,9,4,22,35,20,16,27,6
"1303",71,23,19,13,4,10,18,17,5,12,5
