"","X0n7bM2TOMPOOA100365.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report"
"1325100",3889,3155,4532,3110,1254,1317,2187,1626,1711,1270,2635
"288000",3070,2153,4946,2721,1141,1210,1454,1299,1508,1188,2404
"1223566",2970,3851,2942,2874,812,654,1432,1138,1292,917,1743
"114615",2912,2109,3829,2642,1073,1154,1462,1272,1423,1113,2155
"1325102",2872,2550,4697,0,1150,961,2152,1477,1305,936,2464
"1197460",2825,2125,3261,2026,888,910,1329,1104,1183,810,1749
"115808",2812,2012,3741,2610,977,1100,1483,1261,1474,1122,2069
"2057741",2639,2011,4740,2066,885,895,1173,1067,1137,937,1685
"1325120",2463,1846,3069,1876,793,799,1211,945,1076,791,1607
"2715960",2286,1705,3658,1767,751,740,1117,864,1015,695,1494
"1404888",1940,1601,2583,2667,685,618,1248,829,1047,722,1409
"1325114",1809,1334,2392,8324,579,688,2306,758,744,618,1224
"1325112",1759,1367,2253,2126,628,668,1180,768,846,572,1182
"1325111",1711,1326,2424,2043,707,702,1089,797,926,1031,1320
"376",1229,908,1805,1519,445,408,819,551,601,488,888
"319017",561,403,852,640,195,179,354,226,246,207,381
"2493093",287,199,580,278,138,124,165,158,157,119,205
"2599805",141,129,226,282,60,47,115,64,85,59,107
"2599819",139,82,230,258,54,48,112,61,72,49,72
"1404649",48,42,275,40,18,16,21,22,42,24,37
"1325083",13,11,32,26,4,6,6,1,5,6,12
"2578113",2,0,3,1,0,0,1,0,0,0,0
"1274631",12525,10306,5880,3773,1994,1949,4797,3041,3550,2049,4896
"1437360",11526,8295,15297,8167,3572,3728,5058,4420,4758,3777,6937
"190148",11441,9939,5429,3639,1681,1624,4651,2678,2941,1451,4072
"1355477",7919,0,0,10805,2894,0,5534,3568,3875,2930,0
"722472",4010,2825,4968,2708,1246,1272,1789,1659,1748,1289,2318
"83637",3130,2419,3768,2478,966,1027,1548,1237,1398,1063,2078
"1245469",3034,2141,4324,2707,1144,1136,1497,1340,1518,1145,2157
"255045",3004,2196,4636,2133,844,921,1375,1131,1124,1065,1836
"476282",444,298,555,481,131,151,301,185,218,144,292
"1037409",10,6,3,5,2,0,0,1,1,0,3
