"","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"111015",0.000145624346480904,0.000190947643953182,0.000223368566563833,0.000186177337262256,0.000232838377433709,0.000209931254157657,0.000236167367857895,0.000188734771026277,0.00021229734597228,0.000169821707384083,0.00015237141740547,0.000165731716528365,0.000149733220003339,0.000133336633481547,"v_3717",271,2.02720509233919e-05,29203.8012900771
"1775",0.000176062222179782,0.000207571321191459,0.000232219019201268,0.000187516742566301,0.000208879645842705,0.000225875400043049,0.000248700296168762,0.000199220036083292,0.0002140738928005,0.000182600370513975,0.000150614974553534,0.000169153905365234,0.000167892355195233,0.000142917708941299,"v_3407",265,2.01251786109602e-05,19797.6388851563
"77643",0.000188595465114614,0.000213412072653557,0.000278999983141995,0.000218323064559336,0.000226426885881187,0.000249791618871137,0.000283165849023646,0.000217394495515452,0.000236280728153248,0.00017150311042749,0.000170814067350801,0.000191153690745106,0.000170441005748481,0.000114972905517023,"v_3401",264,1.97776986669831e-05,44942.059604311
"1758689",0.00023425227866293,0.0002700224329785,0.00036076130750687,0.000280382176980088,0.000278731159072817,0.0003419133506534,0.000373637925267715,0.000292538895090729,0.000296683320312726,0.00024615740555475,0.000245462888558092,0.000262286330140024,0.000211219414600454,0.000182838856690265,"v_3312",263,1.89810948295498e-05,20348.7973044292
"1744",0.000156665536685399,0.000213412072653557,0.000265092128997454,0.000212518974908474,0.000215966031242861,0.000236947723574571,0.000271416228732208,0.000210753827646009,0.000224733173769819,0.000183609212340019,0.000181791835175403,0.000177953819517183,0.000155467683748147,0.000134135056436527,"v_3673",261,1.98558465540178e-05,30502.7507647204
"486698",0.000148608451941578,0.000180164718177003,0.000200610259781857,0.000161621573354764,0.000163661758051231,0.000194872894154788,0.000215801359352737,0.000169511785088415,0.000162998171489177,0.000148972309645839,0.000130854992469251,0.000130287617860795,0.000121379482598451,9.98028693724156e-05,"v_3408",259,2.04135791128259e-05,32680.3073679909
"1285901",0.000233953868116862,0.000279906781606665,0.000348117803739105,0.000292436824716493,0.00032192436532139,0.000329955241239356,0.00035953838091799,0.000292189386255495,0.000329105299927739,0.000242794599467937,0.000248536663548981,0.000250308669210983,0.000203892044259865,0.000190024663285079,"v_3666",259,1.89969604863222e-05,25935.868935345
"292800",0.00013219587190787,0.000155903135180598,0.000136971290817445,0.00015001339405304,0.000167373674213217,0.000169185103561656,0.00017506934234242,0.000144347148951578,0.000157224394297462,0.000112317723299572,0.000120755446070618,0.000119287725170859,0.00010863622983221,0.000111779213697105,"v_4332",259,2.1062386789671e-05,46965.783506463
"69373",0.000153979841770792,0.000170729658122845,0.000193867057772383,0.000167425663005625,0.000194706875042392,0.000211702825922701,0.000220109553459597,0.000184191156168237,0.000189646373912476,0.000165113778862544,0.000148858531701598,0.000169642789484787,0.000149414638684183,0.000137328748256444,"v_3183",258,2.03177699215734e-05,20849.1494050398
"247333",0.000228880888833716,0.000258340930054306,0.000310187292435813,0.000247789981248326,0.000265908175967772,0.000299838521233616,0.000328597714150538,0.000282403138868947,0.000335323213826509,0.00024111319642453,0.000214725138649208,0.000215353454662965,0.000192104535451092,0.000174056204185493,"v_3311",258,1.92908677032293e-05,13634.8694172245
"99653",0.000193071623305625,0.000226441441299774,0.000267620829751007,0.000246004107509599,0.000241611997452951,0.000301167200057399,0.000303531857528804,0.000249549308356966,0.000254490333142503,0.00021118422225189,0.000180474503036451,0.00022170894821715,0.000175856888174134,0.000148506669626154,"v_3443",258,1.95997726426373e-05,34216.1303274672
"1230998",0.000169795600712366,0.000181961872473033,0.000229268868322123,0.000182605589784802,0.000196394109661477,0.000237390616515832,0.000234600751819037,0.000194676421225252,0.00020163806500296,0.000173857074688259,0.000146223867423694,0.000173309420381432,0.000149096057365027,0.000133336633481547,"v_3470",258,2.01344984496436e-05,24036.8684684894
"1749",0.000186805001838209,0.000226441441299774,0.000284057384649101,0.000223680685775516,0.000229801355119357,0.000278579660053094,0.000315281477820242,0.000257238502732111,0.000290021269706901,0.000202440926426174,0.000184426499453307,0.000202153583435042,0.000173308237620886,0.00013014294166163,"v_3677",258,1.96699384330927e-05,15567.389659074
"641491",0.000152786199586522,0.000208469898339474,0.000154250745966722,0.000175908563264577,0.000203143048137816,0.000179814534151918,0.000219717899449883,0.000189783297531978,0.000179875366357266,0.000150317432080565,0.000143150092432805,0.000147398562045139,0.000149733220003339,0.000126150826886733,"v_2859",257,2.07198060626153e-05,66639.2690518858
"1332264",0.00021097625606967,0.000236325789927939,0.000271413880881336,0.000237521207250647,0.00024498646669112,0.000276808088288051,0.000297265393373371,0.000246403728839861,0.000260264110334217,0.000229343375120683,0.000200234485120733,0.000200442489016607,0.000192423116770248,0.000178048318960389,"v_3667",257,1.95442285892976e-05,16516.4376920948
"1610493",0.000153383020678657,0.00018061400675101,0.000233904819703636,0.000202696669345477,0.000218665606633397,0.000219232005924136,0.000245567064091045,0.00019537543889572,0.000195864287811245,0.000179237564427161,0.000158958078100231,0.00017746493539763,0.000146865988130934,0.00011816659733694,"v_3670",257,2.00968668984505e-05,53258.0972474011
"399497",0.00017158606398877,0.000208919186913482,0.000275206932011666,0.000189749084739709,0.000210566880461789,0.000260421049461398,0.000283165849023646,0.000228928287078169,0.000231839361082699,0.000200086962165405,0.000172570510202737,0.000182109334533381,0.000168210936514389,0.000146111400761216,"v_3668",256,1.96920168563664e-05,22730.9845797395
"36805",0.00016114169487641,0.000180164718177003,0.000268042279876599,0.000178587373872667,0.000212254115080874,0.000207716789451353,0.000225201055585887,0.000186987226850108,0.000178987092943156,0.00017150311042749,0.000142271871006837,0.000165976158588142,0.000165025123322829,0.000132538210526568,"v_3157",254,2.01682028114475e-05,20539.3491893066
"2624265",0.000158157589415736,0.00020038270400734,0.000254134425732059,0.000195553174390571,0.000210904327385606,0.000197087358861092,0.00022715932563446,0.000205860703952735,0.000209188389022895,0.000195042753035185,0.000174766063767658,0.0001674428109468,0.000167255192556921,0.000150103515536113,"v_3208",254,2.01191051022051e-05,16446.3984056698
"1748",0.000203515992417985,0.000242166541390036,0.000275628382137258,0.000212518974908474,0.000245323913614937,0.000283008589465703,0.000299223663421944,0.000273665417988101,0.000270035117889427,0.00020883025799112,0.000193208713712988,0.000206797982570792,0.000171715331025105,0.000154894053265989,"v_3676",254,1.96005409749309e-05,12153.3800586822
"119981",0.000157859178869669,0.000188701201083145,0.000209882162544884,0.000173229752656487,0.000175809847308641,0.000235619044750789,0.000218542937420739,0.000180346558980664,0.000193199467568916,0.000163768656427819,0.000157201635248295,0.000158398454735075,0.000142724430981906,0.000125352403931754,"v_3674",252,2.01612903225806e-05,19964.4407912829
"1870985",0.000137567261737084,0.00018420831534307,0.000164786999106526,0.000164746852397535,0.000187283042718418,0.000196644465919831,0.000165277992099555,0.000164968170230375,0.000159445077832737,0.000150989993297927,0.000135685210312076,0.000145687467626705,0.000136671385917941,0.000128546095751671,"v_3815",252,2.05752849676968e-05,30252.9361360914
"2632435",0.000269166312552819,0.000283051801624717,0.000358654056878909,0.000309849093669078,0.000323274153016657,0.000373358749482923,0.000380687697442578,0.000357897047279458,0.000353532818815763,0.000276758940944753,0.000250293106400917,0.000284774999639448,0.000237024501452094,0.000204396276474707,"v_3272",251,1.88093670647983e-05,17189.258221622
"2729175",0.000220226982997761,0.000261935238646365,0.000298808139044825,0.000243325296901509,0.000276706477529916,0.000314453988295225,0.000328989368160252,0.000272966400317634,0.000269590981182372,0.000258936068684642,0.000237119785011395,0.000240042102700376,0.000215998134387795,0.000169265666455617,"v_3291",251,1.92248538911104e-05,16240.3769628304
"1768",0.000162633747606747,0.000208020609765467,0.000223790016689425,0.000191981426913117,0.000212591562004691,0.000259092370637615,0.000261624878489344,0.00020900628346984,0.000224289037062764,0.000172511952253534,0.000163788295943056,0.000193598111342869,0.000174263981578354,0.000130941364616609,"v_3406",251,1.98993094939606e-05,23412.8193001981
"36809",0.000200830297503378,0.000245311561408088,0.000277314182639626,0.000251808197160461,0.00025949668441525,0.000285223054172007,0.00028355750303336,0.000253393905544538,0.000250937239486063,0.000240104354598486,0.000231411345742602,0.0002263533473529,0.00022205117945176,0.0001660719746357,"v_3426",251,1.93607093763916e-05,11881.5878538386
"2635419",0.000165916263613489,0.000201281281155355,0.000209882162544884,0.000186623805696937,0.000190320065032771,0.000244034010634745,0.000249483604188191,0.000200618071424228,0.000202082201710015,0.000189998543904964,0.000158958078100231,0.000172087210082551,0.000158653496939708,0.00014211928598632,"v_3669",251,2.00835475578406e-05,16855.2715864167
"2615065",0.000249769627058436,0.000303269787455054,0.00036286855813483,0.000267434592374319,0.000323274153016657,0.000327297883591791,0.000328597714150538,0.000303723177818212,0.000311783968352595,0.000263980277814862,0.000248536663548981,0.000240286544760152,0.000249449172899179,0.000209985237159562,"v_3191",250,1.89035916824197e-05,17656.1712792985
"37923",0.000193071623305625,0.000216557092671609,0.000267620829751007,0.000200464327172069,0.000228789014347906,0.000248905832988615,0.000259666608440771,0.000225782707561064,0.000251825512900173,0.000182600370513975,0.000172570510202737,0.00020630909845124,0.000193697442046872,0.000133336633481547,"v_3260",250,1.96800031488005e-05,19503.1912042583
"398694",0.000149503683579781,0.000172526812418875,0.000188388206139685,0.000150906330922404,0.000156575372651074,0.0001913297506247,0.00019896023693501,0.000159725537701868,0.000176766409407881,0.000151326273906609,0.000134806988886108,0.000138354205833414,0.000133485572726381,0.000107787098922209,"v_3411",250,2.0351676978183e-05,30658.7531551433
"2627005",0.000258125122348324,0.000294284015974905,0.000342217501980816,0.000275917492633271,0.000301677549892371,0.000308696380058834,0.000334864178305971,0.000336577008330194,0.000302012960797385,0.000293572971378821,0.000241510892141236,0.000248108690672995,0.000255183636643988,0.00021317892897948,"v_3211",249,1.89731719348841e-05,17001.006666835
"2618217",0.000276626576204504,0.000294733304548912,0.000385626864916806,0.000289758014108403,0.000316525214540318,0.00034678517300727,0.000358363418888846,0.0003180530400628,0.000336655623947674,0.000278776624596842,0.000256879767095678,0.000269375149873538,0.000256776543239768,0.00021317892897948,"v_3212",249,1.88536953242836e-05,14502.2638916324
"273384",0.000118170576242701,0.000121757203556029,0.000135285490315076,0.000119207072060005,0.000129579618745717,0.000132424989437003,0.000144128675574968,0.000120231039320443,0.000126578961510669,0.000115007968169023,9.79216889954464e-05,0.000105354527763607,9.71673023425922e-05,9.18186398226224e-05,"v_3317",249,2.1218808351723e-05,34615.3284337198
"556288",0.000194862086582029,0.000248007292852133,0.000260456177615941,0.000236628270381284,0.000273332008291746,0.000263078407108963,0.000293348853276225,0.000251995870203603,0.000233615907910919,0.000222617762947056,0.000196282488703877,0.000208020192869674,0.000208670764047206,0.000155692476220968,"v_3322",249,1.96436639361974e-05,15646.7729801873
"110937",0.000219928572451693,0.000257891641480298,0.000322830796203577,0.000237521207250647,0.000263208600577237,0.000283451482406964,0.0003168480938591,0.000279956577022311,0.000276697168495252,0.000229679655729364,0.000213407806510255,0.000224886694994242,0.000187962978302064,0.000203597853519728,"v_3175",248,1.93434822136681e-05,11318.2480864062
"1136941",0.000202023939687648,0.000225992152725766,0.000278999983141995,0.000206268416822931,0.000250723064396009,0.000268836015345355,0.000294915469315083,0.000242908640487523,0.000252269649607228,0.000206476293730351,0.000203308260111622,0.000199220278717725,0.000187007234344595,0.000144514554851258,"v_3547",248,1.95365920368851e-05,7591.15612763241
"2541726",0.000170094011258433,0.000199034838285317,0.000243598172592255,0.000192427895347799,0.000194031981194758,0.000209045468275136,0.00022206782350817,0.000196773474236655,0.00020163806500296,0.000167467743123314,0.000158079856674263,0.000151798519121113,0.000160564984854644,0.000142917708941299,"v_3159",247,2.01430154094068e-05,17706.8834910214
"2593973",0.000194862086582029,0.000217904958393632,0.000247812673848177,0.000224127154210197,0.000222377522795383,0.000249348725929876,0.000274941114819639,0.000261083099919683,0.000268258571061207,0.000211520502860571,0.000165544738794992,0.000182109334533381,0.000182228514557255,0.000152498784401051,"v_3308",247,1.96939559249266e-05,16337.2774852398
"1331682",0.00019247480221349,0.000241267964242021,0.000266356479374231,0.000214751317081882,0.000245998807462571,0.000249791618871137,0.000296873739363656,0.000250248326027434,0.000238945548395578,0.000193025069383097,0.000185304720879275,0.000205575772271911,0.000178405538727382,0.000166870397590679,"v_3323",247,1.96529292691076e-05,11811.328586522
"191493",0.000192773212759557,0.000226441441299774,0.000278157082890811,0.000241539423162782,0.000264895835196322,0.000249348725929876,0.000283949157043075,0.000281005103528012,0.000251381376193118,0.000213538186512659,0.000201551817259686,0.000219997853798715,0.000189237303578688,0.000159684590995865,"v_3468",247,1.95534003363185e-05,12753.1349808859
"52771",0.000144132293750567,0.000184657603917077,0.000224632916940609,0.000177247968568622,0.000184583467327883,0.000223660935336745,0.000234600751819037,0.000186987226850108,0.000193199467568916,0.000165786340079907,0.000144467424571757,0.000147154119985363,0.000132211247449757,9.3415485732581e-05,"v_3716",247,2.02959144324248e-05,18895.2081931626
"1198301",0.000108919849314611,0.000129395109314156,0.000125170687300865,0.000113402982409144,0.000152526009565271,0.000143940205909786,0.000165277992099555,0.000142949113610643,0.000144788566499923,0.000106600952951989,0.000110216788959,0.000125154334605491,9.49372331084999e-05,8.62296791377671e-05,"v_5280",247,2.13556571135694e-05,55526.6282099595
"1072463",0.000239026847400009,0.000232731481335879,0.000342217501980816,0.000239307080989374,0.000250723064396009,0.000258206584755093,0.000287082389120792,0.00027716050634044,0.000282470945686966,0.00022127264051233,0.000193647824425973,0.000200686931076383,0.000211856577238767,0.000191621509195038,"v_3151",246,1.9387359441644e-05,20189.5049348543
"1797",0.000258125122348324,0.000285298244494755,0.000309765842310221,0.000277703366371997,0.000288179672939692,0.000333498384769443,0.000341913950480834,0.00030896581034672,0.000284691629222241,0.00026599796146695,0.000232728677881554,0.000249575343031654,0.000251679242133271,0.000200404161699811,"v_3348",246,1.89293556447339e-05,11478.6004538174
"2420509",0.000226792015011244,0.000251601601444193,0.000274785481886074,0.000244664702205554,0.000257472002872348,0.000303381664763703,0.000330555984199111,0.000262830644095852,0.000277141305202306,0.000240104354598486,0.000233606899307522,0.000256664162765168,0.000208989345366362,0.000180443587825327,"v_3545",246,1.93438563912102e-05,17569.91286702
"2638792",0.00023425227866293,0.000280356070180672,0.000254555875857651,0.000246897044378962,0.000291554142177862,0.000262192621226441,0.000266716380615633,0.000248850290686498,0.000261152383748327,0.000240440635207167,0.000218677135066064,0.000222931158516031,0.00021153799591961,0.000197210469879893,"v_3821",246,1.96955074547496e-05,42543.8179553384
"71999",0.000149503683579781,0.00016983108097483,0.00020313896053541,0.000175908563264577,0.000192344746575673,0.000188229500035874,0.000226376017615031,0.000189433788696744,0.000217626986456939,0.000147627187211114,0.000145784756710709,0.000152776287360219,0.000146228825492622,0.000104593407102292,"v_3240",245,2.03703326475321e-05,21536.1323858082
