"","TECcM2TOMPOOA051310.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"446660",7.90249129386552e-05,8.63080463919852e-05,7.10217099640475e-05,5.28625046254692e-05,4.90909983472697e-05,9.67385403995028e-05,6.37993776016274e-05,4.98671041673939e-05,8.45811381265907e-05,8.63641235458717e-05,6.08490319588036e-05,"v_3813",322,2.50985116582587e-05,43096.0335845534
"2247",6.74167336369319e-05,8.32054695609008e-05,6.65455517730361e-05,5.50651089848637e-05,4.00479197043516e-05,7.55892238749151e-05,6.67326823189436e-05,5.14014766033137e-05,7.79404702571476e-05,7.52918000143497e-05,5.73446374480872e-05,"v_5263",322,2.54958951608791e-05,71398.7172261445
"2587849",0.000127689972318957,0.000154000631797464,0.000122049913341577,8.14963612975983e-05,9.17226548067408e-05,0.000128462515186384,0.000121487703708846,0.000112009187822146,0.000146793710798215,0.000126667381200612,0.000117556506768579,"v_2219",320,2.36490481258129e-05,38575.2118547355
"83564",0.000134386998839182,0.000165282729365044,0.000128018124262926,9.69145918133601e-05,9.47370143543802e-05,0.000162928068041268,0.000123443240187057,0.000112392780931126,0.000155181922843828,0.000158998565912656,0.000120423738640983,"v_2874",318,2.32077792476038e-05,41944.7407130429
"2648737",0.000189302616305027,0.000214923958662395,0.000160544873784275,0.000151979700798224,0.000122296873075654,0.000214626397323593,0.000182109334533381,0.000126585725963385,0.000191181332872914,0.000198858930626135,0.000152919033194899,"v_3809",315,2.22960469108827e-05,58735.1323628144
"63561",0.000137512277881954,0.000139898009837989,0.000128913355901128,7.70911525788092e-05,7.27752519358648e-05,0.000153136717798403,0.000117576630752424,8.70756357384493e-05,0.000147842237303917,0.000128881845906916,9.5892977065968e-05,"v_2849",314,2.36725611343891e-05,41066.9055752822
"351604",0.000118760603625324,0.000145539058621779,0.000102653227847195,8.59015700163874e-05,8.0957084993743e-05,0.000148045215672114,0.000104132317464725,9.66654634629482e-05,0.000123027110002314,0.000128881845906916,9.97159528958405e-05,"v_2833",313,2.36753634168284e-05,27678.5192197915
"51101",8.52754710241986e-05,9.02567805406381e-05,7.04248888719126e-05,6.16729220630473e-05,4.99522439323095e-05,8.69471901566381e-05,7.62659226502213e-05,6.75123871804717e-05,8.8425735314163e-05,8.68070164871326e-05,7.32737034058892e-05,"v_3988",312,2.49725302167616e-05,46456.9895705751
"1883416",0.000129475846057684,0.000154000631797464,0.000126824482078656,6.60781307818364e-05,9.21532775992607e-05,0.000147261907652684,0.000120265493409964,0.000119297456892765,0.000141551078269708,0.000137296811790873,0.000113733530938706,"v_2220",309,2.34857558890533e-05,45961.7856559996
"398694",0.000150906330922404,0.000175436617175865,0.000149503683579781,0.000143169283360646,0.000124880609830774,0.00019896023693501,0.000138354205833414,0.000115461525802966,0.000159725537701868,0.0001913297506247,0.000133485572726381,"v_3411",306,2.25662318905989e-05,54462.1639586023
"1550024",7.32208232877936e-05,7.44618439460264e-05,6.80376045033732e-05,6.38755264224419e-05,4.52153932145905e-05,9.16470382732131e-05,7.2599291753576e-05,4.79491386224941e-05,9.12218059960338e-05,8.63641235458717e-05,6.3716263831208e-05,"v_4337",306,2.50156347717323e-05,40467.7862762965
"1040979",0.000108491829627645,0.000127769754952841,0.000113992828597757,9.03067787351765e-05,8.35408217488625e-05,0.000121804397021236,0.000102421223046291,7.24990975972111e-05,0.000114638897956701,0.000102751162372524,9.5574395746812e-05,"v_960",305,2.39825407103629e-05,23251.1522828831
"184917",0.000114742387713189,0.000134256961054199,9.22088587348348e-05,8.14963612975983e-05,7.01915151807453e-05,0.000149220177701257,9.48435191932239e-05,8.40068908666097e-05,0.000121279565826145,0.00011559505766909,8.69727001295989e-05,"v_2850",304,2.38237045860631e-05,21364.8088498829
"486698",0.000161621573354764,0.000194616183040751,0.000148608451941578,0.000132156261563673,9.60288827319399e-05,0.000215801359352737,0.000130287617860795,0.000102802953206627,0.000169511785088415,0.000194872894154788,0.000121379482598451,"v_3408",304,2.25606316976875e-05,50362.2062256896
"2631942",0.000117421198321279,0.000163872467169096,0.000130405408631465,0.000107927613610333,7.66508570685439e-05,0.000160186489973266,0.000121487703708846,0.000103953732533567,0.000147143219633449,0.000152355171793743,0.000102901766087401,"v_5307",303,2.3335589106947e-05,68154.0028970746
"658630",7.05420126797035e-05,8.99747281014486e-05,6.7142372865171e-05,5.06599002660746e-05,5.21053578949091e-05,7.40226078360568e-05,6.08660728843112e-05,5.83061525649529e-05,0.000106250685911089,8.50354447220891e-05,5.54331495331509e-05,"v_1306",302,2.52200448916799e-05,57174.0779798188
"899",0.000144209304402179,0.000135385170810957,0.000117573755150566,9.03067787351765e-05,8.52633129189422e-05,0.00015117844774983,0.000111954463377568,8.43904839755897e-05,0.000130716304377458,0.000116480843551612,9.43000704701878e-05,"v_2870",302,2.36753634168284e-05,37021.8662053244
"52774",0.000121885882668095,0.000126641545196083,9.87738907483182e-05,9.2509383094571e-05,8.1387707786263e-05,0.000135903941370961,0.000103643433345172,8.208892532171e-05,0.000126871707189886,0.00013065341767196,9.5574395746812e-05,"v_3719",302,2.36133084606484e-05,26027.893628008
"745377",7.72390391999286e-05,7.70003158987319e-05,6.74407834112384e-05,5.72677133442582e-05,4.3062279251991e-05,9.20386922829277e-05,6.59993561396145e-05,5.10178834943338e-05,9.19208236665015e-05,8.45925517808282e-05,6.69020770227684e-05,"v_5319",302,2.50783699059561e-05,36125.625552628
"2678688",0.000109384766497009,0.000114795342750124,9.69834274719136e-05,6.60781307818364e-05,6.45934188779865e-05,0.000106921544652082,9.36213088943421e-05,7.63350286870107e-05,0.000117085459803338,0.000111609021197742,8.37868869380385e-05,"v_2861",300,2.4253595595547e-05,41762.1520313434
