"","vcXtM2TOMPOOB050180.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"190192",7.75867419775309e-06,8.79991415194861e-06,1.28438952965655e-05,2.02468154290182e-05,6.3873836398346e-06,1.18006035165798e-05,1.38205695202852e-05,7.73445399967112e-06,1.46565113328143e-05,9.80716379103899e-06,4.98671041673939e-06,"v_5440",90,2.79454504806617e-05,197227.165952333
"2766701",1.19364218426971e-05,1.07554506301594e-05,1.24010023553047e-05,1.45102177241297e-05,8.78265250477257e-06,1.13791533909877e-05,2.11539329392121e-05,1.04246988691219e-05,1.55447847469242e-05,9.35101663796741e-06,1.03570139424587e-05,"v_5091",82,2.79298402413138e-05,121933.333863475
"2619948",1.37268851191016e-05,1.31998712279229e-05,1.41725741203482e-05,2.36212846671879e-05,9.5810754597519e-06,1.05362531398034e-05,1.21282548851482e-05,9.07957643439653e-06,1.46565113328143e-05,1.00352373675748e-05,8.43904839755897e-06,"v_4470",71,2.79212620410443e-05,200529.464534253
"1573720",1.07427796584274e-05,7.82214591284321e-06,1.24010023553047e-05,1.38353238764958e-05,1.11779213697105e-05,8.85045263743489e-06,1.26923597635272e-05,5.04420913022029e-06,1.19916910904844e-05,1.18598259798611e-05,5.37030352571934e-06,"v_1368",55,2.79010072263609e-05,154745.812578898
"2724191",1.16380112966296e-05,7.82214591284321e-06,1.41725741203482e-05,1.45102177241297e-05,7.18580659481392e-06,8.85045263743489e-06,1.18462024459588e-05,9.07957643439653e-06,1.37682379187043e-05,1.04913845206464e-05,9.20623461551887e-06,"v_2464",63,2.78815591367869e-05,146129.687235329
"265883",1.16380112966296e-05,9.04435621172496e-06,9.74364470773938e-06,1.28229831050449e-05,8.78265250477257e-06,8.00755238625061e-06,1.49487792770432e-05,7.06189278230841e-06,1.02151442622645e-05,7.75450160221688e-06,5.37030352571934e-06,"v_2700",62,2.78520499108734e-05,85385.7285271664
"1295642",1.34284745730342e-05,8.06658797261956e-06,1.68299317679135e-05,1.51851115717637e-05,8.78265250477257e-06,1.05362531398034e-05,1.32564646419062e-05,9.07957643439653e-06,1.37682379187043e-05,1.14036788267895e-05,8.05545528857901e-06,"v_3925",64,2.78318953520735e-05,149539.266391831
"2677223",2.4469664777529e-05,2.02886909614371e-05,2.39162188280876e-05,3.03702231435273e-05,1.11779213697105e-05,1.68580050236855e-05,2.67949817230019e-05,1.78228722601117e-05,2.66482024232987e-05,1.82458861228632e-05,1.95632485579776e-05,"v_4012",105,2.78195070383353e-05,348257.103552197
"1184",1.87998644022479e-05,1.49109656463574e-05,1.63870388266526e-05,2.12591562004691e-05,7.98422954979325e-06,1.26435037677641e-05,2.03077756216436e-05,1.04246988691219e-05,1.82096049892541e-05,1.55090032044338e-05,1.34257588142984e-05,"v_4591",97,2.78171854571754e-05,133073.764459346
"1499973",5.96821092134853e-06,7.33326179329051e-06,7.97207294269585e-06,9.78596079069213e-06,3.99211477489662e-06,6.7432020094742e-06,9.02567805406381e-06,5.38048973890165e-06,9.32687084815455e-06,5.92991298993055e-06,4.60311730775944e-06,"v_1869",74,2.78024911032028e-05,315984.18273948
"323261",1.99935065865176e-05,9.04435621172496e-06,1.94872894154788e-05,2.36212846671879e-05,1.19763443246899e-05,1.30649538933563e-05,2.03077756216436e-05,1.44600661732982e-05,1.73213315751442e-05,1.43686353217548e-05,1.41929450322583e-05,"v_2198",65,2.77785494041501e-05,103369.874508055
"1940790",8.65390583595537e-06,9.28879827150131e-06,7.52918000143497e-06,1.99093685052012e-05,6.3873836398346e-06,9.69335288861916e-06,1.21282548851482e-05,7.73445399967112e-06,1.19916910904844e-05,1.00352373675748e-05,8.05545528857901e-06,"v_4875",64,2.77723775932458e-05,90835.8556587905
"394935",1.31300640269668e-05,1.17332188692648e-05,1.77157176504352e-05,1.99093685052012e-05,1.43716131896278e-05,8.85045263743489e-06,1.80513561081276e-05,9.75213765175924e-06,1.19916910904844e-05,6.38606014300213e-06,9.20623461551887e-06,"v_1226",55,2.77561896302876e-05,98526.2695652444
"1646340",1.22348323887645e-05,7.82214591284321e-06,7.52918000143497e-06,1.1810642333594e-05,6.3873836398346e-06,1.05362531398034e-05,1.15641500067693e-05,6.72561217362706e-06,8.43859743404459e-06,1.02633109441106e-05,6.13748974367925e-06,"v_1841",52,2.77561896302876e-05,120503.456340262
"1499687",1.6114169487641e-05,1.53998497659101e-05,2.12588611805223e-05,2.39587315910049e-05,1.35731902346485e-05,1.47507543957248e-05,1.86154609865066e-05,1.58051886080236e-05,1.82096049892541e-05,1.55090032044338e-05,1.11242001604186e-05,"v_4015",85,2.77523381344878e-05,178253.117248534
"929509",1.67109905797759e-05,9.28879827150131e-06,1.06294305902611e-05,1.61974523432146e-05,8.78265250477257e-06,1.01148030142113e-05,1.77693036689381e-05,9.07957643439653e-06,1.24358277975394e-05,9.35101663796741e-06,1.6494503686138e-05,"v_5045",48,2.77492577073563e-05,64263.8395987552
"2067958",1.10411902044948e-05,7.82214591284321e-06,1.55012529441308e-05,1.31604300288618e-05,7.98422954979325e-06,9.69335288861916e-06,1.35385170810957e-05,9.07957643439653e-06,1.68771948680892e-05,9.35101663796741e-06,7.28826907061911e-06,"v_1835",63,2.77438686050383e-05,108451.210359436
"914153",1.46221167573039e-05,1.27109871083702e-05,1.37296811790873e-05,1.65348992670315e-05,1.03794984147312e-05,8.85045263743489e-06,1.43846743986642e-05,1.07609794778033e-05,1.06592809693195e-05,1.00352373675748e-05,1.45765381412382e-05,"v_2347",34,2.77392510402219e-05,130192.087529729
"357804",8.95231638202279e-06,7.57770385306686e-06,1.01865376490003e-05,9.78596079069213e-06,7.98422954979325e-07,5.47885163269779e-06,8.17952073649533e-06,4.37164791285759e-06,6.66205060582468e-06,7.0702808726095e-06,6.13748974367925e-06,"v_2483",51,2.77369428341608e-05,319907.074012683
"119603",7.16185310561824e-06,7.33326179329051e-06,7.97207294269585e-06,9.44851386687516e-06,5.58896068485527e-06,4.63595138151351e-06,1.12820975675798e-05,5.716770347583e-06,8.88273414109957e-06,4.7895451072516e-06,7.67186217959906e-06,"v_4222",46,2.77307894955769e-05,183193.08484287
"1291540",8.65390583595537e-06,1.09998926899358e-05,1.72728247091744e-05,1.65348992670315e-05,7.98422954979325e-06,1.18006035165798e-05,1.41026219594747e-05,8.74329582571518e-06,1.42123746257593e-05,1.07194580971822e-05,6.13748974367925e-06,"v_5517",78,2.77238702522872e-05,213134.512456913
"2161821",9.84754802022507e-06,9.04435621172496e-06,1.32867882378264e-05,1.38353238764958e-05,7.98422954979325e-06,9.27190276302702e-06,1.55128841554222e-05,1.34512243472541e-05,1.37682379187043e-05,1.25440467094685e-05,1.11242001604186e-05,"v_4537",40,2.77161862527716e-05,85814.4603962713
"90245",8.65390583595537e-06,7.82214591284321e-06,8.41496588395674e-06,1.1473195409777e-05,3.99211477489662e-06,5.90030175828992e-06,9.5897829324428e-06,6.38933156494571e-06,1.02151442622645e-05,4.10532437764423e-06,7.67186217959906e-06,"v_1096",73,2.77023657820378e-05,78824.2311319889
"2624044",1.46221167573039e-05,1.3933197407252e-05,1.37296811790873e-05,2.02468154290182e-05,7.98422954979325e-06,1.34864040189484e-05,2.08718805000226e-05,1.07609794778033e-05,1.64330581610342e-05,1.18598259798611e-05,8.82264150653892e-06,"v_2981",90,2.77000637101465e-05,47608.5298424245
"577309",1.52189378494388e-05,1.36887553474756e-05,1.37296811790873e-05,1.88970277337503e-05,1.27747672796692e-05,1.43293042701327e-05,1.66410939121802e-05,1.07609794778033e-05,1.51006480398693e-05,1.02633109441106e-05,9.20623461551887e-06,"v_5017",74,2.76824271952165e-05,59185.7101446943
"1564",2.08887382247199e-05,2.07775750809898e-05,2.2144647063044e-05,2.42961785148219e-05,1.51700361446072e-05,1.34864040189484e-05,2.5666771966244e-05,1.31149437385728e-05,1.73213315751442e-05,1.68774446636485e-05,1.45765381412382e-05,"v_4400",76,2.76785961416037e-05,115461.704251487
"882104",1.87998644022479e-05,1.75998283038972e-05,2.34733258868267e-05,2.93578823720764e-05,1.59684590995865e-05,1.43293042701327e-05,2.228214269597e-05,1.61414692167049e-05,2.70923391303537e-05,1.9614327582078e-05,1.41929450322583e-05,"v_5336",89,2.76762980183771e-05,285864.752321112
"1223569",1.07427796584274e-05,1.14887768094885e-05,1.46154670616091e-05,1.51851115717637e-05,4.79053772987595e-06,9.69335288861916e-06,1.63590414729907e-05,1.10972600864846e-05,1.24358277975394e-05,1.23159731329327e-05,6.90467596163915e-06,"v_2093",82,2.76717029165975e-05,59457.464652377
"33070",1.13396007505622e-05,1.3933197407252e-05,1.1072323531522e-05,1.41727708003127e-05,8.78265250477257e-06,7.16465213506634e-06,1.83334085473171e-05,8.07073460835247e-06,1.28799645045944e-05,1.36844145921474e-05,9.97342083347878e-06,"v_4583",44,2.76678748305343e-05,46816.9115199505
"28091",1.49205273033713e-05,1.34443132876993e-05,1.24010023553047e-05,1.72097931146655e-05,1.19763443246899e-05,1.47507543957248e-05,1.97436707432646e-05,9.75213765175924e-06,1.55447847469242e-05,8.66679590836004e-06,1.34257588142984e-05,"v_1257",63,2.76602218349791e-05,69925.3410057686
"49338",2.17839698629221e-05,1.4666523586581e-05,1.59441458853917e-05,2.12591562004691e-05,8.78265250477257e-06,1.77009052748698e-05,2.48206146486755e-05,1.04246988691219e-05,1.46565113328143e-05,1.89301068524706e-05,1.41929450322583e-05,"v_4408",59,2.76533377578674e-05,157386.136175857
"358766",2.14855593168547e-05,1.85775965430026e-05,2.17017541217832e-05,2.66583069815406e-05,1.11779213697105e-05,2.02296060284226e-05,2.2846247574349e-05,1.1433540695166e-05,2.57599290091887e-05,1.16317524033253e-05,1.41929450322583e-05,"v_5335",100,2.76525730719243e-05,135869.850181101
"47715",1.34284745730342e-05,1.44220815268047e-05,1.46154670616091e-05,1.51851115717637e-05,8.78265250477257e-06,8.85045263743489e-06,1.18462024459588e-05,5.716770347583e-06,1.51006480398693e-05,8.21064875528846e-06,6.5210828526592e-06,"v_4137",59,2.763041556145e-05,63864.4936099502
"1505648",1.8203043310113e-05,1.56442918256864e-05,2.39162188280876e-05,3.13825639149782e-05,1.75653050095451e-05,1.93867057772383e-05,3.13078207500338e-05,1.54689079993422e-05,2.22068353527489e-05,2.07546954647569e-05,1.80288761220578e-05,"v_3875",86,2.76288887660938e-05,181160.064209911
"2042057",1.55173483955062e-05,1.41776394670283e-05,1.63870388266526e-05,1.68723461908485e-05,9.5810754597519e-06,1.34864040189484e-05,2.03077756216436e-05,1.27786631298914e-05,1.68771948680892e-05,1.09475316737179e-05,1.18913863783785e-05,"v_2112",75,2.76265988894107e-05,100294.736850129
"2100422",1.10411902044948e-05,1.09998926899358e-05,1.32867882378264e-05,1.68723461908485e-05,1.19763443246899e-05,8.00755238625061e-06,1.94616183040751e-05,1.04246988691219e-05,1.73213315751442e-05,9.35101663796741e-06,1.45765381412382e-05,"v_2478",35,2.76250725158154e-05,56729.0941610048
"658445",2.59617175078661e-05,2.32219956787533e-05,1.59441458853917e-05,2.86829885244425e-05,1.19763443246899e-05,2.10725062796069e-05,2.70770341621914e-05,1.51326273906609e-05,2.53157923021338e-05,2.50880934189369e-05,1.80288761220578e-05,"v_2642",96,2.76204944068499e-05,150633.044861037
"1778540",1.73078116719107e-05,1.44220815268047e-05,1.1072323531522e-05,1.75472400384824e-05,1.11779213697105e-05,1.47507543957248e-05,1.77693036689381e-05,9.07957643439653e-06,1.55447847469242e-05,1.64212975105769e-05,1.38093519232783e-05,"v_2108",67,2.76189687077085e-05,57396.0698120094
"2741499",2.59617175078661e-05,1.85775965430026e-05,2.48020047106093e-05,2.66583069815406e-05,2.07589968294624e-05,1.72794551492776e-05,3.46924500203078e-05,1.54689079993422e-05,1.9542015110419e-05,2.21231369239717e-05,1.6110910577158e-05,"v_1969",63,2.76151551971722e-05,120954.971123472
"1736",1.55173483955062e-05,1.61331759452391e-05,1.55012529441308e-05,2.227149697192e-05,1.59684590995865e-05,1.47507543957248e-05,2.08718805000226e-05,1.54689079993422e-05,1.9542015110419e-05,1.89301068524706e-05,1.18913863783785e-05,"v_4463",58,2.76082935313768e-05,90928.6417527626
"1175631",6.26662146741596e-06,7.57770385306686e-06,6.20050117765233e-06,8.77362001924122e-06,3.1936918199173e-06,5.05740150710565e-06,9.02567805406381e-06,4.70792852153894e-06,1.06592809693195e-05,5.92991298993055e-06,4.98671041673939e-06,"v_2116",65,2.76075313345481e-05,217180.80895201
"92682",1.25332429348319e-05,8.06658797261956e-06,8.85785882521762e-06,1.0798301562143e-05,7.98422954979325e-06,1.01148030142113e-05,1.29744122027167e-05,8.40701521703382e-06,1.11034176763745e-05,7.29835444914529e-06,8.43904839755897e-06,"v_4614",46,2.76060070671378e-05,44757.1827415188
"100715",1.90982749483153e-05,2.34664377385296e-05,2.34733258868267e-05,2.90204354482594e-05,1.51700361446072e-05,1.64365548980934e-05,2.4538562209486e-05,1.41237855646168e-05,1.73213315751442e-05,1.55090032044338e-05,1.38093519232783e-05,"v_5053",86,2.76006734564323e-05,99309.5316877961
"863643",1.01459585662925e-05,1.24665450485939e-05,1.19581094140438e-05,2.39587315910049e-05,4.79053772987595e-06,1.2222053642172e-05,1.38205695202852e-05,1.00884182604406e-05,1.73213315751442e-05,1.50528560513622e-05,9.58982772449883e-06,"v_4419",69,2.75801202493243e-05,82916.6982304812
"2811425",5.37138982921368e-06,6.59993561396145e-06,5.75760823639145e-06,9.44851386687516e-06,4.79053772987595e-06,6.7432020094742e-06,7.33336341892685e-06,4.70792852153894e-06,8.88273414109957e-06,7.0702808726095e-06,5.7538966346993e-06,"v_806",64,2.75778384490224e-05,178552.439275009
"257438",1.76062222179782e-05,1.14887768094885e-05,1.77157176504352e-05,1.72097931146655e-05,1.11779213697105e-05,9.27190276302702e-06,1.55128841554222e-05,9.75213765175924e-06,1.33241012116494e-05,8.21064875528846e-06,1.03570139424587e-05,"v_558",43,2.75755570262519e-05,53432.3234848143
"2588536",5.6698003752811e-06,4.3999570759743e-06,7.08628706017409e-06,7.76127924779031e-06,3.1936918199173e-06,2.95015087914496e-06,7.33336341892685e-06,5.04420913022029e-06,6.66205060582468e-06,6.15798656646634e-06,4.98671041673939e-06,"v_1214",67,2.75755570262519e-05,178502.56523715
"971",3.58092655280912e-05,2.24886694994242e-05,2.25875400043049e-05,2.76706477529916e-05,7.98422954979325e-06,1.47507543957248e-05,2.36924048919175e-05,2.05131171295625e-05,2.35392454739139e-05,2.02985483116853e-05,2.26319934298172e-05,"v_4527",83,2.75755570262519e-05,185260.606733647
"2293",1.85014538561804e-05,1.49109656463574e-05,1.55012529441308e-05,2.02468154290182e-05,1.03794984147312e-05,1.09577032653956e-05,1.63590414729907e-05,9.75213765175924e-06,1.33241012116494e-05,1.18598259798611e-05,8.82264150653892e-06,"v_2882",66,2.75740362874318e-05,27982.9234764342
"2593292",1.96950960404501e-05,1.73553862441209e-05,1.8601503532957e-05,2.80080946768085e-05,1.67668820545658e-05,2.73942581634889e-05,2.3974457331107e-05,1.51326273906609e-05,1.86537416963091e-05,1.75616653932559e-05,1.6494503686138e-05,"v_4596",70,2.7570235174106e-05,116389.958791451
"1909699",2.83490018764055e-05,2.05331330212134e-05,1.81586105916961e-05,3.67817146960497e-05,9.5810754597519e-06,2.31797569075676e-05,2.84872963581389e-05,1.68140304340676e-05,2.93130226656286e-05,2.18950633474359e-05,1.80288761220578e-05,"v_2887",97,2.7564155572094e-05,157267.80219408
"61648",1.99935065865176e-05,1.31998712279229e-05,1.32867882378264e-05,1.88970277337503e-05,1.43716131896278e-05,1.05362531398034e-05,2.14359853784016e-05,1.27786631298914e-05,1.33241012116494e-05,1.23159731329327e-05,9.97342083347878e-06,"v_1892",51,2.75580786507565e-05,122143.112323371
"881260",2.26792015011244e-05,1.49109656463574e-05,2.12588611805223e-05,2.19340500481031e-05,1.19763443246899e-05,1.47507543957248e-05,2.6230876844623e-05,1.07609794778033e-05,2.75364758374087e-05,9.5790902145032e-06,1.41929450322583e-05,"v_1771",58,2.75558004960044e-05,102364.393939271
"661191",2.11871487707873e-05,1.53998497659101e-05,1.37296811790873e-05,1.99093685052012e-05,1.03794984147312e-05,1.43293042701327e-05,1.80513561081276e-05,8.74329582571518e-06,1.42123746257593e-05,1.04913845206464e-05,9.58982772449883e-06,"v_567",54,2.75550411947866e-05,51676.6673736132
"83612",1.07427796584274e-05,7.33326179329051e-06,7.08628706017409e-06,1.0798301562143e-05,4.79053772987595e-06,9.27190276302702e-06,9.30773049325331e-06,6.38933156494571e-06,9.32687084815455e-06,8.89486948489583e-06,9.58982772449883e-06,"v_4958",49,2.75542819354128e-05,182013.417851078
"161154",1.55173483955062e-05,1.14887768094885e-05,1.81586105916961e-05,2.69957539053576e-05,6.3873836398346e-06,1.09577032653956e-05,1.74872512297486e-05,1.21061019125287e-05,1.82096049892541e-05,1.39124881686832e-05,1.22749794873585e-05,"v_4494",68,2.7526218723334e-05,65003.9851350664
"246969",4.77456873707882e-06,3.9110729564216e-06,9.3007517664785e-06,9.44851386687516e-06,2.39526886493797e-06,4.63595138151351e-06,7.33336341892685e-06,7.06189278230841e-06,7.10618731287965e-06,6.38606014300213e-06,4.98671041673939e-06,"v_5365",47,2.75141009767506e-05,147325.156606223
"2488639",5.07297928314625e-06,3.4221888368689e-06,5.31471529513057e-06,1.04608546383261e-05,3.1936918199173e-06,6.7432020094742e-06,8.46157317568482e-06,3.02652547813218e-06,5.77377719171472e-06,5.01761868378739e-06,5.7538966346993e-06,"v_2117",58,2.75118300869374e-05,162880.377732189
"1236046",8.35549528988794e-06,7.33326179329051e-06,9.74364470773938e-06,1.1473195409777e-05,4.79053772987595e-06,1.2222053642172e-05,1.26923597635272e-05,6.72561217362706e-06,1.15475543834294e-05,1.07194580971822e-05,7.67186217959906e-06,"v_5185",66,2.75072894316994e-05,61145.822932931
"35757",1.22348323887645e-05,1.51554077061337e-05,1.59441458853917e-05,2.36212846671879e-05,1.11779213697105e-05,1.81223554004619e-05,2.5666771966244e-05,1.47963467819795e-05,2.0874425231584e-05,1.68774446636485e-05,1.57273174681781e-05,"v_3517",79,2.75042631607899e-05,163168.637324879
"2742619",6.56503201348338e-06,4.64439913575065e-06,5.31471529513057e-06,8.43617309542425e-06,3.1936918199173e-06,3.3716010047371e-06,6.76925854054786e-06,3.36280608681353e-06,4.44136707054978e-06,5.47376583685897e-06,3.45233798081958e-06,"v_1758",67,2.7500481258422e-05,291624.599263544
"1219",2.05903276786524e-05,1.66220600647918e-05,1.63870388266526e-05,2.05842623528352e-05,1.59684590995865e-05,1.47507543957248e-05,1.80513561081276e-05,1.10972600864846e-05,1.9542015110419e-05,1.87020332759348e-05,1.18913863783785e-05,"v_4594",46,2.7500481258422e-05,55502.572480994
"456163",1.01459585662925e-05,1.12443347497121e-05,1.01865376490003e-05,1.92344746575673e-05,7.98422954979325e-06,1.72794551492776e-05,1.12820975675798e-05,9.41585704307788e-06,1.19916910904844e-05,1.00352373675748e-05,9.20623461551887e-06,"v_4685",70,2.74982126161799e-05,98414.5653591269
"2305987",9.25072692809022e-06,7.33326179329051e-06,9.74364470773938e-06,1.28229831050449e-05,1.19763443246899e-05,5.90030175828992e-06,1.21282548851482e-05,8.40701521703382e-06,9.32687084815455e-06,9.5790902145032e-06,8.43904839755897e-06,"v_128",43,2.74959443482086e-05,65597.3788788183
"28184",6.26662146741596e-06,6.3554935541851e-06,9.3007517664785e-06,9.44851386687516e-06,3.99211477489662e-06,5.90030175828992e-06,7.61541585811634e-06,6.72561217362706e-06,6.2179138987697e-06,6.15798656646634e-06,3.83593108979953e-06,"v_5143",47,2.74951883420401e-05,116903.726380332
"283168",9.25072692809022e-06,7.82214591284321e-06,8.41496588395674e-06,1.04608546383261e-05,5.58896068485527e-06,2.95015087914496e-06,9.30773049325331e-06,3.69908669549488e-06,4.88550377760476e-06,6.84220729607371e-06,9.20623461551887e-06,"v_5032",41,2.74906531779195e-05,148688.566517546
"1461582",1.13396007505622e-05,6.84437767373781e-06,1.1072323531522e-05,1.1810642333594e-05,9.5810754597519e-06,7.58610226065847e-06,2.20000902567805e-05,9.75213765175924e-06,1.15475543834294e-05,6.61413371953792e-06,2.4549958974717e-05,"v_4080",34,2.74853640436468e-05,100257.88646462
"256326",8.65390583595537e-06,5.8666094346324e-06,1.24010023553047e-05,9.78596079069213e-06,4.79053772987595e-06,8.00755238625061e-06,1.35385170810957e-05,6.72561217362706e-06,9.32687084815455e-06,7.0702808726095e-06,7.28826907061911e-06,"v_1609",70,2.74838532362237e-05,73041.0898475709
"72803",8.05708474382051e-06,8.55547209217226e-06,9.3007517664785e-06,1.1810642333594e-05,3.99211477489662e-06,1.13791533909877e-05,1.24103073243377e-05,6.38933156494571e-06,1.51006480398693e-05,8.89486948489583e-06,6.13748974367925e-06,"v_5373",73,2.74747918784515e-05,46585.6263708066
"1941349",1.34284745730342e-05,8.31103003239591e-06,2.30304329455658e-05,1.88970277337503e-05,1.59684590995865e-06,1.34864040189484e-05,1.24103073243377e-05,7.73445399967112e-06,1.86537416963091e-05,7.29835444914529e-06,8.82264150653892e-06,"v_4874",56,2.74702634398264e-05,20161.8999694967
"2714951",1.76062222179782e-05,1.9555364782108e-05,2.6130683534392e-05,3.61068208484158e-05,2.07589968294624e-05,1.8543805526054e-05,2.31283000135385e-05,1.44600661732982e-05,2.22068353527489e-05,2.2807357653579e-05,1.45765381412382e-05,"v_1842",63,2.74619651782282e-05,90280.6866069616
"863",6.26662146741596e-06,6.3554935541851e-06,7.97207294269585e-06,9.11106694305819e-06,3.99211477489662e-06,7.58610226065847e-06,7.05131097973735e-06,5.04420913022029e-06,6.66205060582468e-06,6.15798656646634e-06,5.7538966346993e-06,"v_4482",57,2.74604569420035e-05,146634.795927297
"51515",8.35549528988794e-06,6.3554935541851e-06,7.08628706017409e-06,1.1473195409777e-05,4.79053772987595e-06,3.3716010047371e-06,1.46667268378537e-05,6.72561217362706e-06,7.55032401993463e-06,7.75450160221688e-06,8.82264150653892e-06,"v_4418",51,2.74559332271704e-05,46912.6965711528
"824",2.2380790955057e-05,1.75998283038972e-05,3.10025058882617e-05,2.2608943895737e-05,1.83637279645245e-05,2.10725062796069e-05,2.48206146486755e-05,1.81591528687931e-05,2.62040657162437e-05,1.9614327582078e-05,1.6110910577158e-05,"v_2902",71,2.74551794195975e-05,140949.526643532
"200",1.70094011258433e-05,1.07554506301594e-05,2.08159682392614e-05,1.75472400384824e-05,7.98422954979325e-06,1.60151047725012e-05,1.94616183040751e-05,1.54689079993422e-05,1.42123746257593e-05,1.23159731329327e-05,8.43904839755897e-06,"v_2905",55,2.74536719286205e-05,83476.9598052286
"762210",1.07427796584274e-05,8.79991415194861e-06,9.74364470773938e-06,1.113574848596e-05,9.5810754597519e-06,8.00755238625061e-06,1.29744122027167e-05,7.39817339098976e-06,7.99446072698961e-06,1.23159731329327e-05,4.98671041673939e-06,"v_3775",33,2.74529182452095e-05,46782.2079745977
"104623",1.55173483955062e-05,1.27109871083702e-05,1.28438952965655e-05,2.2946390819554e-05,1.27747672796692e-05,1.2222053642172e-05,1.66410939121802e-05,1.10972600864846e-05,2.0430288524529e-05,1.18598259798611e-05,1.72616899040979e-05,"v_1949",53,2.74499039253363e-05,85584.9647922416
"241421",1.46221167573039e-05,1.12443347497121e-05,7.97207294269585e-06,1.78846869622994e-05,8.78265250477257e-06,1.13791533909877e-05,1.38205695202852e-05,1.27786631298914e-05,1.28799645045944e-05,1.20878995563969e-05,7.67186217959906e-06,"v_4611",36,2.74431241252504e-05,25449.7965549252
