"","vcXtM2TOMPOOB050180.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"714",1.16380112966296e-05,9.28879827150131e-06,1.46154670616091e-05,1.92344746575673e-05,1.03794984147312e-05,1.26435037677641e-05,1.86154609865066e-05,8.74329582571518e-06,1.46565113328143e-05,9.35101663796741e-06,9.97342083347878e-06,"v_2762",67,2.81119982008321e-05,112073.493132389
"51197",1.37268851191016e-05,1.05110085703831e-05,1.15152164727829e-05,1.61974523432146e-05,1.03794984147312e-05,9.69335288861916e-06,1.86154609865066e-05,8.74329582571518e-06,1.11034176763745e-05,1.04913845206464e-05,1.03570139424587e-05,"v_4416",73,2.81072572938333e-05,176636.515193928
"2564040",1.07427796584274e-05,9.28879827150131e-06,1.15152164727829e-05,1.48476646479467e-05,3.99211477489662e-06,6.7432020094742e-06,1.15641500067693e-05,6.72561217362706e-06,9.77100755520952e-06,8.43872233182425e-06,6.13748974367925e-06,"v_5137",94,2.80906767044018e-05,403288.008912255
"2478464",1.43237062112365e-05,1.34443132876993e-05,1.37296811790873e-05,1.38353238764958e-05,7.98422954979325e-06,1.05362531398034e-05,1.77693036689381e-05,1.07609794778033e-05,1.19916910904844e-05,1.18598259798611e-05,4.60311730775944e-06,"v_1772",74,2.8055212658512e-05,240556.597612948
"2705547",1.55173483955062e-05,9.77768239105401e-06,1.28438952965655e-05,1.61974523432146e-05,3.99211477489662e-06,1.05362531398034e-05,2.05898280608331e-05,7.73445399967112e-06,1.24358277975394e-05,1.57370767809695e-05,9.20623461551887e-06,"v_1017",93,2.80379072506028e-05,197732.924651097
"60137",1.6114169487641e-05,1.29554291681466e-05,2.03730752980005e-05,2.12591562004691e-05,1.19763443246899e-05,1.47507543957248e-05,2.11539329392121e-05,1.27786631298914e-05,2.44275188880238e-05,1.48247824748264e-05,1.38093519232783e-05,"v_611",103,2.80057131654858e-05,391124.759324475
"34346",1.10411902044948e-05,8.06658797261956e-06,8.41496588395674e-06,1.51851115717637e-05,5.58896068485527e-06,1.01148030142113e-05,1.49487792770432e-05,5.716770347583e-06,1.02151442622645e-05,9.35101663796741e-06,9.58982772449883e-06,"v_5534",77,2.80033604032484e-05,152418.522898283
"1908198",1.34284745730342e-05,1.14887768094885e-05,1.01865376490003e-05,1.24855361812279e-05,6.3873836398346e-06,1.05362531398034e-05,1.83334085473171e-05,6.38933156494571e-06,1.24358277975394e-05,1.18598259798611e-05,1.03570139424587e-05,"v_2647",69,2.7968116347364e-05,126990.885192952
"1621989",1.10411902044948e-05,7.08881973351416e-06,1.06294305902611e-05,1.48476646479467e-05,1.03794984147312e-05,1.18006035165798e-05,1.10000451283903e-05,5.04420913022029e-06,1.46565113328143e-05,7.52642802568108e-06,6.5210828526592e-06,"v_2900",54,2.79571696161481e-05,172292.27875092
"490",1.19364218426971e-05,1.12443347497121e-05,1.24010023553047e-05,1.82221338861164e-05,6.3873836398346e-06,9.69335288861916e-06,1.91795658648856e-05,1.10972600864846e-05,1.11034176763745e-05,8.66679590836004e-06,9.58982772449883e-06,"v_1258",75,2.79548250027955e-05,142473.065107032
