"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2620435",1.07179926892008e-05,8.81041743757819e-06,1.00352373675748e-05,1.02541140360022e-05,8.05545528857901e-06,6.45934188779865e-06,8.98245940750686e-06,7.15698366537761e-06,"v_4106",204,3.20451195282958e-05,81225.2662329653
"661191",1.80513561081276e-05,1.32156261563673e-05,1.04913845206464e-05,1.58084258055034e-05,9.58982772449883e-06,1.20574381905575e-05,1.35369458676512e-05,6.36176325811343e-06,"v_567",122,3.20389593745995e-05,55305.0732873589
"1972431",1.80513561081276e-05,4.4052087187891e-06,1.36844145921474e-05,1.45266615510031e-05,7.28826907061911e-06,8.18183305787829e-06,1.21452972270515e-05,3.18088162905672e-06,"v_1911",225,3.20369065163068e-05,55504.3132250565
"1207075",2.6230876844623e-05,8.81041743757819e-06,1.77897389697917e-05,2.09354828235045e-05,1.41929450322583e-05,1.63636661157566e-05,1.03741080481065e-05,5.56654285084926e-06,"v_1344",265,3.20338277220745e-05,116139.411102196
"1416627",1.72051987905591e-05,6.60781307818364e-06,1.14036788267895e-05,1.19631330420026e-05,1.22749794873585e-05,7.32058747283847e-06,1.1892270201488e-05,7.15698366537761e-06,"v_2519",157,3.2032801588827e-05,57703.2206121202
"1874277",2.05898280608331e-05,1.10130217969727e-05,1.66493710871127e-05,2.00809733205043e-05,1.49601312502182e-05,1.11961926055177e-05,6.95824320299827e-06,3.9761020363209e-06,"v_5466",281,3.20317755213171e-05,61624.287533479
"178898",1.60769890338012e-05,1.32156261563673e-05,1.68774446636485e-05,1.75174448115038e-05,1.26585725963385e-05,8.18183305787829e-06,9.36199994585222e-06,4.77132244358508e-06,"v_4329",249,3.20297235834855e-05,92992.5607481218
"69713",1.83334085473171e-05,1.32156261563673e-05,1.02633109441106e-05,2.13627375750046e-05,1.26585725963385e-05,9.04307864291811e-06,9.488513458634e-06,2.38566122179254e-06,"v_5095",211,3.2027671908529e-05,48338.4077209605
"235634",1.91795658648856e-05,4.4052087187891e-06,1.23159731329327e-05,1.8799209066004e-05,1.22749794873585e-05,1.50717977381968e-05,1.74588647638866e-05,6.36176325811343e-06,"v_1227",164,3.20194678364446e-05,45497.9958264231
"82995",2.25641951351595e-05,1.32156261563673e-05,1.68774446636485e-05,2.26445018295048e-05,1.80288761220578e-05,1.16268153980376e-05,1.3663459380433e-05,1.11330857016985e-05,"v_1971",274,3.20194678364446e-05,121481.747106734
"2283318",1.74872512297486e-05,6.60781307818364e-06,9.5790902145032e-06,1.83719543145039e-05,1.26585725963385e-05,1.16268153980376e-05,1.26513512781787e-05,3.18088162905672e-06,"v_1620",194,3.20174174751065e-05,66102.5528679319
"33070",1.83334085473171e-05,6.60781307818364e-06,1.36844145921474e-05,1.45266615510031e-05,9.97342083347878e-06,4.73685071771901e-06,5.44008104961683e-06,7.95220407264179e-07,"v_4583",254,3.20112679663241e-05,55740.1027592498
"366522",1.21282548851482e-05,4.4052087187891e-06,6.61413371953792e-06,2.09354828235045e-05,1.07406070514387e-05,4.73685071771901e-06,6.57870266465291e-06,2.38566122179254e-06,"v_2942",238,3.20092186549726e-05,78530.0882225064
"1354302",1.77693036689381e-05,1.32156261563673e-05,1.80178125463274e-05,2.05082280720044e-05,9.58982772449883e-06,8.6124558503982e-06,1.15127296631426e-05,5.56654285084926e-06,"v_2489",228,3.20020481310804e-05,53113.1685247073
"2305987",1.21282548851482e-05,8.81041743757819e-06,9.5790902145032e-06,1.8799209066004e-05,8.43904839755897e-06,9.47370143543802e-06,9.99456750976115e-06,7.15698366537761e-06,"v_128",168,3.19938571794215e-05,18083.0067176731
"199",1.94616183040751e-05,6.60781307818364e-06,1.11756052502537e-05,2.22172470780048e-05,9.20623461551887e-06,1.29186837755973e-05,1.65732701744141e-05,4.77132244358508e-06,"v_2904",179,3.19826014648031e-05,51173.0442191789
"1565",1.35385170810957e-05,2.20260435939455e-06,1.25440467094685e-05,1.49539163025032e-05,1.34257588142984e-05,6.88996468031856e-06,9.99456750976115e-06,4.77132244358508e-06,"v_4401",209,3.19826014648031e-05,69469.5351268449
"100715",2.4538562209486e-05,1.54182305157618e-05,1.55090032044338e-05,2.39262660840051e-05,1.38093519232783e-05,1.24880609830774e-05,1.37899728932148e-05,7.15698366537761e-06,"v_5053",299,3.19774878485546e-05,151947.082282656
"673",2.00257231824541e-05,8.81041743757819e-06,1.11756052502537e-05,2.05082280720044e-05,1.45765381412382e-05,1.07655698129977e-05,1.66997836871958e-05,1.03378652944343e-05,"v_2650",192,3.19580710108338e-05,59172.2896069741
"2597702",1.41026219594747e-05,8.81041743757819e-06,1.00352373675748e-05,1.45266615510031e-05,8.82264150653892e-06,5.59809630275883e-06,8.34989184359792e-06,4.77132244358508e-06,"v_1951",263,3.19570497251694e-05,81335.5860791135
"148813",1.32564646419062e-05,8.81041743757819e-06,8.66679590836004e-06,1.23903877935027e-05,1.03570139424587e-05,4.73685071771901e-06,8.98245940750686e-06,5.56654285084926e-06,"v_2980",137,3.19550073496517e-05,28471.3900926271
"2161821",1.55128841554222e-05,6.60781307818364e-06,1.25440467094685e-05,1.75174448115038e-05,1.11242001604186e-05,4.3062279251991e-06,8.6029188691615e-06,6.36176325811343e-06,"v_4537",228,3.19550073496517e-05,36868.3375647817
"161154",1.74872512297486e-05,1.10130217969727e-05,1.39124881686832e-05,1.66629353085036e-05,1.22749794873585e-05,7.75121026535838e-06,4.93402699848968e-06,4.77132244358508e-06,"v_4494",276,3.19509233816857e-05,72425.8665187865
"1179675",1.91795658648856e-05,8.81041743757819e-06,1.57370767809695e-05,2.56352850900055e-05,1.53437243591981e-05,1.20574381905575e-05,1.11331891247972e-05,8.74742447990597e-06,"v_929",289,3.19488817891374e-05,71428.9132911446
"326297",1.91795658648856e-05,1.76208348751564e-05,1.45967088982906e-05,2.30717565810049e-05,1.6110910577158e-05,1.20574381905575e-05,1.80914323277955e-05,1.03378652944343e-05,"v_2391",149,3.19427585766307e-05,54983.8229445301
