"","FvY2M2TOMPOOB051329.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2773454",4.72425693343758e-06,0,6.69020770227684e-06,5.31356753683504e-06,3.69908669549488e-06,3.87933709887654e-06,4.49288574007488e-06,5.77377719171472e-06,3.06874487183962e-06,3.17774677709255e-06,3.01435954763937e-06,"v_2287",34,2.69251480883145e-05,33958.8250320662
"29546",5.73659770488849e-06,0,1.5929065957802e-06,4.42797294736254e-06,3.36280608681353e-06,2.98410546067426e-06,6.29004003610483e-06,7.55032401993463e-06,1.91796554489977e-06,4.64439913575065e-06,1.72249117007964e-06,"v_2869",47,2.69251480883145e-05,21128.216961185
"656088",4.04936308580364e-06,2.20260435939455e-06,4.46013846818456e-06,5.18705402405326e-06,2.69024486945082e-06,2.98410546067426e-06,5.84075146209734e-06,5.32964048465974e-06,3.45233798081958e-06,3.4221888368689e-06,3.44498234015928e-06,"v_4713",47,2.69244231442341e-05,35565.3314366533
"33074",3.50944800769649e-05,1.98234392345509e-05,2.16635297026107e-05,2.39110539157577e-05,2.08493977382439e-05,3.75997288044957e-05,3.54937973465915e-05,3.55309365643983e-05,2.80022969555366e-05,2.71330686351749e-05,2.97129726838738e-05,"v_2268",59,2.69215237582447e-05,8122.43720820837
"1038856",3.61068208484158e-05,1.54182305157618e-05,3.05838066389798e-05,2.70738917353024e-05,3.06015353900031e-05,2.6558538600001e-05,3.90881059386514e-05,2.39833821809688e-05,2.30155865387972e-05,2.27331115592006e-05,1.85167800783561e-05,"v_4014",61,2.69207990093146e-05,4652.5838450718
"2627139",2.2946390819554e-05,1.76208348751564e-05,9.55743957468119e-06,1.11331891247972e-05,1.17698213038474e-05,9.25072692809022e-06,1.21307914982022e-05,2.0430288524529e-05,1.53437243591981e-05,9.77768239105401e-06,5.59809630275883e-06,"v_3259",30,2.69179004037685e-05,4617.13394112916
"2083054",6.07404462870546e-06,4.4052087187891e-06,4.7787197873406e-06,2.15072971729037e-06,3.69908669549488e-06,5.6698003752811e-06,6.29004003610483e-06,1.77654682821991e-06,4.98671041673939e-06,3.4221888368689e-06,1.72249117007964e-06,"v_1385",27,2.6914278024492e-05,24128.2262586322
"323284",1.21480892574109e-05,4.4052087187891e-06,7.32737034058892e-06,9.488513458634e-06,6.72561217362706e-06,8.65390583595537e-06,1.16815029241947e-05,6.66205060582468e-06,1.07406070514387e-05,8.79991415194861e-06,1.07655698129977e-05,"v_1091",24,2.6913553665626e-05,6008.82003549337
"553239",9.11106694305819e-06,1.10130217969727e-05,6.69020770227684e-06,3.41586484510824e-06,6.72561217362706e-06,4.4761581910114e-06,8.53648290614227e-06,4.88550377760476e-06,4.21952419877948e-06,5.62216737485605e-06,1.72249117007964e-06,"v_2625",42,2.69128293457491e-05,24114.7112055809
"43305",7.08638540015637e-06,2.20260435939455e-06,3.50439451071644e-06,3.54237835789003e-06,2.01768365208812e-06,3.28251600674169e-06,4.94217431408237e-06,6.66205060582468e-06,2.68515176285967e-06,5.13328325530335e-06,2.15311396259955e-06,"v_4446",40,2.69128293457491e-05,32578.4459337574
