"","s9OmM2TOMPOOB051285.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"180230",2.09705301140308e-06,3.71191616198667e-06,7.98422954979325e-07,6.72561217362706e-07,3.10257683108444e-06,5.24569226032318e-06,1.78587373872667e-06,1.32867882378264e-06,0,2.56352850900055e-06,1.26435037677641e-06,"v_6121",50,2.62591250459535e-05,250148.447880514
"55209",2.93587421596431e-05,3.17200108387952e-05,1.91621509195038e-05,2.21945201729693e-05,3.24360305067918e-05,2.46319462658654e-05,2.63416376462184e-05,2.43591117693484e-05,1.11330857016985e-05,2.94805778535063e-05,2.31797569075676e-05,"v_2020",207,2.87372837519398e-05,247460.378066763
"47951",2.79607068187077e-06,7.42383232397334e-06,7.98422954979325e-07,1.34512243472541e-06,4.51283902703191e-06,2.2807357653579e-06,3.12527904277168e-06,2.2144647063044e-06,1.59044081452836e-06,2.56352850900055e-06,2.10725062796069e-06,"v_2631",75,2.72605839217076e-05,245962.956224128
"61646",3.42518658529169e-05,3.94812900865855e-05,2.55495345593384e-05,2.21945201729693e-05,4.06155512432872e-05,3.19303007150107e-05,2.85739798196268e-05,2.6130683534392e-05,1.43139673307552e-05,4.48617489075096e-05,2.86586085402653e-05,"v_1889",179,2.81809215161336e-05,241349.871761455
"351679",6.29115903420923e-06,7.76127924779031e-06,3.1936918199173e-06,3.02652547813218e-06,7.05131097973735e-06,3.87725080110844e-06,6.25055808554335e-06,6.20050117765233e-06,1.59044081452836e-06,6.40882127250137e-06,5.47885163269779e-06,"v_2146",140,2.88001843211797e-05,239569.064398901
"499229",1.32813357388861e-05,9.11106694305819e-06,4.79053772987595e-06,5.716770347583e-06,7.89746829730583e-06,7.75450160221688e-06,8.03643182427002e-06,7.52918000143497e-06,5.56654285084926e-06,8.11784027850174e-06,5.90030175828992e-06,"v_4521",129,2.90706125178058e-05,238338.914519275
"2637901",3.49508835233846e-07,1.68723461908485e-06,7.98422954979325e-07,1.00884182604406e-06,2.82052439189494e-06,1.59651503575053e-06,4.46468434681668e-07,1.32867882378264e-06,0,2.56352850900055e-06,8.42900251184275e-07,"v_4776",35,2.4492995003429e-05,235017.384442411
"136073",5.59214136374153e-06,6.41149155252243e-06,1.59684590995865e-06,3.02652547813218e-06,4.51283902703191e-06,2.05266218882211e-06,5.80408965086168e-06,4.42892941260881e-06,1.59044081452836e-06,5.1270570180011e-06,3.79305113032924e-06,"v_4645",99,2.8220685762664e-05,233489.810383292
"142864",1.50288799150554e-05,1.95719215813843e-05,1.43716131896278e-05,1.41237855646168e-05,2.2846247574349e-05,1.48247824748264e-05,2.27698901687651e-05,1.19581094140438e-05,7.95220407264179e-06,3.20441063625069e-05,1.77009052748698e-05,"v_4630",128,2.90292614955876e-05,231872.648485798
"638",3.14557951710461e-06,5.06170385725455e-06,3.1936918199173e-06,3.02652547813218e-06,3.94873414865292e-06,1.59651503575053e-06,3.57174747745334e-06,2.2144647063044e-06,7.95220407264179e-07,3.84529276350082e-06,8.42900251184275e-07,"v_2163",66,2.72479564032698e-05,230103.143132022
"1315279",1.04852650570154e-06,3.3744692381697e-07,0,6.72561217362706e-07,1.12820975675798e-06,6.84220729607371e-07,4.46468434681668e-07,0,0,4.27254751500091e-07,4.21450125592137e-07,"v_2453",15,2.04561726500972e-05,226423.282762845
"1471399",2.37666007959015e-05,2.63208600577237e-05,1.75653050095451e-05,1.88317140861558e-05,2.36924048919175e-05,2.00704747351496e-05,2.09840164300384e-05,1.55012529441308e-05,1.27235265162269e-05,2.60625398415056e-05,1.43293042701327e-05,"v_5036",163,2.89494253539067e-05,224846.174107738
"126385",4.19410602280615e-06,4.72425693343758e-06,1.59684590995865e-06,2.69024486945082e-06,5.07694390541089e-06,6.84220729607371e-06,3.12527904277168e-06,5.31471529513057e-06,7.95220407264179e-07,5.1270570180011e-06,1.68580050236855e-06,"v_2138",69,2.76709372146435e-05,219648.631496551
"114881",6.99017670467692e-07,1.01234077145091e-06,0,0,1.12820975675798e-06,6.84220729607371e-07,0,0,0,4.27254751500091e-07,4.21450125592137e-07,"v_4753",17,2.08016974185093e-05,218969.450355103
"754066",1.04852650570154e-06,6.7489384763394e-07,0,3.36280608681353e-07,8.46157317568482e-07,1.14036788267895e-06,4.46468434681668e-07,1.77157176504352e-06,0,4.27254751500091e-07,0,"v_5579",20,2.14018191546281e-05,212346.699188382
"2180",6.99017670467692e-07,1.01234077145091e-06,7.98422954979325e-07,3.36280608681353e-07,8.46157317568482e-07,1.14036788267895e-06,0,4.42892941260881e-07,0,1.70901900600037e-06,8.42900251184275e-07,"v_5419",23,2.25784601490178e-05,209098.719392409
"320778",2.23685654549661e-05,3.20574577626122e-05,1.83637279645245e-05,1.31149437385728e-05,2.5102667087865e-05,1.87020332759348e-05,2.00910795606751e-05,1.94872894154788e-05,1.43139673307552e-05,2.39262660840051e-05,1.89652556516462e-05,"v_2643",203,2.88683602771363e-05,207485.22893433
"1188795",6.99017670467692e-07,1.34978769526788e-06,1.59684590995865e-06,6.72561217362706e-07,8.46157317568482e-07,9.12294306143162e-07,4.46468434681668e-07,0,0,1.70901900600037e-06,4.21450125592137e-07,"v_6000",25,2.26834524214585e-05,204981.722360855
"1109711",1.39803534093538e-06,6.7489384763394e-07,0,3.36280608681353e-07,1.41026219594747e-06,9.12294306143162e-07,1.78587373872667e-06,1.77157176504352e-06,0,4.27254751500091e-07,4.21450125592137e-07,"v_5564",20,2.31975503386842e-05,199946.236309301
"28091",1.67764240912246e-05,1.72097931146655e-05,1.19763443246899e-05,9.75213765175924e-06,1.97436707432646e-05,8.66679590836004e-06,1.4733458344495e-05,1.24010023553047e-05,6.36176325811343e-06,2.17899923265047e-05,1.47507543957248e-05,"v_1257",149,2.92808620285781e-05,198409.703949456
"1224147",1.39803534093538e-06,2.02468154290182e-06,3.1936918199173e-06,1.00884182604406e-06,3.66668170946342e-06,1.36844145921474e-06,1.78587373872667e-06,1.32867882378264e-06,0,2.99078326050064e-06,1.26435037677641e-06,"v_2088",34,2.5333130668288e-05,194801.922353954
"2570373",1.74754417616923e-06,1.34978769526788e-06,0,1.34512243472541e-06,1.41026219594747e-06,9.12294306143162e-07,8.92936869363336e-07,2.2144647063044e-06,0,8.54509503000183e-07,0,"v_5728",25,2.32720502676286e-05,193530.151114144
"2018305",1.74754417616923e-06,3.03702231435273e-06,0,1.34512243472541e-06,2.25641951351595e-06,1.59651503575053e-06,8.92936869363336e-07,2.2144647063044e-06,1.59044081452836e-06,5.1270570180011e-06,1.26435037677641e-06,"v_2408",44,2.61355914484345e-05,191008.416787667
"2315856",1.04852650570154e-06,6.7489384763394e-07,0,6.72561217362706e-07,1.12820975675798e-06,2.2807357653579e-07,4.46468434681668e-07,4.42892941260881e-07,0,8.54509503000183e-07,0,"v_5734",20,2.10207685192971e-05,190919.572807972
"718192",2.79607068187077e-06,7.08638540015637e-06,3.99211477489662e-06,3.36280608681353e-06,3.94873414865292e-06,2.73688291842949e-06,2.67881060809001e-06,2.2144647063044e-06,7.95220407264179e-07,4.27254751500091e-06,1.68580050236855e-06,"v_2477",52,2.72027420363973e-05,187213.128212743
"231049",5.94165019897538e-06,1.113574848596e-05,7.18580659481392e-06,5.38048973890165e-06,8.46157317568482e-06,5.70183941339476e-06,4.46468434681668e-06,7.08628706017409e-06,3.18088162905672e-06,7.26333077550155e-06,5.05740150710565e-06,"v_4204",89,2.88575303725507e-05,187157.321262831
"2560611",3.49508835233846e-07,1.01234077145091e-06,0,0,8.46157317568482e-07,2.2807357653579e-07,4.46468434681668e-07,4.42892941260881e-07,0,8.54509503000183e-07,4.21450125592137e-07,"v_6028",27,2.09121897153851e-05,186026.442434986
"2697371",3.49508835233846e-07,1.68723461908485e-06,0,3.36280608681353e-07,1.12820975675798e-06,6.84220729607371e-07,0,8.85785882521762e-07,0,2.13627375750046e-06,8.42900251184275e-07,"v_1784",27,2.24890927899969e-05,184675.497520685
"1175631",8.03870321037846e-06,8.77362001924122e-06,3.1936918199173e-06,4.70792852153894e-06,9.02567805406381e-06,5.92991298993055e-06,5.80408965086168e-06,6.20050117765233e-06,2.38566122179254e-06,6.83607602400146e-06,5.05740150710565e-06,"v_2116",128,2.88800323456362e-05,183951.57119425
"446679",1.15337915627169e-05,1.1810642333594e-05,8.78265250477257e-06,6.38933156494571e-06,1.01538878108218e-05,5.70183941339476e-06,8.48290025895169e-06,8.85785882521762e-06,4.77132244358508e-06,7.69058552700165e-06,7.58610226065847e-06,"v_4627",109,2.89226319595083e-05,181736.930650894
"716816",1.15337915627169e-05,1.58600054193976e-05,4.79053772987595e-06,9.75213765175924e-06,1.60769890338012e-05,1.07194580971822e-05,1.16081793017234e-05,8.41496588395674e-06,6.36176325811343e-06,1.4099406799503e-05,9.69335288861916e-06,"v_2576",156,2.92963028065858e-05,181522.728990935
"10494",3.49508835233846e-07,3.3744692381697e-07,0,0,5.64104878378988e-07,4.56147153071581e-07,0,4.42892941260881e-07,0,0,0,"v_6163",10,1.84627882502816e-05,174634.019646771
"1222016",1.39803534093538e-06,3.3744692381697e-07,2.39526886493797e-06,3.36280608681353e-07,1.97436707432646e-06,1.36844145921474e-06,8.92936869363336e-07,4.42892941260881e-07,0,8.54509503000183e-07,8.42900251184275e-07,"v_4499",12,2.29084578026207e-05,174618.556609317
"198",2.79607068187077e-06,5.06170385725455e-06,2.39526886493797e-06,1.68140304340676e-06,4.7948914662214e-06,4.7895451072516e-06,3.57174747745334e-06,2.65735764756528e-06,7.95220407264179e-07,4.69980226650101e-06,1.68580050236855e-06,"v_2910",83,2.76281254316895e-05,174298.3117329
"477967",1.04852650570154e-06,6.7489384763394e-07,0,0,8.46157317568482e-07,4.56147153071581e-07,0,4.42892941260881e-07,0,4.27254751500091e-07,0,"v_6048",18,1.97351542302303e-05,174251.440865429
"2169611",2.09705301140308e-06,1.01234077145091e-06,7.98422954979325e-07,6.72561217362706e-07,1.69231463513696e-06,1.36844145921474e-06,8.92936869363336e-07,8.85785882521762e-07,0,1.70901900600037e-06,1.26435037677641e-06,"v_5740",39,2.43421533068815e-05,172968.786779731
"572546",1.74754417616923e-06,5.06170385725455e-06,1.59684590995865e-06,3.36280608681353e-07,2.53847195270545e-06,2.5088093418937e-06,2.67881060809001e-06,2.2144647063044e-06,1.59044081452836e-06,1.70901900600037e-06,1.68580050236855e-06,"v_5437",52,2.61800664973689e-05,172890.291249783
"1499686",0.000166016696736077,0.000189645171185137,0.000243519001268694,7.06189278230841e-05,9.22311476149646e-05,6.0895644935056e-05,7.76855076346102e-05,6.86484058954365e-05,0.000114511738646042,9.39960453300201e-05,8.47114752440196e-05,"v_1484",44,2.34587595007976e-05,169801.274684331
"54259",1.39803534093538e-06,1.01234077145091e-06,0,6.72561217362706e-07,1.12820975675798e-06,4.56147153071581e-07,1.339405304045e-06,4.42892941260881e-07,7.95220407264179e-07,8.54509503000183e-07,4.21450125592137e-07,"v_5485",15,2.28660279422861e-05,169190.242489786
"2592816",1.74754417616923e-06,2.69957539053576e-06,2.39526886493797e-06,2.69024486945082e-06,3.66668170946342e-06,1.82458861228632e-06,2.67881060809001e-06,2.65735764756528e-06,7.95220407264179e-07,3.84529276350082e-06,1.68580050236855e-06,"v_60",52,2.65048106231281e-05,169105.707968427
"2641196",1.39803534093538e-06,1.01234077145091e-06,0,0,8.46157317568482e-07,4.56147153071581e-07,1.339405304045e-06,8.85785882521762e-07,0,1.70901900600037e-06,4.21450125592137e-07,"v_5430",24,2.27345064338653e-05,168110.678106974
"1183377",1.39803534093538e-06,1.34978769526788e-06,0,3.36280608681353e-07,1.12820975675798e-06,1.14036788267895e-06,4.46468434681668e-07,4.42892941260881e-07,7.95220407264179e-07,4.27254751500091e-07,8.42900251184275e-07,"v_5397",14,2.24175035868006e-05,167797.891825622
"76857",3.49508835233846e-07,2.02468154290182e-06,7.98422954979325e-07,1.00884182604406e-06,2.53847195270545e-06,2.05266218882211e-06,4.46468434681668e-07,4.42892941260881e-07,0,1.28176425450027e-06,0,"v_5215",18,2.38049895258046e-05,166136.847251331
"2734218",3.49508835233846e-07,1.01234077145091e-06,0,0,5.64104878378988e-07,4.56147153071581e-07,4.46468434681668e-07,0,0,4.27254751500091e-07,4.21450125592137e-07,"v_5815",19,2.03223118661979e-05,165293.60028943
"2742627",1.04852650570154e-06,2.69957539053576e-06,0,1.00884182604406e-06,1.69231463513696e-06,4.56147153071581e-07,0,4.42892941260881e-07,0,2.13627375750046e-06,8.42900251184275e-07,"v_1807",22,2.38197322662093e-05,164729.713085057
"1241865",3.49508835233846e-07,6.7489384763394e-07,0,0,5.64104878378988e-07,4.56147153071581e-07,0,4.42892941260881e-07,0,1.28176425450027e-06,8.42900251184275e-07,"v_2060",16,2.06530494227473e-05,163759.224134762
"2734217",1.74754417616923e-06,1.01234077145091e-06,0,0,1.12820975675798e-06,4.56147153071581e-07,8.92936869363336e-07,4.42892941260881e-07,0,1.28176425450027e-06,4.21450125592137e-07,"v_5751",32,2.25103547631911e-05,163609.280790761
"400065",3.14557951710461e-06,3.03702231435273e-06,7.98422954979325e-07,3.36280608681353e-07,1.69231463513696e-06,1.36844145921474e-06,2.67881060809001e-06,8.85785882521762e-07,1.59044081452836e-06,2.56352850900055e-06,8.42900251184275e-07,"v_4250",25,2.52397778899546e-05,161333.121313178
"97481",2.79607068187077e-06,3.71191616198667e-06,7.98422954979325e-07,2.35396426076947e-06,1.41026219594747e-06,1.36844145921474e-06,1.339405304045e-06,8.85785882521762e-07,0,1.28176425450027e-06,8.42900251184275e-07,"v_2779",30,2.51984376968628e-05,160772.747331987
"1526571",2.06210212787969e-05,2.02468154290182e-05,1.75653050095451e-05,1.24423825212101e-05,2.31283000135385e-05,1.50528560513622e-05,1.83052058219484e-05,1.19581094140438e-05,1.19283061089627e-05,2.17899923265047e-05,1.55936546469091e-05,"v_2355",154,2.90023201856148e-05,160530.73309963
"1965231",2.44656184663692e-06,2.36212846671879e-06,7.98422954979325e-07,1.34512243472541e-06,2.25641951351595e-06,2.5088093418937e-06,1.78587373872667e-06,1.32867882378264e-06,1.59044081452836e-06,3.41803801200073e-06,1.68580050236855e-06,"v_2915",37,2.59369731552328e-05,159941.92784185
"70601",6.99017670467692e-07,1.01234077145091e-06,7.98422954979325e-07,6.72561217362706e-07,1.12820975675798e-06,4.56147153071581e-07,8.92936869363336e-07,8.85785882521762e-07,0,4.27254751500091e-07,1.26435037677641e-06,"v_5401",14,2.179361447096e-05,158059.696839828
"658172",1.74754417616923e-06,1.68723461908485e-06,7.98422954979325e-07,1.00884182604406e-06,2.82052439189494e-06,1.14036788267895e-06,1.78587373872667e-06,1.32867882378264e-06,7.95220407264179e-07,8.54509503000183e-07,8.42900251184275e-07,"v_180",41,2.49370339891773e-05,156524.495010538
"55205",2.09705301140308e-06,1.68723461908485e-06,7.98422954979325e-07,6.72561217362706e-07,2.53847195270545e-06,9.12294306143162e-07,2.23234217340834e-06,2.2144647063044e-06,7.95220407264179e-07,1.70901900600037e-06,1.26435037677641e-06,"v_4497",30,2.51787692617585e-05,155368.304034938
"135720",6.99017670467692e-07,3.03702231435273e-06,0,1.00884182604406e-06,8.46157317568482e-07,9.12294306143162e-07,8.92936869363336e-07,4.42892941260881e-07,0,8.54509503000183e-07,8.42900251184275e-07,"v_1252",11,2.29505186817222e-05,154101.466853647
"358766",1.99220036083292e-05,2.66583069815406e-05,1.11779213697105e-05,1.1433540695166e-05,2.2846247574349e-05,1.16317524033253e-05,1.38405214751317e-05,2.17017541217832e-05,2.38566122179254e-06,2.05082280720044e-05,2.02296060284226e-05,"v_5335",138,2.89092538521581e-05,153989.884115372
"948519",8.73772088084615e-06,1.28229831050449e-05,7.18580659481392e-06,6.05305095626435e-06,9.30773049325331e-06,6.61413371953792e-06,8.92936869363336e-06,6.20050117765233e-06,4.77132244358508e-06,1.06813687875023e-05,8.42900251184275e-06,"v_2514",163,2.9020836960938e-05,153340.14179628
"2705547",1.11842827274831e-05,1.61974523432146e-05,3.99211477489662e-06,7.73445399967112e-06,2.05898280608331e-05,1.57370767809695e-05,1.29475846057684e-05,1.28438952965655e-05,3.9761020363209e-06,2.05082280720044e-05,1.05362531398034e-05,"v_1017",143,2.92397660818713e-05,152884.801162363
"1721",5.94165019897538e-06,9.44851386687516e-06,3.99211477489662e-06,5.04420913022029e-06,1.04359402500113e-05,7.0702808726095e-06,4.91115278149835e-06,4.42892941260881e-06,3.18088162905672e-06,8.54509503000183e-06,5.47885163269779e-06,"v_3536",108,2.86254079120627e-05,152664.873333231
"2108399",7.68919437514461e-06,1.01234077145091e-05,6.3873836398346e-06,4.70792852153894e-06,9.30773049325331e-06,7.98257517875266e-06,8.03643182427002e-06,7.52918000143497e-06,3.18088162905672e-06,1.49539163025032e-05,5.47885163269779e-06,"v_2115",154,2.90630086026505e-05,152009.989522519
"2811425",6.64066786944307e-06,9.44851386687516e-06,4.79053772987595e-06,4.70792852153894e-06,7.33336341892685e-06,7.0702808726095e-06,1.02687739976784e-05,5.75760823639145e-06,2.38566122179254e-06,1.06813687875023e-05,6.7432020094742e-06,"v_806",108,2.87811195855519e-05,150940.529964094
"754345",0,6.7489384763394e-07,0,0,2.82052439189494e-07,6.84220729607371e-07,0,0,0,4.27254751500091e-07,4.21450125592137e-07,"v_2773",16,1.84145106343799e-05,150914.094342619
"49899",3.49508835233846e-06,9.44851386687516e-06,1.59684590995865e-06,1.68140304340676e-06,6.48720610135836e-06,4.10532437764423e-06,1.02687739976784e-05,6.64339411891321e-06,3.18088162905672e-06,3.84529276350082e-06,6.32175188388206e-06,"v_5379",45,2.81017282562878e-05,150345.173732158
"1542",3.14557951710461e-06,2.36212846671879e-06,3.99211477489662e-06,1.34512243472541e-06,4.7948914662214e-06,2.5088093418937e-06,8.92936869363336e-07,8.85785882521762e-07,7.95220407264179e-07,2.56352850900055e-06,8.42900251184275e-07,"v_4372",25,2.58718824381662e-05,148997.441261032
"1329",6.99017670467692e-07,2.02468154290182e-06,7.98422954979325e-07,6.72561217362706e-07,2.82052439189494e-06,1.36844145921474e-06,1.78587373872667e-06,1.32867882378264e-06,7.95220407264179e-07,4.27254751500091e-07,1.68580050236855e-06,"v_4236",9,2.37214156940886e-05,148738.24517213
"262177",1.04852650570154e-06,1.68723461908485e-06,0,6.72561217362706e-07,5.64104878378988e-07,4.56147153071581e-07,0,4.42892941260881e-07,0,1.28176425450027e-06,0,"v_6280",22,2.18593568977201e-05,147378.214569288
"548687",6.99017670467692e-07,6.7489384763394e-07,0,0,5.64104878378988e-07,1.14036788267895e-06,0,4.42892941260881e-07,7.95220407264179e-07,4.27254751500091e-07,4.21450125592137e-07,"v_6118",6,2.0010805835151e-05,147029.803374329
"152331",3.49508835233846e-06,2.69957539053576e-06,7.98422954979325e-07,2.01768365208812e-06,3.10257683108444e-06,2.05266218882211e-06,4.01821591213501e-06,4.87182235386969e-06,7.95220407264179e-07,1.28176425450027e-06,2.10725062796069e-06,"v_4172",40,2.64221734879911e-05,146892.13030352
"1154689",3.49508835233846e-07,1.68723461908485e-06,0,6.72561217362706e-07,8.46157317568482e-07,6.84220729607371e-07,4.46468434681668e-07,4.42892941260881e-07,0,8.54509503000183e-07,0,"v_6201",21,2.19053251845524e-05,146879.53595034
"1965282",3.32033393472154e-05,3.13825639149782e-05,2.47511116043591e-05,1.47963467819795e-05,3.27180829459813e-05,2.78249763373664e-05,2.58951692115367e-05,2.03730752980005e-05,1.03378652944343e-05,3.41803801200073e-05,2.36012070331597e-05,"v_2384",146,2.85665314517511e-05,146413.213915929
"2752533",3.49508835233846e-07,6.7489384763394e-07,0,6.72561217362706e-07,5.64104878378988e-07,2.2807357653579e-07,0,4.42892941260881e-07,0,1.28176425450027e-06,4.21450125592137e-07,"v_5944",18,2.03371906204877e-05,146333.467946965
"1124849",3.49508835233846e-07,1.34978769526788e-06,0,1.00884182604406e-06,5.64104878378988e-07,2.2807357653579e-07,0,0,0,4.27254751500091e-07,0,"v_5884",7,1.97273677773175e-05,145714.884485173
"1408204",3.49508835233846e-06,3.3744692381697e-06,1.59684590995865e-06,3.36280608681353e-06,5.35899634460039e-06,2.73688291842949e-06,2.67881060809001e-06,4.87182235386969e-06,1.59044081452836e-06,5.55431176950119e-06,2.10725062796069e-06,"v_5252",86,2.75991499461817e-05,145581.058790851
"1563222",1.39803534093538e-06,1.01234077145091e-06,7.98422954979325e-07,3.36280608681353e-07,1.41026219594747e-06,1.14036788267895e-06,1.78587373872667e-06,4.42892941260881e-07,1.59044081452836e-06,1.70901900600037e-06,4.21450125592137e-07,"v_1825",11,2.25164369990093e-05,145292.168185062
"1648",2.44656184663692e-06,2.36212846671879e-06,1.59684590995865e-06,6.72561217362706e-07,2.53847195270545e-06,2.2807357653579e-06,2.23234217340834e-06,1.32867882378264e-06,1.59044081452836e-06,2.56352850900055e-06,1.68580050236855e-06,"v_4569",47,2.61615738802846e-05,145012.010043662
"2766701",1.29318269036523e-05,1.45102177241297e-05,8.78265250477257e-06,1.04246988691219e-05,2.11539329392121e-05,9.35101663796741e-06,1.69658005179034e-05,1.24010023553047e-05,6.36176325811343e-06,1.62356805570035e-05,1.13791533909877e-05,"v_5091",153,2.91222552274448e-05,144711.290613
"596154",2.09705301140308e-05,2.59834131339067e-05,1.75653050095451e-05,1.41237855646168e-05,2.65129292838124e-05,1.48247824748264e-05,1.74122689525851e-05,1.55012529441308e-05,1.3518746923491e-05,2.26445018295048e-05,2.02296060284226e-05,"v_882",171,2.89084181313599e-05,144262.106619498
"882626",6.64066786944307e-06,6.7489384763394e-06,3.99211477489662e-06,4.37164791285759e-06,4.51283902703191e-06,3.64917722457265e-06,6.25055808554335e-06,5.31471529513057e-06,7.95220407264179e-07,4.27254751500091e-06,3.79305113032924e-06,"v_2444",66,2.80536385569208e-05,142918.643217655
"887061",1.88734771026277e-05,2.12591562004691e-05,2.31542656944004e-05,1.24423825212101e-05,2.5666771966244e-05,1.82458861228632e-05,2.05375479953567e-05,1.59441458853917e-05,1.90852897743403e-05,2.43535208355052e-05,1.39078541445405e-05,"v_1209",54,2.85233463589948e-05,142563.917959229
"2734089",1.04852650570154e-06,1.01234077145091e-06,0,0,1.12820975675798e-06,9.12294306143162e-07,0,8.85785882521762e-07,7.95220407264179e-07,8.54509503000183e-07,8.42900251184275e-07,"v_5935",13,2.25596137794121e-05,142524.596041813
"150120",3.8445971875723e-06,5.06170385725455e-06,7.98422954979325e-06,2.01768365208812e-06,7.61541585811634e-06,2.73688291842949e-06,2.23234217340834e-06,2.2144647063044e-06,7.95220407264179e-07,6.40882127250137e-06,3.3716010047371e-06,"v_2401",56,2.72828963522768e-05,140549.123462985
"1026955",0,3.3744692381697e-07,0,1.00884182604406e-06,2.82052439189494e-07,4.56147153071581e-07,0,0,0,4.27254751500091e-07,0,"v_5887",11,1.7865437524565e-05,140125.85320118
"75906",3.14557951710461e-06,3.03702231435273e-06,7.98422954979325e-07,2.35396426076947e-06,5.92310122297938e-06,2.96495649496528e-06,3.12527904277168e-06,4.42892941260881e-06,0,3.41803801200073e-06,2.10725062796069e-06,"v_5196",64,2.71451450908005e-05,139773.336451858
