"","s9OmM2TOMPOOB051285.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"215221",3.14557951710461e-06,3.3744692381697e-06,0,2.01768365208812e-06,3.66668170946342e-06,2.2807357653579e-06,2.67881060809001e-06,8.85785882521762e-07,1.59044081452836e-06,2.99078326050064e-06,2.10725062796069e-06,"v_531",53,2.67158237824263e-05,743613.955219725
"2123",1.74754417616923e-06,2.69957539053576e-06,0,6.72561217362706e-07,1.97436707432646e-06,1.14036788267895e-06,8.92936869363336e-07,8.85785882521762e-07,1.59044081452836e-06,1.28176425450027e-06,8.42900251184275e-07,"v_4720",23,2.46913580246914e-05,613075.264572449
"94122",5.94165019897538e-06,5.39915078107152e-06,2.39526886493797e-06,2.69024486945082e-06,7.05131097973735e-06,4.33339795418002e-06,4.91115278149835e-06,3.10025058882617e-06,1.59044081452836e-06,5.55431176950119e-06,2.52870075355282e-06,"v_2367",105,2.84220100045475e-05,604501.301256985
"2787706",2.09705301140308e-06,2.36212846671879e-06,0,3.36280608681353e-07,1.97436707432646e-06,9.12294306143162e-07,1.339405304045e-06,8.85785882521762e-07,0,2.13627375750046e-06,4.21450125592137e-07,"v_1782",46,2.4548311076198e-05,474134.339241085
"216946",6.99017670467692e-07,1.68723461908485e-06,0,0,1.69231463513696e-06,4.56147153071581e-07,8.92936869363336e-07,4.42892941260881e-07,0,4.27254751500091e-07,4.21450125592137e-07,"v_4778",19,2.23698633201351e-05,444154.199432537
"333962",4.89312369327384e-06,4.04936308580364e-06,3.1936918199173e-06,3.36280608681353e-06,4.51283902703191e-06,4.10532437764423e-06,2.67881060809001e-06,3.54314353008705e-06,1.59044081452836e-06,5.1270570180011e-06,1.68580050236855e-06,"v_2139",68,2.78218290070389e-05,364481.933366092
"1414737",1.04852650570154e-06,1.34978769526788e-06,0,1.00884182604406e-06,1.41026219594747e-06,2.2807357653579e-07,8.92936869363336e-07,0,0,8.54509503000183e-07,8.42900251184275e-07,"v_5565",16,2.25565605756434e-05,358456.139657557
"2564040",1.01357562217815e-05,1.48476646479467e-05,3.99211477489662e-06,6.72561217362706e-06,1.15641500067693e-05,8.43872233182425e-06,1.16081793017234e-05,1.15152164727829e-05,4.77132244358508e-06,1.53811710540033e-05,6.7432020094742e-06,"v_5137",151,2.92226767971946e-05,318168.145209973
"1699622",1.04852650570154e-06,3.03702231435273e-06,0,1.00884182604406e-06,2.82052439189494e-06,1.82458861228632e-06,8.92936869363336e-07,4.42892941260881e-07,0,8.54509503000183e-07,2.10725062796069e-06,"v_1600",20,2.44433037569358e-05,305089.851756909
"1553431",1.50288799150554e-05,1.72097931146655e-05,1.27747672796692e-05,1.04246988691219e-05,1.97436707432646e-05,9.80716379103899e-06,1.56263952138584e-05,1.15152164727829e-05,3.9761020363209e-06,2.13627375750046e-05,1.13791533909877e-05,"v_1033",171,2.94681007809047e-05,269699.006326574
"1518147",1.04852650570154e-05,1.34978769526788e-05,3.99211477489662e-06,7.06189278230841e-06,8.74362561487432e-06,7.0702808726095e-06,8.03643182427002e-06,7.52918000143497e-06,3.9761020363209e-06,8.97234978150192e-06,4.63595138151351e-06,"v_4960",161,2.9244041526539e-05,255366.20945402
"2267275",1.74754417616923e-06,3.03702231435273e-06,0,1.68140304340676e-06,4.23078658784241e-06,1.14036788267895e-06,1.78587373872667e-06,1.32867882378264e-06,7.95220407264179e-07,2.56352850900055e-06,8.42900251184275e-07,"v_314",52,2.59571706683971e-05,251284.98774979
