"","cSObM2TOMPOOM080315.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"876",6.78959802894517e-05,7.12914890404468e-05,8.96329155785656e-05,5.50651089848637e-05,8.38344102728291e-05,0.000116815029241947,4.29419019922657e-05,6.50240416705064e-05,7.58223539591375e-05,0.000103927989450865,0.000123505574117011,"v_2853",415,2.5999688003744e-05,53477.2555401313
"1297617",4.98671041673939e-05,5.41411779976978e-05,8.14222668232772e-05,4.84572959066801e-05,6.30754134433667e-05,9.16548690975275e-05,3.33992571050955e-05,4.13397880819113e-05,5.51145682139949e-05,0.00010526039957203,9.0773222506765e-05,"v_4324",413,2.67186790285088e-05,40254.469204901
"869886",8.66920426294694e-05,0.000105255830517263,0.00012840542358965,8.81041743757819e-05,9.90044464174363e-05,0.000135685149350261,5.48702081012284e-05,8.05264622012231e-05,0.000111503461704614,0.000143012019671703,0.000157925160346342,"v_5281",413,2.49488548475625e-05,51757.3979797353
"446660",4.98671041673939e-05,7.12914890404468e-05,7.48081331037393e-05,5.28625046254692e-05,6.70675282182633e-05,8.71619833574526e-05,1.82900693670761e-05,4.90909983472697e-05,6.08490319588036e-05,8.92714781180507e-05,9.95468425260062e-05,"v_3813",406,2.66205244243312e-05,41633.3234073893
"1307763",0.000125434946636445,0.000163096095210456,0.00015714269423316,0.000134358865923067,0.000150901938491092,0.000212513495505542,6.28224121738702e-05,0.000103780092997298,0.000161520728812112,0.000195864287811245,0.000232838377433709,"v_4896",404,2.36473704124101e-05,42383.031444338
"548",5.37030352571934e-05,7.29728920838536e-05,6.61413371953792e-05,5.28625046254692e-05,7.10596429931599e-05,8.26690976173778e-05,3.49896979196239e-05,4.99522439323095e-05,6.65834957036123e-05,8.83832047039407e-05,0.000106295781002346,"v_1780",403,2.66014045541605e-05,58108.0932346101
"63561",8.70756357384493e-05,9.78576571262737e-05,0.000126580834977364,7.70911525788092e-05,0.000110980790742126,0.000156801712328613,4.93036652503791e-05,7.27752519358648e-05,9.5892977065968e-05,0.000161221624660957,0.000149826434174735,"v_2849",400,2.49918776397671e-05,38239.8825526349
"152480",0.000105488104969487,0.000131485717994409,0.000126808908553899,0.000110130217969727,0.000123755558021795,0.000142424477960374,5.40749876939642e-05,0.000105071961374858,0.000120423738640983,0.000143012019671703,0.000165011545746498,"v_906",399,2.46159905474596e-05,33746.343280422
"55148",6.75123871804717e-05,8.27250297356128e-05,7.6176574562954e-05,5.28625046254692e-05,7.58501807230359e-05,0.000108278546335805,3.26040366978314e-05,5.89953225752277e-05,7.13622154909529e-05,0.00010526039957203,0.000113382166402502,"v_4676",399,2.62123197903014e-05,49121.0845535383
"897",9.05279737192689e-05,8.81055194745145e-05,0.000100124300099212,7.04833395006255e-05,9.1020216867643e-05,0.000132540129332209,3.57849183268881e-05,6.58852872555462e-05,9.52558144276559e-05,0.000117252090662514,0.000147126858784199,"v_2876",398,2.54297629946089e-05,38277.0350257029
"28232",0.000118146677565826,0.000125096386429463,0.00012840542358965,8.36989656569928e-05,0.000125352403931754,0.000172077523844868,4.29419019922657e-05,0.000115837531187856,0.000118830832045203,0.000182984323306651,0.000198081344280561,"v_2831",397,2.44349419670128e-05,37129.584497379
"5267",9.47474979180484e-05,0.000125096386429463,0.000139581028839904,0.000105725009250938,0.000120561866201878,0.000160396020920673,5.48702081012284e-05,8.82776724665815e-05,0.000117237925449423,0.000136349969065878,0.000172435378070472,"v_5535",397,2.46463252329078e-05,37597.4451591105
"182210",9.55146841360083e-05,0.000107946075386714,0.000121791289870112,8.14963612975983e-05,0.000125352403931754,0.000164888906660748,5.80510897302851e-05,7.96652166161833e-05,0.000102901766087401,0.000142567882964648,0.000153538350336721,"v_2860",396,2.49270882668196e-05,37580.2507874554
"1182571",9.97342083347878e-05,0.00012913175373364,0.000129545791472329,0.000103522404891544,0.000102996561192333,0.000160396020920673,4.69180040285866e-05,9.25839003917806e-05,0.000117875088087735,0.000147897523449308,0.000156575372651074,"v_4672",395,2.46718642060594e-05,46831.9063319096
"29542",6.59780147445519e-05,8.84418000831958e-05,7.32116180679887e-05,6.16729220630473e-05,6.6269105263284e-05,0.000128047243592134,4.21466815850015e-05,5.42584718575086e-05,7.86895858315418e-05,0.000102151442622645,0.000127554937202815,"v_2841",394,2.61260319782631e-05,61341.8993391705
"274493",0.000150752091829122,0.000158051886080236,0.000166949858024199,0.000114535426688516,0.000152498784401051,0.000214759938375579,6.91841754319836e-05,0.000132201197303612,0.000162157891450424,0.00020874425231584,0.000243636678995852,"v_5051",394,2.35637871718743e-05,42537.0236209172
