"","oAVVM2CHIPOOB051360.extra.kraken2.report","X3xfYM2CHIPOOA051365.extra.kraken2.report","jYxWM2CHIPOOB051110.extra.kraken2.report","hoQoM2CHIPOOA051115.extra.kraken2.report","j1iWM2CHIPOOBXX1561.extra.kraken2.report","eBCjM2CHIPOOBXX1180.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"76761",2.75186438812295e-05,2.22390409951612e-05,9.46264351112739e-06,1.75031983729027e-05,1.41522785168412e-05,1.32561354918446e-05,"v_1580",37,3.24706951975842e-05,22857.0614700067
"1231000",4.88234004344395e-05,3.65868093791362e-05,5.00168299873876e-05,6.40886340423206e-05,4.63165478732985e-05,3.97684064755338e-05,"v_3466",101,3.29880583228871e-05,22845.7976913872
"2583452",2.2192454742927e-06,2.15216525759625e-06,2.70361243175068e-06,2.4235197747096e-06,2.57314154851658e-06,4.86058301367635e-06,"v_4521",28,2.8434940855323e-05,22819.9562121953
"2619321",5.94757787110445e-05,4.94998009247137e-05,6.48866983620164e-05,7.86297526905782e-05,7.20479633584644e-05,5.39082843335014e-05,"v_4560",85,3.16525812680024e-05,22819.7507072964
"34062",9.32083099202936e-06,1.721732206077e-05,2.56843181016315e-05,1.77724783478704e-05,1.28657077425829e-05,1.45817490410291e-05,"v_1739",53,3.37507172027406e-05,22808.5064935163
"768670",9.32083099202936e-06,1.36303799647762e-05,8.11083729525205e-06,7.00127934916107e-06,7.71942464554975e-06,4.86058301367635e-06,"v_5183",29,3.1864385176688e-05,22805.8329545351
"2760873",3.55079275886833e-06,3.58694209599374e-06,5.40722486350137e-06,3.76991964954827e-06,6.43285387129146e-06,2.65122709836892e-06,"v_4986",16,2.87001693309991e-05,22798.0951707851
"1725",0.000187304318030304,0.000192977484764463,0.000231158862914683,0.000226195178972896,0.000164681059105061,0.000208563198405022,"v_3432",132,2.74589488714372e-05,22797.0236587057
"391595",4.21656640115614e-05,3.44346441215399e-05,5.27204424191383e-05,4.87396754691598e-05,3.47374109049739e-05,3.62334370110419e-05,"v_576",51,3.24296277078739e-05,22775.3053864883
"69713",8.43313280231228e-06,1.4347768383975e-05,1.89252870222548e-05,1.72339183979349e-05,1.92985616138744e-05,1.6349233773275e-05,"v_5042",52,3.22601458158591e-05,22771.0561782199
"863643",1.59785674149075e-05,1.79347104799687e-05,1.75734808063794e-05,2.23502379223219e-05,1.92985616138744e-05,1.19305219426601e-05,"v_4378",31,3.28904091566899e-05,22752.1265313257
"1534348",0.000107855330050625,0.000101869155526222,0.000112199915917653,0.000132485747684125,0.000102925661940663,0.000163934208915812,"v_3351",29,2.83430644521286e-05,22722.3377161505
"1630141",8.87698189717082e-06,6.45649577278874e-06,2.70361243175068e-06,6.4627193992256e-06,2.57314154851658e-06,4.86058301367635e-06,"v_2191",26,3.09991010260702e-05,22712.2069214737
"75385",0.000214822961911534,0.000220238244694016,0.000331192522889459,0.000367028605881021,0.000241875305560559,0.000268215808118323,"v_3552",192,2.60674625931912e-05,22696.5124786917
"41673",2.2192454742927e-06,0,0,1.07711989987093e-06,3.85971232277488e-06,8.83742366122974e-07,"v_5441",14,2.45380708168724e-05,22690.5529086275
"68909",0.000128272388414118,0.000119086477586992,0.000125717978076407,0.000155913105506318,9.64928080693719e-05,0.000134770710833753,"v_4551",85,2.92517404785585e-05,22686.5072778673
"59814",6.39142696596299e-05,6.24127924702912e-05,7.97565667366452e-05,8.34767922399974e-05,7.71942464554975e-05,6.45131927269771e-05,"v_2017",132,3.12949865431558e-05,22677.8019617043
"1891926",0.000117176161042655,0.00012626036177898,0.000155457714825664,0.000181494703128252,7.46211049069809e-05,0.000108700311033126,"v_4807",60,2.83736238792419e-05,22674.8381713702
