"","oAVVM2CHIPOOB051360.extra.kraken2.report","X3xfYM2CHIPOOA051365.extra.kraken2.report","jYxWM2CHIPOOB051110.extra.kraken2.report","hoQoM2CHIPOOA051115.extra.kraken2.report","j1iWM2CHIPOOBXX1561.extra.kraken2.report","eBCjM2CHIPOOBXX1180.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"680",9.32083099202936e-06,9.32604944958374e-06,9.46264351112739e-06,1.26561588234835e-05,5.14628309703317e-06,1.10467795765372e-05,"v_2556",84,3.46080636788372e-05,360503.749936858
"1354302",1.37593219406148e-05,1.21956031263787e-05,1.75734808063794e-05,1.58875185230963e-05,1.02925661940663e-05,1.41398778579676e-05,"v_2327",82,3.47475589839814e-05,251271.09875029
"33028",2.66309456915124e-06,3.58694209599374e-06,1.35180621587534e-06,4.039199624516e-06,1.28657077425829e-06,5.30245419673784e-06,"v_4028",82,3.11284046692607e-05,233963.184502154
"2500132",1.33154728457562e-06,0,1.35180621587534e-06,3.76991964954827e-06,0,1.76748473224595e-06,"v_1778",41,2.76762980183771e-05,223693.733779154
"470933",2.2192454742927e-06,1.4347768383975e-06,2.70361243175068e-06,3.2313596996128e-06,1.28657077425829e-06,3.09309828143041e-06,"v_2027",55,3.01695528872262e-05,215092.329721833
"1623295",1.77539637943416e-06,7.17388419198749e-07,1.35180621587534e-06,1.88495982477413e-06,0,1.76748473224595e-06,"v_5566",31,2.74551794195975e-05,208629.842414256
"2733155",4.43849094858541e-06,4.30433051519249e-06,5.40722486350137e-06,5.38559949935467e-06,1.28657077425829e-06,6.18619656286082e-06,"v_5585",72,3.20051208193311e-05,208570.346398451
"2627481",1.77539637943416e-06,2.869553676795e-06,0,2.4235197747096e-06,0,1.32561354918446e-06,"v_4586",43,2.74175417432073e-05,182379.563078428
"2003316",1.77539637943416e-06,1.4347768383975e-06,1.35180621587534e-06,2.4235197747096e-06,0,2.20935591530743e-06,"v_2467",62,2.87918922031556e-05,179616.081612306
"1632019",7.10158551773665e-06,5.73910735358999e-06,6.75903107937671e-06,7.80911927406427e-06,2.57314154851658e-06,4.41871183061487e-06,"v_5136",73,3.32358415315076e-05,179481.825493918
"129958",8.87698189717082e-06,8.60866103038499e-06,1.08144497270027e-05,1.13097589486448e-05,7.71942464554975e-06,1.7232976139398e-05,"v_4457",74,3.42700479780672e-05,178397.480154198
"529709",3.10694366400979e-06,2.869553676795e-06,1.35180621587534e-06,6.73199937419334e-06,2.57314154851658e-06,3.53496946449189e-06,"v_5353",65,3.11264668347496e-05,177010.425971119
"2614679",1.68662656046246e-05,1.29129915455775e-05,1.75734808063794e-05,2.18116779723864e-05,7.71942464554975e-06,2.47447862514433e-05,"v_3884",68,3.4408010184771e-05,175779.218546796
"1809",1.37593219406148e-05,1.21956031263787e-05,2.02770932381301e-05,1.48103986232253e-05,1.15791369683246e-05,1.28142643087831e-05,"v_3385",81,3.46800762961678e-05,162338.876224259
"1629",4.43849094858541e-07,7.17388419198749e-07,0,2.96207972464507e-06,0,1.76748473224595e-06,"v_4113",48,2.63622703187198e-05,161112.222804468
"187452",1.33154728457562e-06,7.17388419198749e-07,0,1.07711989987093e-06,0,8.83742366122974e-07,"v_4170",39,2.47316614730178e-05,159196.888208533
"1679444",4.97110986241566e-05,4.87824125055149e-05,5.81276672826397e-05,6.30115141424496e-05,4.76031186475568e-05,5.30245419673784e-05,"v_4834",148,3.3160896670646e-05,158822.50013576
"444923",8.87698189717082e-07,7.17388419198749e-07,0,2.15423979974187e-06,0,1.76748473224595e-06,"v_193",56,2.62171302729203e-05,158069.224143243
"54262",2.2192454742927e-06,7.17388419198749e-07,0,2.15423979974187e-06,0,8.83742366122974e-07,"v_5351",36,2.60409885159241e-05,156904.197000073
"759620",2.2192454742927e-06,2.15216525759625e-06,0,4.30847959948374e-06,0,2.65122709836892e-06,"v_4116",64,2.89234685023428e-05,156609.515631923
"374162",4.88234004344395e-06,4.30433051519249e-06,4.05541864762603e-06,1.07711989987093e-05,3.85971232277488e-06,8.83742366122974e-06,"v_4596",70,3.30261897684864e-05,150778.525021136
"981385",3.7727173062976e-05,3.15650904447449e-05,3.92023802603849e-05,4.039199624516e-05,1.80119908396161e-05,2.38610438853203e-05,"v_5025",133,3.45984845863751e-05,147427.395177759
"1224145",1.33154728457562e-06,1.4347768383975e-06,0,1.88495982477413e-06,0,1.32561354918446e-06,"v_2094",47,2.63601855757065e-05,146283.350926946
"375929",3.10694366400979e-06,5.73910735358999e-06,5.40722486350137e-06,7.80911927406427e-06,1.28657077425829e-06,8.83742366122974e-06,"v_4486",85,3.27653997378768e-05,145582.297632401
"1918945",4.88234004344395e-06,5.73910735358999e-06,4.05541864762603e-06,8.88623917393521e-06,1.28657077425829e-06,6.18619656286082e-06,"v_2595",84,3.29348219872872e-05,145167.857748874
"39483",1.77539637943416e-06,1.4347768383975e-06,0,3.50063967458054e-06,1.28657077425829e-06,2.65122709836892e-06,"v_4520",64,2.87422395953093e-05,132696.368460132
"1408159",2.57432475017954e-05,2.79781483487512e-05,3.51469616127589e-05,2.98900772214184e-05,1.41522785168412e-05,2.16516879700129e-05,"v_5104",117,3.46392323946101e-05,130406.465945457
"508451",1.33154728457562e-06,7.17388419198749e-07,0,2.15423979974187e-06,0,1.32561354918446e-06,"v_4087",45,2.60132147130742e-05,130309.872184921
"290633",2.57432475017954e-05,2.15216525759625e-05,3.51469616127589e-05,4.09305561950955e-05,2.31582739366493e-05,3.18147251804271e-05,"v_678",102,3.43123799066703e-05,128750.864438828
"880158",2.2192454742927e-06,3.58694209599374e-06,1.35180621587534e-06,3.2313596996128e-06,0,3.97684064755338e-06,"v_5970",63,3.00643376826409e-05,128594.138225402
"1930071",1.77539637943416e-05,1.36303799647762e-05,2.43325118857562e-05,2.45044777220638e-05,1.15791369683246e-05,1.36980066749061e-05,"v_4496",92,3.49430428401705e-05,127533.022657363
"1936021",1.90855110789173e-05,2.22390409951612e-05,1.62216745905041e-05,2.47737576970315e-05,7.71942464554975e-06,2.03260744208284e-05,"v_5145",59,3.46668515565416e-05,124568.528540316
"10365",3.10694366400979e-06,2.15216525759625e-06,1.35180621587534e-06,6.4627193992256e-06,1.28657077425829e-06,6.18619656286082e-06,"v_5934",89,3.12480469970627e-05,123843.845307352
"241368",4.12779658218443e-05,3.01303136063475e-05,5.00168299873876e-05,6.00494344178046e-05,3.47374109049739e-05,5.03733148690095e-05,"v_2801",107,3.32148669744578e-05,122460.520226323
"1303",5.77003823316103e-06,5.02171893439124e-06,4.05541864762603e-06,7.53983929909654e-06,3.85971232277488e-06,7.06993892898379e-06,"v_4191",70,3.30644094696469e-05,121077.881363078
"93378",2.26363038377856e-05,2.36738178335587e-05,4.05541864762603e-05,2.55815976219347e-05,1.28657077425829e-05,2.43029150683818e-05,"v_2113",108,3.45268100680178e-05,120125.309062765
"2004647",8.87698189717082e-07,0,0,1.6156798498064e-06,0,1.32561354918446e-06,"v_1681",38,2.49233606659522e-05,119123.156854639
"79601",8.87698189717082e-07,0,0,1.6156798498064e-06,0,1.32561354918446e-06,"v_5444",38,2.49233606659522e-05,119123.156854639
"2683645",1.10962273714635e-05,9.32604944958374e-06,8.11083729525205e-06,1.15790389236125e-05,7.71942464554975e-06,1.36980066749061e-05,"v_4671",65,3.42630028095662e-05,118431.623294006
"2321114",4.43849094858541e-06,7.17388419198749e-06,8.11083729525205e-06,1.13097589486448e-05,2.57314154851658e-06,1.10467795765372e-05,"v_2899",76,3.36791054829584e-05,118365.596994875
"2518495",2.48555493120783e-05,2.43912062527575e-05,2.97397367492575e-05,3.60835166456763e-05,2.31582739366493e-05,3.22565963634885e-05,"v_4973",96,3.42547871064981e-05,118131.411273371
"161895",1.6422416509766e-05,1.721732206077e-05,1.75734808063794e-05,2.61201575718702e-05,1.02925661940663e-05,2.51866574345047e-05,"v_3493",81,3.47487664187921e-05,117131.345003737
"2301302",4.43849094858541e-07,7.17388419198749e-07,0,1.34639987483867e-06,0,8.83742366122974e-07,"v_5557",53,2.38543927864316e-05,116827.699829619
"227945",8.87698189717082e-07,7.17388419198749e-07,0,2.15423979974187e-06,1.28657077425829e-06,1.32561354918446e-06,"v_4085",37,2.56647161482394e-05,116600.126041956
"84030",1.59785674149075e-05,1.50651568031737e-05,1.62216745905041e-05,2.31580778472251e-05,1.28657077425829e-05,1.67911049563365e-05,"v_4392",68,3.46464331497072e-05,116165.733538142
"2594042",1.77539637943416e-06,1.4347768383975e-06,4.05541864762603e-06,3.76991964954827e-06,0,4.41871183061487e-06,"v_5481",59,2.98302657876682e-05,115778.744640229
"79885",1.15400764663221e-05,1.29129915455775e-05,2.97397367492575e-05,1.64260784730317e-05,9.00599541980804e-06,3.4465952278796e-05,"v_3845",52,3.4146008331626e-05,114768.376796508
"1932004",3.46202293989662e-05,3.01303136063475e-05,4.7313217555637e-05,4.20076760949664e-05,2.05851323881327e-05,3.71171793771649e-05,"v_5245",103,3.40124485561716e-05,112865.40599152
"5690",1.77539637943416e-05,1.29129915455775e-05,1.48698683746288e-05,3.04286371713539e-05,1.15791369683246e-05,1.7232976139398e-05,"v_5211",69,3.48930527931889e-05,111850.919702241
"33070",7.98928370745374e-06,9.32604944958374e-06,1.21662559428781e-05,1.26561588234835e-05,3.85971232277488e-06,1.14886507595987e-05,"v_4574",82,3.42665250316965e-05,111733.951911687
"1163748",1.46470201303318e-05,2.08042641567637e-05,2.02770932381301e-05,1.58875185230963e-05,5.14628309703317e-06,8.83742366122974e-06,"v_2372",97,3.42583076396026e-05,109783.665546718
"1615494",2.04170583634929e-05,1.64999336415712e-05,2.56843181016315e-05,2.80051173966443e-05,1.54388492910995e-05,2.03260744208284e-05,"v_2041",103,3.47186057007951e-05,109288.573179592
"218936",6.83527606082153e-05,6.02606272126949e-05,7.84047605207698e-05,8.37460722149651e-05,4.88896894218151e-05,5.83269961641163e-05,"v_2347",166,3.26776027710607e-05,108682.593187272
"60480",1.77539637943416e-06,1.4347768383975e-06,0,2.96207972464507e-06,2.57314154851658e-06,2.20935591530743e-06,"v_2422",28,2.7695460713989e-05,108232.391541072
"43771",4.26095131064199e-05,4.08911398943287e-05,5.67758610667644e-05,7.62062329158686e-05,4.63165478732985e-05,5.70013826149318e-05,"v_3459",129,3.25234982274693e-05,107491.97055043
"626937",2.79624929760881e-05,3.08477020255462e-05,3.24433491810082e-05,3.60835166456763e-05,2.05851323881327e-05,2.56285286175662e-05,"v_4432",125,3.45793423009094e-05,106752.396604586
"1457195",3.99464185372687e-06,5.73910735358999e-06,4.05541864762603e-06,4.30847959948374e-06,1.28657077425829e-06,8.83742366122974e-07,"v_1042",38,3.05418117402724e-05,106009.07389324
"1652495",5.77003823316103e-06,1.147821470718e-05,5.40722486350137e-06,7.53983929909654e-06,5.14628309703317e-06,3.97684064755338e-06,"v_3504",33,3.2394959344326e-05,105636.616073807
"1815583",2.39678511223612e-05,1.64999336415712e-05,2.16288994540055e-05,2.9351517271483e-05,1.54388492910995e-05,1.8116718505521e-05,"v_1251",90,3.45494748479823e-05,105523.297941058
"673860",1.33154728457562e-06,2.15216525759625e-06,1.35180621587534e-06,2.4235197747096e-06,0,2.65122709836892e-06,"v_5479",55,2.87166527869512e-05,104778.25074946
"65058",2.08609074583514e-05,2.295642941436e-05,1.89252870222548e-05,2.50430376719992e-05,1.54388492910995e-05,2.29773015191973e-05,"v_3483",62,3.40136054421769e-05,102694.497696006
"930805",6.12511750904786e-05,4.73476356671174e-05,7.16457294413931e-05,5.7625914643095e-05,3.0877698582199e-05,3.269846754655e-05,"v_2316",72,3.21988601603503e-05,102584.21186249
"1840265",6.65773642287811e-06,5.02171893439124e-06,4.05541864762603e-06,7.00127934916107e-06,1.28657077425829e-06,5.74432537979933e-06,"v_899",81,3.28331746396559e-05,102445.614864507
"948519",1.02085291817464e-05,7.89127261118624e-06,9.46264351112739e-06,1.10404789736771e-05,6.43285387129146e-06,7.51181011204528e-06,"v_2351",66,3.43701666953085e-05,101865.87606147
"670052",9.94221972483132e-05,0.000118369089167794,0.000123014365644656,0.00016156798498064,0.000115791369683246,0.000126817029538647,"v_3030",119,2.92226767971946e-05,101513.674480314
"1674923",4.43849094858541e-07,7.17388419198749e-07,0,2.4235197747096e-06,1.28657077425829e-06,2.20935591530743e-06,"v_5329",37,2.67401128432762e-05,100827.374770229
"1874277",1.46470201303318e-05,1.79347104799687e-05,2.02770932381301e-05,2.23502379223219e-05,1.67254200653578e-05,2.47447862514433e-05,"v_5420",60,3.41821910784481e-05,100515.930664403
"1573720",1.02085291817464e-05,1.21956031263787e-05,9.46264351112739e-06,1.26561588234835e-05,3.85971232277488e-06,9.27929484429122e-06,"v_1502",68,3.45232341365739e-05,100092.73999615
"82135",3.55079275886833e-06,5.02171893439124e-06,2.70361243175068e-06,4.57775957445147e-06,3.85971232277488e-06,1.76748473224595e-06,"v_3709",13,2.9556941447699e-05,100054.255995103
"2733484",6.21388732801957e-06,1.147821470718e-05,2.02770932381301e-05,1.72339183979349e-05,1.02925661940663e-05,1.45817490410291e-05,"v_2220",60,3.42079157116957e-05,99109.331635678
"1709477",5.77003823316103e-06,7.89127261118624e-06,1.08144497270027e-05,1.05019190237416e-05,3.85971232277488e-06,9.72116602735271e-06,"v_2462",76,3.36564351103931e-05,99082.6695334384
"1804624",0.000168662656046246,0.000208760029986836,0.000216288994540055,0.000266587175218056,0.000205851323881327,0.000241261665951572,"v_3541",59,2.61615738802846e-05,97886.1161240756
"417367",1.37593219406148e-05,1.21956031263787e-05,2.29807056698808e-05,1.42718386732899e-05,9.00599541980804e-06,3.66753081941034e-05,"v_3927",58,3.41611724114372e-05,97769.7214169916
"1656",5.45934386676005e-05,5.02171893439124e-05,5.5424054850889e-05,8.21303923651587e-05,5.274940174459e-05,6.89319045575919e-05,"v_3682",127,3.25383138645755e-05,97301.743592072
"693661",2.2192454742927e-06,2.869553676795e-06,1.35180621587534e-06,4.57775957445147e-06,1.28657077425829e-06,4.41871183061487e-06,"v_5390",89,3.06795520785397e-05,96726.9610339934
"669",4.43849094858541e-06,5.73910735358999e-06,4.05541864762603e-06,6.19343942425787e-06,3.85971232277488e-06,7.51181011204528e-06,"v_2560",90,3.30600370272415e-05,96410.6207696977
"85620",8.87698189717082e-07,1.4347768383975e-06,0,2.15423979974187e-06,0,1.76748473224595e-06,"v_4759",54,2.6291573550677e-05,95173.7161857415
"1313",3.10694366400979e-06,2.869553676795e-06,0,6.4627193992256e-06,1.28657077425829e-06,5.74432537979933e-06,"v_4195",76,3.11012969240817e-05,94631.2943449629
"1160721",4.43849094858541e-06,2.869553676795e-06,1.35180621587534e-06,4.57775957445147e-06,1.28657077425829e-06,3.09309828143041e-06,"v_4306",75,3.10164076796625e-05,94142.772341913
"824",1.68662656046246e-05,1.79347104799687e-05,2.02770932381301e-05,2.12731180224509e-05,1.67254200653578e-05,1.98842032377669e-05,"v_2865",93,3.49162011173184e-05,93774.5793025922
"45663",3.2844833019532e-05,2.08042641567637e-05,3.92023802603849e-05,4.22769560699342e-05,1.92985616138744e-05,2.96053692651196e-05,"v_2818",93,3.43666231356107e-05,93584.2989987914
"1814290",1.90855110789173e-05,2.295642941436e-05,2.43325118857562e-05,3.36599968709667e-05,1.54388492910995e-05,1.7232976139398e-05,"v_2184",112,3.46800762961678e-05,92441.4311549399
"564",7.98928370745374e-06,1.00434378687825e-05,8.11083729525205e-06,1.26561588234835e-05,3.85971232277488e-06,6.18619656286082e-06,"v_1885",65,3.38478202003791e-05,91805.714978276
"2527971",4.30533622012785e-05,3.94563630559312e-05,4.7313217555637e-05,6.9743513516643e-05,2.83045570336824e-05,4.15358912077798e-05,"v_4800",137,3.36168353111238e-05,91147.3503073124
"2054915",1.95293601737758e-05,1.29129915455775e-05,8.11083729525205e-06,1.29254387984512e-05,5.14628309703317e-06,5.74432537979933e-06,"v_1495",55,3.37586928634123e-05,90742.9386809508
"323261",1.46470201303318e-05,1.57825452223725e-05,2.16288994540055e-05,2.36966377971605e-05,7.71942464554975e-06,1.8116718505521e-05,"v_2185",96,3.48007656168436e-05,90476.1872354725
"1912897",3.55079275886833e-06,1.4347768383975e-06,2.70361243175068e-06,5.6548794743224e-06,1.28657077425829e-06,3.09309828143041e-06,"v_4389",53,3.10308446595916e-05,90421.8857814985
"204",2.130475655321e-05,1.79347104799687e-05,1.89252870222548e-05,2.23502379223219e-05,1.28657077425829e-05,1.36980066749061e-05,"v_2864",84,3.49699258637572e-05,89955.3702431
"2073078",2.88501911658052e-05,4.73476356671174e-05,3.10915429651329e-05,3.6352796620644e-05,2.44448447109075e-05,2.87216268989966e-05,"v_1470",102,3.41775180286408e-05,89954.9207470133
"1229908",7.98928370745374e-06,7.17388419198749e-06,8.11083729525205e-06,8.88623917393521e-06,2.57314154851658e-06,1.32561354918446e-05,"v_5406",75,3.36417157275021e-05,89791.0105278297
"1965282",2.57432475017954e-05,2.43912062527575e-05,3.37951553968835e-05,3.04286371713539e-05,1.80119908396161e-05,1.8116718505521e-05,"v_2430",102,3.42841470104224e-05,89268.6000532083
"84599",8.87698189717082e-07,7.17388419198749e-07,0,2.15423979974187e-06,0,1.32561354918446e-06,"v_5462",43,2.54084406839952e-05,88602.3493642694
"69527",3.41763803041076e-05,3.22824788639437e-05,3.78505740445096e-05,5.43945549434822e-05,2.95911278079407e-05,3.93265352924723e-05,"v_5273",103,3.35322915968077e-05,88293.530749293
"146786",1.10962273714635e-05,1.147821470718e-05,1.21662559428781e-05,1.26561588234835e-05,5.14628309703317e-06,7.51181011204528e-06,"v_4578",88,3.44044588178628e-05,87559.0910790636
"120683",3.55079275886833e-06,2.15216525759625e-06,2.70361243175068e-06,4.30847959948374e-06,1.28657077425829e-06,3.09309828143041e-06,"v_5039",64,3.08622924510833e-05,87407.0112825475
"1531",1.33154728457562e-06,7.17388419198749e-07,2.70361243175068e-06,3.76991964954827e-06,0,1.76748473224595e-06,"v_4400",46,2.84884052190758e-05,86944.9012640054
"29495",1.10962273714635e-05,1.147821470718e-05,1.08144497270027e-05,1.69646384229672e-05,9.00599541980804e-06,1.32561354918446e-05,"v_2583",59,3.40622658219225e-05,86942.062520179
"1308",4.88234004344395e-06,2.869553676795e-06,2.70361243175068e-06,5.6548794743224e-06,1.28657077425829e-06,5.74432537979933e-06,"v_4197",83,3.15218761820704e-05,86935.9853068765
"2107709",8.87698189717082e-06,6.45649577278874e-06,5.40722486350137e-06,9.96335907380614e-06,2.57314154851658e-06,8.83742366122974e-06,"v_5952",74,3.32911645249351e-05,86867.2962302566
"1655",4.03902676321272e-05,3.87389746367324e-05,5.40722486350137e-05,5.60102347932886e-05,4.63165478732985e-05,5.47920266996244e-05,"v_3686",119,3.25256139209628e-05,86513.8949775973
"2713256",0,0,0,8.07839924903201e-07,0,8.83742366122974e-07,"v_5747",64,2.12417953565435e-05,86006.3581848444
"2675099",6.74650624184982e-05,4.94998009247137e-05,6.75903107937671e-05,9.53251111385777e-05,4.37434063247819e-05,6.7164419825346e-05,"v_5268",154,3.27761389708292e-05,85673.5138972926
"407035",9.32083099202936e-06,1.147821470718e-05,1.08144497270027e-05,9.96335907380614e-06,5.14628309703317e-06,1.41398778579676e-05,"v_4060",43,3.36044088984475e-05,85405.9808619773
"2560688",4.43849094858541e-07,0,0,1.34639987483867e-06,0,1.32561354918446e-06,"v_5612",55,2.35200037632006e-05,85404.6732026585
"1603886",2.75186438812295e-05,2.79781483487512e-05,3.78505740445096e-05,4.17383961199987e-05,2.1871703162391e-05,4.15358912077798e-05,"v_3731",82,3.3963930306015e-05,85401.2000763854
"1510841",3.59517766835418e-05,3.37172557023412e-05,3.78505740445096e-05,4.1469116145031e-05,3.60239816792322e-05,3.75590505602264e-05,"v_689",98,3.33444481493831e-05,85278.132639817
"33943",2.48555493120783e-05,2.295642941436e-05,4.05541864762603e-05,3.17750370461926e-05,2.44448447109075e-05,3.18147251804271e-05,"v_4009",73,3.39109498457052e-05,84966.3805262961
"1085623",2.66309456915124e-06,3.58694209599374e-06,2.70361243175068e-06,7.80911927406427e-06,1.28657077425829e-06,6.18619656286082e-06,"v_2397",62,3.17107975265578e-05,84814.1459426126
"1933880",5.37057404778834e-05,4.23259167327262e-05,5.5424054850889e-05,6.40886340423206e-05,3.21642693564573e-05,5.30245419673784e-05,"v_3082",45,3.1930519190242e-05,84660.0767291656
"33995",3.63956257784004e-05,3.80215862175337e-05,4.86650237715123e-05,4.9547515394063e-05,3.34508401307156e-05,3.57915658279804e-05,"v_656",133,3.36337952374546e-05,84650.4388476124
"34346",6.21388732801957e-06,5.02171893439124e-06,2.70361243175068e-06,1.42718386732899e-05,1.15791369683246e-05,9.72116602735271e-06,"v_5196",39,3.18603243381018e-05,84528.2456161578
"1608473",1.77539637943416e-06,2.15216525759625e-06,0,2.69279974967734e-06,1.28657077425829e-06,4.41871183061487e-07,"v_1684",20,2.63054057608839e-05,84378.98168536
"2781022",0.000143363257639309,7.89127261118624e-05,8.92192102477726e-05,8.75159918645134e-05,7.20479633584644e-05,4.9931443685948e-05,"v_1324",48,2.90461252468921e-05,84355.5313641224
"2785912",1.37593219406148e-05,1.36303799647762e-05,1.21662559428781e-05,1.37332787233544e-05,7.71942464554975e-06,1.06049083934757e-05,"v_515",67,3.41833595405757e-05,84256.792195477
"1497",4.88234004344395e-06,1.4347768383975e-06,4.05541864762603e-06,5.38559949935467e-06,1.28657077425829e-06,8.83742366122974e-06,"v_4335",63,3.2032801588827e-05,84192.2086861286
"1968541",7.14597042722251e-05,6.09780156318937e-05,0.000100033659974775,8.37460722149651e-05,5.91822556158814e-05,5.65595114318703e-05,"v_509",70,3.07739652254193e-05,83821.8465922893
"1340",8.87698189717082e-07,2.869553676795e-06,1.35180621587534e-06,2.69279974967734e-06,0,2.65122709836892e-06,"v_4216",29,2.83494925440835e-05,83320.7441049895
"2527973",4.3497211296137e-05,4.80650240863162e-05,5.40722486350137e-05,5.49331148934176e-05,2.1871703162391e-05,4.06521488416568e-05,"v_4799",128,3.35176805765041e-05,82893.3717653735
"115561",5.37057404778834e-05,6.38475693086887e-05,8.11083729525205e-05,8.05147125153523e-05,3.0877698582199e-05,5.21407996012554e-05,"v_2232",122,3.27011118378025e-05,82367.3838623007
"82977",1.50908692251904e-05,2.08042641567637e-05,1.08144497270027e-05,1.64260784730317e-05,7.71942464554975e-06,9.27929484429122e-06,"v_1911",77,3.44317047137004e-05,82309.2240155112
"258224",1.68662656046246e-05,1.147821470718e-05,1.75734808063794e-05,1.83110382978059e-05,1.41522785168412e-05,1.59073625902135e-05,"v_3494",66,3.46921075455334e-05,81965.623620252
"1474",3.55079275886833e-06,3.58694209599374e-06,5.40722486350137e-06,6.4627193992256e-06,1.28657077425829e-06,1.45817490410291e-05,"v_3923",77,3.29315682012777e-05,81877.5470257717
"95641",1.99732092686343e-05,1.64999336415712e-05,2.02770932381301e-05,2.26195178972896e-05,1.15791369683246e-05,1.50236202240906e-05,"v_2547",102,3.48274300839341e-05,81645.1909078389
"2587865",8.87698189717082e-06,9.32604944958374e-06,4.05541864762603e-06,5.6548794743224e-06,2.57314154851658e-06,4.86058301367635e-06,"v_2571",65,3.27011118378025e-05,81219.067711966
"1306274",1.02085291817464e-05,1.00434378687825e-05,9.46264351112739e-06,1.26561588234835e-05,1.28657077425829e-06,1.41398778579676e-05,"v_4594",71,3.3963930306015e-05,81184.9530818791
"265606",7.14597042722251e-05,6.52823461470861e-05,9.86818537588999e-05,0.000100172150687997,4.37434063247819e-05,7.37924875712683e-05,"v_4787",89,3.14297388188704e-05,80968.1931561953
"60847",3.90587203475516e-05,4.66302472479187e-05,4.86650237715123e-05,5.89723145179336e-05,3.98836940020071e-05,5.30245419673784e-05,"v_5235",111,3.31169691349848e-05,80529.7260685746
"1294",4.43849094858541e-07,2.869553676795e-06,0,4.8470395494192e-06,1.28657077425829e-06,4.41871183061487e-06,"v_4032",44,2.93625392723963e-05,80497.964837839
"1536648",3.41763803041076e-05,3.22824788639437e-05,3.92023802603849e-05,4.1469116145031e-05,2.1871703162391e-05,3.49078234618575e-05,"v_4664",114,3.42266488688093e-05,80244.9723574869
"2358187",1.77539637943416e-06,1.4347768383975e-06,1.35180621587534e-06,2.96207972464507e-06,0,3.97684064755338e-06,"v_2379",78,2.89636795458495e-05,80176.347059743
"155866",3.10694366400979e-06,4.30433051519249e-06,2.70361243175068e-06,4.039199624516e-06,2.57314154851658e-06,3.09309828143041e-06,"v_4111",67,3.10877607485933e-05,79657.252667031
"1624",3.55079275886833e-06,7.17388419198749e-06,2.70361243175068e-06,7.27055932412881e-06,0,6.18619656286082e-06,"v_4148",73,3.23457109587269e-05,79208.5387918347
"119981",0.000128716237508977,0.000141325518582154,0.000154105908609789,0.000194958701876639,0.000144095926716929,0.000167027307197242,"v_3565",163,2.84010224368077e-05,78770.2229892307
"156976",3.50640784938247e-05,2.94129251871487e-05,3.51469616127589e-05,4.25462360449019e-05,2.57314154851658e-05,2.56285286175662e-05,"v_3475",116,3.43159122885282e-05,78379.7499051734
"483547",9.54275553945863e-05,9.97169902686261e-05,0.000120310753212905,0.000122522388610319,7.07613925842061e-05,8.04205553171906e-05,"v_2828",154,3.08727733012257e-05,78219.8794524173
"938155",8.87698189717082e-07,0,1.35180621587534e-06,1.88495982477413e-06,0,3.09309828143041e-06,"v_4139",46,2.68189985785931e-05,78036.6298601685
"2613965",0.000120283104706665,0.000111912593395005,0.00015951313347329,0.000164260784730317,0.000108071945037697,0.000120630832975786,"v_573",48,2.83398514991781e-05,77430.9459102419
"1336806",3.37325312092491e-05,3.51520325407387e-05,3.92023802603849e-05,3.58142366707086e-05,3.34508401307156e-05,3.4465952278796e-05,"v_2286",97,3.38707492209728e-05,77071.2703266752
"28091",1.24277746560391e-05,1.29129915455775e-05,2.56843181016315e-05,2.07345580725155e-05,1.02925661940663e-05,1.32561354918446e-05,"v_1259",87,3.45685840707965e-05,76970.6186612735
"715451",1.77539637943416e-06,2.15216525759625e-06,1.35180621587534e-06,2.96207972464507e-06,2.57314154851658e-06,8.83742366122974e-07,"v_2389",14,2.75065328015404e-05,76807.0384882136
"19",5.94757787110445e-05,6.67171229854836e-05,5.9479473498515e-05,7.00127934916107e-05,4.11702647762653e-05,6.31875791777926e-05,"v_2833",90,3.22955690479266e-05,76555.409446292
"1744",0.000149577144967328,0.000164999336415712,0.000202770932381301,0.000191188782227091,0.000159534776008028,0.000173655374943164,"v_3564",152,2.80867318278845e-05,76354.3266007424
"111769",1.50908692251904e-05,1.93694873183662e-05,1.89252870222548e-05,1.56182385481285e-05,1.15791369683246e-05,9.72116602735271e-06,"v_2685",72,3.41227052480721e-05,76155.6479052281
"1941349",4.88234004344395e-06,8.60866103038499e-06,9.46264351112739e-06,1.40025586983221e-05,3.85971232277488e-06,1.50236202240906e-05,"v_4819",65,3.38009126246409e-05,76080.5413484037
"57706",2.66309456915124e-06,4.30433051519249e-06,1.35180621587534e-06,2.15423979974187e-06,0,8.83742366122974e-07,"v_1816",36,2.84892168314293e-05,75829.9311073967
"2724191",8.87698189717082e-06,8.60866103038499e-06,4.05541864762603e-06,9.15551914890294e-06,7.71942464554975e-06,1.01630372104142e-05,"v_2508",66,3.30283713710077e-05,75764.9779675326
"1653476",5.77003823316103e-06,4.30433051519249e-06,2.70361243175068e-06,5.38559949935467e-06,0,3.09309828143041e-06,"v_5150",59,3.10877607485933e-05,75742.347373793
"31909",3.10694366400979e-06,3.58694209599374e-06,1.08144497270027e-05,8.34767922399974e-06,2.57314154851658e-06,4.86058301367635e-06,"v_4478",60,3.24517280545189e-05,75707.8960000723
"2629304",4.61603058652882e-05,4.23259167327262e-05,6.21830859302657e-05,7.35134331661913e-05,4.24568355505236e-05,5.65595114318703e-05,"v_4297",134,3.29750049462507e-05,75222.6545126859
