"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7"
"1188315","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__sp. AgN23"
"2782004","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__sp. XC 2026"
"1477518","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter","s__sp. D5-1"
"2020486","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Micrococcales","f__Micrococcaceae","g__Arthrobacter","s__sp. YN"
"2772401","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Micrococcales","f__Micrococcaceae","g__Pseudarthrobacter","s__sp. BIM B-2242"
"2590785","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Micrococcales","f__Micrococcaceae","g__Pseudarthrobacter","s__sp. NIBRBAC000502770"
"2735317","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Micrococcales","f__Micrococcaceae","g__Paenarthrobacter","s__sp. YJN-D"
"29404","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Propionibacteriales","f__Propionibacteriaceae","g__Microlunatus","s__"
"1033997","k__Archaea","p__Thaumarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__","s__"
"2711329","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Micrococcales","f__Micrococcaceae","g__Kocuria","s__sp. TGY1120_3"
"1547487","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycobacterium","s__sp. ELW1"
"168694","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Micromonosporales","f__Micromonosporaceae","g__Salinispora","s__"
"332160","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Bryobacterales","f__","g__","s__"
