"","auc5_percent_deg","f_stat_deg","var_deg"
"1",38,-0.417464255502901,NA
"2",80,-0.641790257801489,0.025161077653633
"3",124,-0.557687041802066,0.0128429893410355
"4",170,-0.506904115150925,0.00881921680487288
"5",219,-0.60798990215456,0.00780109009130764
"6",270,-0.66921023518081,0.00875594412353395
"7",323,-0.64806765630937,0.00823915937504982
"8",380,-0.685009945439222,0.00848165340297056
"9",440,-0.735905203144275,0.00972992176169547
"10",505,-0.782934148498264,0.0117166833949342
"11",574,-0.805207184794871,0.0134875546070766
"12",651,-0.870348639549564,0.016619933142352
"13",737,-0.922332444175636,0.0205000437123938
"14",839,-0.967598632826621,0.0247969427215719
"15",962,-1.03354278040482,0.0303839602380038
"16",1117,-1.15400607123537,0.039943651183386
"17",1324,-1.36164139744166,0.0594263919365585
"18",1615,-1.52857550327073,0.0865377093323341
"19",2115,-1.6757102164291,0.119590376095596
"20",5061,-1.67220676334269,0.145296157869088
