"","auc5_percent_close","f_stat_close","var_close"
"1",22,0.397519998849335,NA
"2",44,0.793738886719345,0.0784947035524737
"3",66,0.721179929418513,0.0445016600075961
"4",88,0.451150560535642,0.0383474015407499
"5",110,0.135483697235341,0.0702408690657289
"6",132,-1.89818033421111,1.01458932430119
"7",154,-1.78791438684715,1.35474575484886
"8",176,-1.78263609098681,1.48645660050945
"9",198,-1.78330309448301,1.5222067216729
"10",220,-1.7868124966392,1.51150665480613
"11",242,-1.79236199478412,1.47816686551571
"12",264,-1.79357385656721,1.43324787070398
"13",286,-1.79420081750437,1.38329088811377
"14",308,-1.79491691185533,1.33194713466069
"15",330,-1.79648114334276,1.28129105254024
"16",352,-1.79711939804247,1.23226028214435
"17",385,-1.83699971783148,1.18879470761769
"18",436,-1.85366908165484,1.14826610380315
"19",501,-1.85563152112371,1.10945995072283
"20",5061,-1.67220676334269,1.06208068307622
