"","s9OmM2TOMPOOB051285.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2493093",5.48728871317138e-05,5.77034239727019e-05,6.54706823083046e-05,5.31323361716538e-05,8.09490500473848e-05,5.51938055216613e-05,5.53620859005268e-05,7.30773353080453e-05,2.06757305888687e-05,8.50236955485182e-05,5.8160117331715e-05,"v_16",53,2.56831723854531e-05,3296.63469552881
"431944",7.40958730695753e-05,8.70613063447783e-05,7.66486036780152e-05,8.64241164311077e-05,8.51798366352272e-05,6.22640863942708e-05,9.15260291097419e-05,7.17486564842627e-05,4.61227836213224e-05,8.97234978150192e-05,7.3753771978624e-05,"v_498",85,2.50601443464314e-05,2496.35285439047
"634177",4.40381132394646e-05,5.77034239727019e-05,4.71069543437802e-05,5.24597749542911e-05,5.38720158851934e-05,4.44743474244791e-05,4.10750959907135e-05,4.96040094212186e-05,3.65801387341523e-05,5.51158629435118e-05,4.50951634383587e-05,"v_528",62,2.64019431830183e-05,4241.51167054911
"33995",4.57856574156338e-05,4.11685247056704e-05,6.22769904883873e-05,3.90085506070369e-05,4.03334988040977e-05,4.19655380825854e-05,3.92892222519868e-05,3.45456494183487e-05,2.38566122179254e-05,4.01619466410086e-05,3.45589102985553e-05,"v_530",67,2.60382762661112e-05,976.002801642419
"2558360",4.50866397451661e-05,5.73659770488849e-05,5.82848757134907e-05,5.07783719108843e-05,5.95130646689833e-05,4.65270096133013e-05,6.38449861594785e-05,4.60608658911316e-05,3.81705795486806e-05,6.10974294645131e-05,5.520996645257e-05,"v_563",54,2.56713046157006e-05,1022.26265029493
"2587846",5.87174843192861e-05,5.16293793439964e-05,4.63085313888008e-05,5.34686167803351e-05,5.21797012500564e-05,4.40182002714076e-05,5.49156174658452e-05,4.51750800086098e-05,4.37371223995299e-05,6.87880149915147e-05,4.50951634383587e-05,"v_614",56,2.61663657534605e-05,2962.76276315278
"92947",7.72414525866799e-05,9.34727978973007e-05,8.46328332278084e-05,8.17161879095688e-05,9.19490951757751e-05,7.27554709149172e-05,8.52754710241986e-05,6.86484058954365e-05,6.04367509520776e-05,8.16056575365175e-05,7.9654073736914e-05,"v_669",80,2.49395216599746e-05,2736.94403375428
"314260",6.53581521887292e-05,8.50366248018765e-05,7.26564889031186e-05,8.10436266922061e-05,8.46157317568482e-05,6.04394977819845e-05,8.52754710241986e-05,6.24479047177842e-05,4.85084448431149e-05,8.97234978150192e-05,7.50181223554005e-05,"v_776",115,2.51749660137959e-05,3936.24911781774
"1207504",5.80184666488184e-05,6.31025747537734e-05,5.50911838935734e-05,6.92738053883587e-05,6.09233268649307e-05,5.06323339909455e-05,5.75944280739352e-05,5.5804510598871e-05,2.30613918106612e-05,6.02429199615129e-05,4.50951634383587e-05,"v_911",72,2.58872867534754e-05,2758.59429933303
"1637853",6.32610991773261e-05,6.98515132301128e-05,6.78659511732426e-05,7.26366114751722e-05,8.63080463919852e-05,5.72464677104834e-05,7.00955442450219e-05,8.41496588395673e-05,4.69180040285866e-05,8.8868988312019e-05,6.82749203459263e-05,"v_919",55,2.51433169063663e-05,928.90268652276
"521",7.96880144333169e-05,8.80736471162292e-05,0,7.86896624314366e-05,9.19490951757751e-05,7.1843176608774e-05,6.47379230288419e-05,7.21915494255236e-05,0,8.33146765425178e-05,6.82749203459263e-05,"v_1067",115,2.52544384675607e-05,1232.31015092519
"1235827",6.22125726716246e-05,6.07404462870546e-05,5.42927609385941e-05,6.08667901713249e-05,7.61541585811634e-05,5.74745412870192e-05,5.22368068577552e-05,5.53616176576101e-05,4.37371223995299e-05,7.73331100215166e-05,5.520996645257e-05,"v_1122",60,2.57678829107401e-05,1228.21645469033
"1881017",0.000112192336110065,0.000123505574117011,0.000149305092581134,5.51500198237419e-05,7.61541585811634e-05,6.91062936903445e-05,6.92026073756585e-05,6.42194764828277e-05,4.21466815850015e-05,6.10974294645131e-05,6.4481869215597e-05,"v_1310",84,2.46487552378605e-05,1224.84978727279
"2726956",0.000125473671848951,0.000153538350336721,0.000214775774889438,3.93448312157183e-05,5.95130646689833e-05,5.17727018736244e-05,6.25055808554335e-05,3.76459000071749e-05,2.78327142542463e-05,7.56240910155162e-05,5.35241659502015e-05,"v_1318",142,2.48867652182569e-05,2304.64874998633
"2730847",6.22125726716246e-05,6.07404462870546e-05,7.50517577680565e-05,3.22829384334099e-05,4.45642853919401e-05,3.76321401284054e-05,4.86650593803018e-05,3.98603647134793e-05,1.43139673307552e-05,5.72521367010123e-05,4.55166135639508e-05,"v_1330",130,2.621987991295e-05,3994.45018730825
"1898684",7.9338505598083e-05,0.000153538350336721,0.000130941364616609,1.7150311042749e-05,2.90514012365179e-05,1.61932239340411e-05,2.23234217340834e-05,1.90443964742179e-05,2.2266171403397e-05,2.90533231020062e-05,2.48655574099361e-05,"v_1340",61,2.54123148077558e-05,1813.61437511846
"86185",7.0251275882003e-05,7.59255578588183e-05,8.70281020927464e-05,3.73271475636302e-05,4.7948914662214e-05,4.83515982255876e-05,4.59862487722118e-05,3.94174717722184e-05,3.73753591414164e-05,5.08433154285109e-05,4.80453143175037e-05,"v_1457",104,2.57526203291185e-05,2276.28076120616
"50340",3.25043216767477e-05,4.21808654771213e-05,3.51306100190903e-05,1.81591528687931e-05,2.31283000135385e-05,2.12108426178285e-05,2.14304848647201e-05,2.48020047106093e-05,1.82900693670761e-05,2.00809733205043e-05,2.23368566563833e-05,"v_1466",61,2.73478094404638e-05,3440.22271415651
"1301098",7.4794890740043e-05,9.0098328659131e-05,8.62296791377671e-05,6.45658768668198e-05,5.50002256419514e-05,4.44743474244791e-05,3.66104116438968e-05,4.0746150596001e-05,3.18088162905672e-05,5.21250796830112e-05,4.50951634383587e-05,"v_1474",79,2.5706940874036e-05,2080.70066534272
"46677",8.03870321037846e-05,8.97608817353141e-05,9.02217939126637e-05,3.73271475636302e-05,4.31540231959926e-05,4.44743474244791e-05,4.06286275560318e-05,4.11890435372619e-05,2.78327142542463e-05,5.34068439375114e-05,4.34093629359902e-05,"v_1510",102,2.56792152431822e-05,2500.32509103719
"1274359",6.25620815068584e-05,6.7826831687211e-05,0.000108585521877188,2.72387293031896e-05,4.20258134392346e-05,2.09827690412927e-05,3.08063219930351e-05,1.77157176504352e-05,3.1013595883303e-05,5.08433154285109e-05,3.28731097961867e-05,"v_1511",99,2.60722200495372e-05,4190.81376704552
"1421430",6.85037317058338e-05,6.27651278299564e-05,9.42139086875603e-05,2.58936068684642e-05,4.17437610000451e-05,4.10532437764423e-05,4.19680328600768e-05,3.18882917707834e-05,1.98805101816045e-05,5.72521367010123e-05,4.42522631871744e-05,"v_1512",117,2.61663657534605e-05,3551.51304930235
"122355",3.77469542052554e-05,5.02795916487285e-05,5.42927609385941e-05,2.62298874771455e-05,2.70770341621914e-05,3.05618592557959e-05,2.72345745155817e-05,2.92309341232181e-05,4.77132244358508e-06,3.97346918895085e-05,2.78157082890811e-05,"v_1522",63,2.6663111585122e-05,2694.36151112158
"64187",4.01935160518923e-05,4.35306531723891e-05,4.07195707039456e-05,4.0017392433081e-05,5.47181732027619e-05,3.3754889327297e-05,4.01821591213501e-05,3.63172211833922e-05,3.33992571050955e-05,3.97346918895085e-05,4.25664626848059e-05,"v_1676",49,2.68031842182851e-05,3935.28101336694
"1619313",3.39023570176831e-05,3.74566085436837e-05,3.4332187064111e-05,3.4300622085498e-05,5.21797012500564e-05,3.21583742915465e-05,3.97356906866685e-05,3.14453988295225e-05,2.2266171403397e-05,3.88801823865083e-05,3.87734115544766e-05,"v_2026",64,2.69643531251685e-05,2414.92467434133
"180957",2.13200389492646e-05,2.59834131339067e-05,3.4332187064111e-05,1.88317140861558e-05,2.70770341621914e-05,2.3947725536258e-05,2.36628270381284e-05,2.52448976518702e-05,1.19283061089627e-05,2.26445018295048e-05,2.10725062796069e-05,"v_2110",48,2.73680177344755e-05,3712.23515711231
"158850",9.08722971607999e-06,1.01234077145091e-05,8.78265250477257e-06,1.34512243472541e-06,5.35899634460039e-06,2.73688291842949e-06,4.46468434681668e-06,5.75760823639145e-06,1.59044081452836e-06,5.1270570180011e-06,4.21450125592137e-06,"v_2137",53,2.74846086191733e-05,3607.93218808871
"38313",3.8445971875723e-05,3.3744692381697e-05,2.31542656944004e-05,3.16103772160472e-05,3.10257683108444e-05,2.60003877250801e-05,3.43780694704884e-05,2.52448976518702e-05,1.90852897743403e-05,2.99078326050064e-05,2.78157082890811e-05,"v_2385",49,2.72613270814023e-05,4222.94309145712
