"","vcXtM2TOMPOOB050180.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"529",5.16250244696648e-05,2.66441845156222e-05,3.54314353008705e-05,4.92672508772776e-05,5.42927609385941e-05,3.75090611777002e-05,4.65386524662665e-05,3.63183057375861e-05,3.90840302208381e-05,4.28778323887286e-05,0.000181823133656498,"v_292",44,2.38464289972577e-05,2418.60194627631
"1076596",3.78981393505632e-05,4.25329184010849e-05,3.36598635358269e-05,4.72425693343758e-05,4.55101084338215e-05,2.86586085402653e-05,4.14617085608556e-05,2.69024486945082e-05,4.0416440342003e-05,3.90005815876202e-05,3.2989007372276e-05,"v_538",53,2.55245290724386e-05,4424.55963365642
"1591409",6.26662146741596e-05,5.10883904932572e-05,5.66902964813927e-05,7.49132170873674e-05,7.42533348130772e-05,6.27960687132285e-05,7.92567354122479e-05,5.81765453018741e-05,8.70507945827758e-05,6.38606014300213e-05,7.78694011229305e-05,"v_692",43,2.39992320245752e-05,4138.41003867121
"1705310",4.41647608179791e-05,3.81329613251106e-05,4.03032576547402e-05,4.21808654771213e-05,3.03400722892143e-05,4.50951634383587e-05,4.20258134392346e-05,3.53094639115421e-05,3.77516200996732e-05,3.74040665518696e-05,2.99202625004363e-05,"v_928",39,2.49289524854166e-05,1028.58198268218
"2498848",4.89393295550579e-05,4.69328754770592e-05,4.69466517736534e-05,8.33493901827916e-05,0.000108585521877188,5.05740150710565e-05,6.09233268649307e-05,4.13625148678064e-05,6.39556858159169e-05,6.34044542769497e-05,5.10178834943338e-05,"v_1316",57,2.4318474745264e-05,3140.3388690541
"253237",1.67109905797759e-05,1.22221029888175e-05,1.19581094140438e-05,5.16293793439964e-05,7.18580659481392e-05,1.55936546469091e-05,2.70770341621914e-05,1.00884182604406e-05,2.70923391303537e-05,1.66493710871127e-05,7.21155044882312e-05,"v_1341",37,2.47862188623126e-05,4262.03692802252
"200450",7.51994576089915e-05,7.55325964708922e-05,6.3333690600306e-05,0.000104608546383261,0.000120561866201878,7.16465213506634e-05,7.1359267114942e-05,5.51500198237419e-05,6.52880959370818e-05,6.22640863942708e-05,5.94569318918927e-05,"v_1432",35,2.38344932786729e-05,1806.84879248625
"86185",5.52059510224739e-05,4.10662660424268e-05,3.94174717722184e-05,7.59255578588183e-05,8.70281020927464e-05,4.80453143175037e-05,4.7948914662214e-05,3.73271475636302e-05,4.75226276548827e-05,4.83515982255876e-05,5.02506972763738e-05,"v_1457",39,2.38931498339426e-05,1497.31706303324
"1853130",4.32695291797768e-05,4.96217381345991e-05,4.8275330597436e-05,7.35634293920995e-05,7.50517577680565e-05,3.87734115544766e-05,5.44361207635724e-05,3.90085506070369e-05,4.0416440342003e-05,4.51585681540865e-05,3.37561935902359e-05,"v_1503",38,2.48286820935545e-05,4147.01480497515
"46677",4.86409190089905e-05,4.49773389988484e-05,4.11890435372619e-05,8.97608817353141e-05,9.02217939126637e-05,4.34093629359902e-05,4.31540231959926e-05,3.73271475636302e-05,5.90701820383121e-05,4.44743474244791e-05,3.10710418273762e-05,"v_1510",48,2.45049990198e-05,2710.38768262958
"83655",4.44631713640465e-05,4.66884334172829e-05,4.20748294197837e-05,5.26417201154473e-05,4.87038002537388e-05,3.91948616800688e-05,5.16155963716774e-05,3.66545863462675e-05,4.26371238772779e-05,4.62989360367655e-05,3.03038556094163e-05,"v_1850",44,2.52921240325763e-05,3145.58498948118
"565",2.77521807842707e-05,2.07775750809898e-05,2.25875400043049e-05,2.76706477529916e-05,3.35337641091316e-05,2.27583067819754e-05,2.6230876844623e-05,1.81591528687931e-05,2.97571593726835e-05,2.71407556077591e-05,2.22484003208373e-05,"v_1910",42,2.58544909250737e-05,3867.53269735083
