"","AYtCM2TOMPOOA100360.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"136857",7.64046481394898e-05,4.91115278149835e-05,7.0251275882003e-05,3.54237835789003e-05,4.99232817365405e-05,7.06177364217416e-05,5.401061769704e-05,5.6161071750936e-05,3.78948057417521e-05,5.04420913022029e-05,3.1013595883303e-05,"v_3500",124,2.49962505624156e-05,3477.74938762504
"38288",5.6562246980876e-05,4.82185909456201e-05,4.57856574156338e-05,2.10012431217766e-05,4.6256600027077e-05,4.79667643619377e-05,3.64461891776774e-05,4.22331259567039e-05,3.74641829492322e-05,4.37164791285759e-05,1.90852897743403e-05,"v_3502",121,2.57188416233733e-05,3325.12473785756
"1050174",3.58075515161191e-05,3.48245379051701e-05,3.28538305119815e-05,1.63202431488505e-05,3.18719256284128e-05,3.33102530291234e-05,2.54684213530758e-05,3.05516230325092e-05,2.23923852110353e-05,2.01768365208812e-05,1.98805101816045e-05,"v_3510",113,2.62605042016807e-05,2658.66303892378
"1724",3.14741535619391e-05,2.99133851236718e-05,2.69121803130061e-05,1.46755674826873e-05,2.98975585540864e-05,2.75364758374087e-05,3.24941927608208e-05,3.81895287906365e-05,1.98086484559159e-05,2.92564129552777e-05,2.06757305888687e-05,"v_3511",73,2.66446404305774e-05,4337.00831376017
"84096",4.69831567663728e-05,3.43780694704884e-05,3.80964630404892e-05,2.18868377112491e-05,4.48463378311296e-05,4.26371238772779e-05,4.87412891412312e-05,4.58274345487638e-05,2.28230080035552e-05,3.09378159986845e-05,2.30613918106612e-05,"v_3551",88,2.60057732816685e-05,3071.95189606318
"40567",3.32987421742254e-05,3.52710063398518e-05,3.77469542052554e-05,1.44225404571237e-05,2.5102667087865e-05,3.02012960797385e-05,2.76639749179961e-05,2.65080258664418e-05,2.45454991736349e-05,2.8583851737915e-05,9.54264488717015e-06,"v_3630",64,2.62143812095315e-05,4443.84135251007
"1960083",6.68255579249866e-05,5.17903384230735e-05,5.62709224726492e-05,2.82125133503384e-05,5.61284353987093e-05,6.43998225229719e-05,5.00586212801834e-05,4.67260116967787e-05,3.70335601567122e-05,4.74155658240708e-05,3.26040366978314e-05,"v_3727",126,2.52934034803723e-05,2386.0374905681
"1335613",0.000105826139512607,9.5544245021877e-05,0.000102755597558751,3.17548917082285e-05,8.82824134663117e-05,9.01597515321606e-05,8.60656997448767e-05,0.000102887083447715,4.39235248370308e-05,9.61762540828669e-05,3.1013595883303e-05,"v_3811",139,2.40396172892928e-05,3903.89985622101
"1126833",7.66327217160256e-05,8.25966604161086e-05,6.46591345182615e-05,5.46538375217319e-05,8.34875220000903e-05,7.37266933711264e-05,6.49883855216416e-05,9.16548690975275e-05,5.16747351023892e-05,7.90259430401179e-05,6.99793958392478e-05,"v_3948",115,2.43658780244146e-05,2724.28676818502
"1214604",5.10884811440171e-05,6.02732386820252e-05,5.62709224726492e-05,5.88287834435308e-05,6.00771695473622e-05,6.39556858159169e-05,5.75235034009125e-05,9.52491776895874e-05,5.68422086126281e-05,6.15393513886876e-05,5.08941060649075e-05,"v_4009",64,2.46816072662652e-05,2300.42618675897
"1584",2.87372706435096e-05,2.72345745155817e-05,2.62131626425384e-05,1.39164864059965e-05,3.32821878243603e-05,3.33102530291234e-05,3.02986391959005e-05,2.24644287003744e-05,1.50717977381968e-05,2.25308007816506e-05,2.14709509961328e-05,"v_4105",71,2.63365815117198e-05,750.771967110338
"1871021",3.17022271384749e-05,3.16992588623984e-05,2.48151273016031e-05,9.61502697141579e-06,2.1718037817591e-05,2.35392454739139e-05,2.37119785011395e-05,2.20151401263669e-05,1.16268153980376e-05,1.81591528687931e-05,1.03378652944343e-05,"v_4426",71,2.66595574513463e-05,4710.98004091368
"252966",2.89653442200454e-05,2.05375479953567e-05,1.64269152559908e-05,6.7052161774347e-06,2.73590866013809e-05,1.9542015110419e-05,1.66862070933945e-05,2.42615829964043e-05,1.93780256633959e-05,1.78228722601117e-05,2.38566122179254e-06,"v_4510",59,2.6998569075839e-05,3153.37781363807
"2487118",4.33339795418002e-06,1.4733458344495e-05,1.29318269036523e-05,2.78329728119931e-06,9.5897829324428e-06,1.64330581610342e-05,1.53688749544423e-05,8.98577148014976e-06,6.45934188779865e-06,3.02652547813218e-06,1.59044081452836e-06,"v_4572",80,2.70321412159057e-05,4532.48095053915
"44471",1.93862540055422e-05,1.74122689525851e-05,2.55141449720707e-05,9.23548643307043e-06,3.92052890473397e-05,2.39833821809688e-05,2.37119785011395e-05,2.96530458844942e-05,1.33493065681172e-05,2.65661680858269e-05,2.06757305888687e-05,"v_4603",70,2.69389294469438e-05,3376.81460123904
