"","cuu6M2TOMPOOB051315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"207340",7.36309538263422e-05,6.7710450558049e-05,7.83897233601376e-05,6.60773283328869e-05,5.6698003752811e-05,8.59791734675261e-05,5.94703177036528e-05,0.000100352373675748,5.48538145841333e-05,8.03572604760838e-05,6.07178137453073e-05,"v_522",43,2.39980801535877e-05,1437.74379601831
"441209",6.22729875446192e-05,4.74217595966119e-05,5.35241659502015e-05,4.46468434681668e-05,5.90852881213504e-05,6.25620815068584e-05,4.18494828284964e-05,5.2228849026696e-05,5.48538145841333e-05,4.43501820113905e-05,4.69378843846702e-05,"v_690",28,2.49289524854166e-05,1519.63422884302
"1591409",7.01060677389109e-05,5.10883904932572e-05,6.27960687132285e-05,7.14349495490669e-05,6.26662146741596e-05,8.03870321037846e-05,5.50651089848637e-05,6.38606014300213e-05,7.78694011229305e-05,6.67448283735778e-05,5.59809630275883e-05,"v_692",27,2.40621766645011e-05,4442.47342841268
"1637862",8.18556880303485e-05,6.99104290960362e-05,6.70105699691499e-05,6.38449861594785e-05,8.3256542352812e-05,6.39601168477938e-05,5.72677133442582e-05,6.6369410771915e-05,5.67717801290331e-05,0.000101434574699319,4.22010336669512e-05,"v_921",40,2.36049475970163e-05,1158.36807078874
"1267562",4.66068271560357e-05,7.3332617932905e-05,0.000101148030142113,5.58085543352085e-05,0.000109516670406746,3.73974453700215e-05,1.54182305157618e-05,2.85091970669738e-05,2.30155865387972e-05,0.000168618513785881,3.91866741193118e-05,"v_956",28,2.36401030708494e-05,2319.2309601188
"2771360",5.09150212628962e-05,5.40216952105734e-05,7.58610226065847e-05,3.66104116438968e-05,7.60946892471938e-05,4.05430248871261e-05,3.08364610315237e-05,2.80530499139022e-05,1.72616899040979e-05,0.00011987722464465,1.8947402870876e-05,"v_958",32,2.47066090179123e-05,3541.3963212549
"859655",4.93484052240378e-05,3.66663089664525e-05,3.49803604241474e-05,4.01821591213501e-05,3.78981393505632e-05,4.15915513928277e-05,3.52416697503128e-05,3.12460799854033e-05,3.03038556094163e-05,3.55679677517092e-05,3.70335601567122e-05,"v_991",34,2.58732212160414e-05,2358.97451276649
"2724470",6.85394517000526e-05,5.71994419876659e-05,6.78534702203341e-05,6.51843914635235e-05,6.56503201348338e-05,9.85614915359445e-05,7.70911525788092e-05,6.29483071238782e-05,5.7538966346993e-05,7.55270426332591e-05,5.08134895173494e-05,"v_1308",31,2.42624223602484e-05,3658.96039846571
"1283291",3.64238229034565e-05,3.15330257111492e-05,3.49803604241474e-05,4.77721225109385e-05,4.41647608179791e-05,4.43876220746984e-05,3.96468784691019e-05,3.8088287281477e-05,3.14546349363562e-05,4.56675141503427e-05,3.3588577816553e-05,"v_1327",32,2.52506123273489e-05,3123.15906041751
"384676",8.14640340206339e-05,6.3554935541851e-05,7.29108717274398e-05,8.43825341548353e-05,8.29581318067446e-05,0.00010904675659296,9.03067787351765e-05,7.27554709149172e-05,6.02241181098526e-05,8.60656997448767e-05,5.12441123098693e-05,"v_1476",40,2.39245896932868e-05,3972.09812432474
"104087",7.87224559526318e-05,7.03993132155889e-05,7.9654073736914e-05,9.19724975444236e-05,7.60946892471938e-05,0.000111143809604363,8.36989656569928e-05,0.000101264667981891,7.01975389433314e-05,9.70434675694783e-05,5.85646997827077e-05,"v_1481",27,2.37062323684897e-05,3075.76043510005
"1434072",4.66068271560357e-05,5.18217166725862e-05,3.45589102985553e-05,5.08974015537102e-05,5.99805197595527e-05,8.3882120456123e-05,5.50651089848637e-05,3.78602137049412e-05,4.14280557698349e-05,7.42097104943069e-05,3.3588577816553e-05,"v_1507",44,2.46226577696797e-05,2673.38610286382
"69218",3.52488608743127e-05,3.49552145480181e-05,2.65513579123047e-05,2.99133851236718e-05,2.74537702382032e-05,3.53003923586184e-05,2.86338566721291e-05,2.75969027608306e-05,2.37827727567571e-05,2.23946463621873e-05,2.58373675511946e-05,"v_1744",30,2.54725151561465e-05,3633.70306347996
"1891675",2.15409705343022e-05,1.8822038602779e-05,2.06510561540147e-05,1.607286364854e-05,1.96950960404501e-05,1.78249505969261e-05,1.54182305157618e-05,2.30354312301148e-05,1.38093519232783e-05,2.10773142232351e-05,1.4210552153157e-05,"v_2022",26,2.60423448527305e-05,2955.87785140358
"2033032",3.68154769131711e-05,3.12885836513728e-05,3.28731097961867e-05,3.12527904277168e-05,3.8494960442698e-05,3.11062863358123e-05,2.86338566721291e-05,3.90005815876202e-05,2.4549958974717e-05,2.7224864205012e-05,2.15311396259955e-05,"v_2494",33,2.59241976460829e-05,4556.85446563086
"2622240",4.22986330491753e-05,3.15330257111492e-05,2.1493956405199e-05,4.15215644253951e-05,3.31235706134843e-05,3.32033393472154e-05,3.08364610315237e-05,3.85444344345486e-05,2.57007383016569e-05,3.68852998906614e-05,2.45454991736349e-05,"v_2889",57,2.60960334029228e-05,3688.88794352577
