"","TECcM2TOMPOOA051310.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2018065",7.05420126797035e-05,5.72566451554673e-05,6.11741619438224e-05,5.06599002660746e-05,5.2535980687429e-05,7.32392998166276e-05,7.1865965574247e-05,3.95100902249352e-05,9.26198413369692e-05,5.84618682464363e-05,4.49199660010016e-05,"v_520",87,2.48391663975757e-05,4307.24395865187
"634177",4.10750959907135e-05,5.38720158851934e-05,5.55043615685413e-05,4.84572959066801e-05,2.54067447586747e-05,5.32649453211837e-05,4.71773175368356e-05,3.60577522441156e-05,4.40381132394646e-05,4.96040094212186e-05,4.71500352350939e-05,"v_528",40,2.57619084421774e-05,2914.24313701757
"1591409",7.14349495490669e-05,7.92567354122479e-05,6.26662146741596e-05,5.50651089848637e-05,5.59809630275883e-05,7.01060677389109e-05,5.10883904932572e-05,7.78694011229305e-05,8.03870321037846e-05,5.66902964813927e-05,6.65834957036123e-05,"v_692",53,2.48206706545211e-05,4347.78600988469
"1385591",6.83096705062952e-05,8.99747281014486e-05,8.3256542352812e-05,6.16729220630473e-05,5.42584718575086e-05,8.10723800109193e-05,0.000104132317464725,6.32928629816923e-05,6.99017670467692e-05,8.94643741346979e-05,7.83710045123858e-05,"v_937",54,2.40540735573569e-05,2593.09238812239
"2771360",3.66104116438968e-05,3.46924500203078e-05,7.60946892471938e-05,3.08364610315237e-05,1.8947402870876e-05,5.09150212628962e-05,5.40216952105734e-05,1.72616899040979e-05,4.05430248871261e-05,6.73197270716539e-05,2.48493428941711e-05,"v_958",36,2.52972426005565e-05,630.598149761407
"557598",3.75033485132601e-05,4.14617085608556e-05,3.55108549820237e-05,3.52416697503128e-05,2.58373675511946e-05,3.32905908257398e-05,3.37330042491363e-05,3.22218211543161e-05,3.25043216767477e-05,4.25177223610446e-05,2.86723187240436e-05,"v_1238",37,2.59733513415236e-05,4655.50233305477
"2049589",4.59862487722118e-05,5.30258585676249e-05,4.23742975415746e-05,4.62546915472855e-05,4.22010336669512e-05,4.26902870588899e-05,3.66663089664525e-05,4.52639868596345e-05,9.08722971607999e-05,4.56179729498707e-05,3.85483396178808e-05,"v_1322",33,2.50544935234134e-05,1873.08342184331
"1301098",3.66104116438968e-05,5.50002256419514e-05,3.87933709887654e-05,3.30390653909182e-05,2.62679903437145e-05,6.18813335349046e-05,4.35106866401903e-05,3.2605414263296e-05,7.4794890740043e-05,4.0746150596001e-05,8.44240495763506e-05,"v_1474",47,2.54498256686942e-05,1907.47344299989
"364197",6.47379230288419e-05,8.74362561487432e-05,6.41582674044967e-05,6.16729220630473e-05,5.94259453677476e-05,5.28732913114691e-05,6.25771673027457e-05,6.06077112188326e-05,0.000130017286706991,6.59910482478712e-05,6.08490319588036e-05,"v_1486",41,2.46445030435961e-05,3900.36538988734
"191390",5.08974015537102e-05,5.33079110068144e-05,4.98345611932602e-05,5.94703177036528e-05,3.3588577816553e-05,4.62151731463212e-05,4.20440342815322e-05,4.21952419877948e-05,9.47168943483722e-05,3.98603647134793e-05,3.56811077454765e-05,"v_1504",43,2.52569898719471e-05,3300.08968749941
