"","TECcM2TOMPOOA051310.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"395598",4.73256540762568e-05,5.16155963716774e-05,4.80440979168557e-05,4.62546915472855e-05,3.48804461941127e-05,3.79904389423148e-05,4.10662660424268e-05,3.52905660261557e-05,5.452337829648e-05,5.35900458925666e-05,3.09023879581359e-05,"v_1505",72,2.58478081058726e-05,3501.62238114332
"34062",1.56263952138584e-05,2.67949817230019e-05,1.58157589415736e-05,1.10130217969727e-05,1.29186837755973e-05,1.76244304371564e-05,1.66220600647918e-05,1.53437243591981e-05,1.60774064207569e-05,1.24010023553047e-05,2.16635297026107e-05,"v_1613",31,2.65929156472716e-05,1827.94246883746
"1134687",4.50933119028485e-05,5.69745927162778e-05,4.62536346404511e-05,2.64312523127346e-05,3.18660866464733e-05,3.8773746961744e-05,4.52217810586248e-05,4.25788350967748e-05,5.6620431307883e-05,4.8275330597436e-05,0,"v_1789",60,2.57181801815704e-05,947.326441353955
"244366",2.85739798196268e-05,2.87693487973284e-05,0,1.98234392345509e-05,0,2.85907427091648e-05,0,0,3.21548128415138e-05,3.54314353008705e-05,2.54865055324832e-05,"v_1791",47,2.57009946284921e-05,354.609292719963
"577",1.29475846057684e-05,2.3410352452728e-05,1.6114169487641e-05,1.32156261563673e-05,9.90432422795793e-06,1.99743544954439e-05,1.8822038602779e-05,1.38093519232783e-05,1.67764240912246e-05,1.59441458853917e-05,1.87962978302063e-05,"v_1872",31,2.68737738840665e-05,4359.81821463392
"1239307",2.72345745155817e-05,3.49745024594973e-05,3.93901920809003e-05,3.08364610315237e-05,2.71292359287543e-05,3.64238229034565e-05,3.07996995318201e-05,2.68515176285967e-05,3.180530400628e-05,3.98603647134793e-05,3.24952945539161e-05,"v_2165",48,2.63220236371772e-05,1968.47268552491
"1769779",7.63461023305652e-05,9.19490951757751e-05,8.68374689056211e-05,4.62546915472855e-05,6.15790593303471e-05,7.83308019429172e-05,8.01769956066429e-05,7.59514355780307e-05,7.61929260809784e-05,7.39631211905671e-05,7.42294473633573e-05,"v_2553",79,2.46451104100946e-05,3522.66951466661
"930806",6.16126439860702e-05,8.57439415136062e-05,6.32630357662944e-05,4.62546915472855e-05,5.03828667248295e-05,6.148967952519e-05,5.25550428519153e-05,5.7155373238013e-05,5.73194489783507e-05,4.96040094212186e-05,4.55571286393137e-05,"v_2568",62,2.53286390922216e-05,4442.23586988861
"145458",4.55397803375301e-05,5.020533417573e-05,3.61076760741586e-05,4.62546915472855e-05,3.70335601567122e-05,6.54062196223359e-05,4.3266244580414e-05,3.49069729171757e-05,4.01935160518923e-05,4.73895447149142e-05,2.54865055324832e-05,"v_3180",77,2.53350561171493e-05,2476.88753826639
"43663",3.61639432092151e-05,3.44103975811183e-05,2.08887382247199e-05,8.81041743757819e-05,1.8947402870876e-05,6.50145656126213e-05,2.4444205977635e-05,2.14812141028774e-05,2.79607068187077e-05,3.98603647134793e-05,2.58050868516392e-05,"v_3270",51,2.57115676342787e-05,2233.80671480828
"85693",4.10750959907135e-05,5.21797012500564e-05,4.14790659033723e-05,5.06599002660746e-05,4.95216211397896e-05,5.4831561360042e-05,3.9110729564216e-05,3.79757177890154e-05,5.2076816449843e-05,7.13057635430018e-05,5.09730110649664e-05,"v_3393",42,2.49059799257802e-05,828.270258997584
"29311",7.85784445039736e-05,0.000172051987905591,7.72883314314634e-05,6.38755264224419e-05,6.02871909527874e-05,9.39969623315007e-05,7.47992702915632e-05,0.000108173256732347,8.14355586094861e-05,9.12359458997414e-05,6.72206583419244e-05,"v_3412",49,2.38942916537239e-05,2132.29080793891
"1404244",7.63461023305652e-05,7.98208402906268e-05,5.49075404764065e-05,8.14963612975983e-05,5.77034541976679e-05,9.28220003023569e-05,7.06437552753652e-05,5.14014766033137e-05,7.54939084105107e-05,8.50354447220891e-05,6.05304506396476e-05,"v_3488",101,2.43019271428224e-05,1775.6962183255
"43770",4.33074381641218e-05,5.020533417573e-05,3.55108549820237e-05,4.84572959066801e-05,4.04785424968715e-05,5.0131713243467e-05,3.86218454446633e-05,4.14280557698349e-05,5.38243606260123e-05,5.31471529513057e-05,3.05838066389798e-05,"v_3499",68,2.54245906640903e-05,4292.39827522593
"39791",4.55397803375301e-05,4.93591768581615e-05,3.96886026269677e-05,3.96468784691019e-05,4.56460160071104e-05,5.20899832920399e-05,4.8155085775941e-05,4.02772764428951e-05,6.25620815068584e-05,5.35900458925666e-05,3.66368517029446e-05,"v_3501",72,2.50356758380692e-05,912.220203472954
"203263",3.52710063398518e-05,4.37181280743716e-05,2.4469664777529e-05,5.72677133442582e-05,2.97129726838738e-05,3.75987849326003e-05,3.07996995318201e-05,2.57007383016569e-05,3.56499011938523e-05,4.11890435372619e-05,2.58050868516392e-05,"v_3504",48,2.55963960274393e-05,3563.62759326793
"2051",1.91981426913117e-05,2.228214269597e-05,1.4025295665169e-05,1.54182305157618e-05,1.8947402870876e-05,2.42825486023043e-05,1.68665021245682e-05,1.99468416669576e-05,2.20190566197323e-05,2.79022552994355e-05,1.75219725535822e-05,"v_3748",38,2.65083236136147e-05,1644.31892836492
"2636013",4.68791856415751e-05,4.40001805135611e-05,4.56568135483163e-05,3.74442741097073e-05,2.97129726838738e-05,4.11236710200315e-05,3.54440986675708e-05,2.76187038465566e-05,4.7533201591803e-05,3.45456494183487e-05,2.96280626815117e-05,"v_3814",78,2.61062524474612e-05,4687.7344898194
"44251",7.45602285918386e-05,0.000143000586669074,7.43042259707892e-05,0.000118940635407306,4.52153932145905e-05,7.32392998166276e-05,7.16215235144706e-05,6.17584905457724e-05,8.17850674447199e-05,7.4406014131828e-05,5.89375440438674e-05,"v_3944",61,2.41173065792012e-05,2890.72852399095
"2044880",3.79498169479418e-05,4.00514463649082e-05,3.07362862449449e-05,2.422864795334e-05,2.54067447586747e-05,3.79904389423148e-05,3.17774677709255e-05,6.09913043278125e-05,3.39023570176831e-05,3.45456494183487e-05,2.73979934474194e-05,"v_3961",38,2.60098317163888e-05,2538.73289268062
"714067",0.000167425663005625,6.23335890608782e-05,0.000172182885080905,3.52416697503128e-05,2.79904815137941e-05,6.38396035834775e-05,4.98661801943754e-05,3.45233798081958e-05,4.50866397451661e-05,4.60608658911316e-05,3.50439451071644e-05,"v_4000",69,2.46050883322671e-05,311.893891326648
"2662419",4.37539065988035e-05,4.65386524662665e-05,3.52124444359563e-05,3.30390653909182e-05,3.91866741193118e-05,3.91654009714586e-05,3.47107724882417e-05,2.99202625004363e-05,4.68341839213353e-05,5.49187247163492e-05,2.99466440006677e-05,"v_4013",40,2.59437021662991e-05,3235.50995170727
"2610894",4.73256540762568e-05,3.92052890473397e-05,5.31170772000019e-05,4.62546915472855e-05,3.53110689866326e-05,5.0131713243467e-05,4.17995922217559e-05,3.75921246800354e-05,5.2076816449843e-05,4.8275330597436e-05,3.31324571922281e-05,"v_4325",39,2.5495245136782e-05,711.571953852428
"40520",6.25055808554335e-06,5.35899634460039e-06,4.77456873707882e-06,0,3.01435954763937e-06,4.69984811657503e-06,3.17774677709255e-06,2.68515176285967e-06,2.79607068187077e-06,3.54314353008705e-06,3.1858131915604e-06,"v_4423",35,2.56877905931311e-05,4333.74070228089
"2527973",7.14349495490669e-05,5.92310122297938e-05,4.74472768247208e-05,5.06599002660746e-05,2.8851727098834e-05,4.73901351754649e-05,3.78885192653343e-05,3.41397866992158e-05,5.24263252850769e-05,4.4732187067349e-05,5.41588242565268e-05,"v_4856",43,2.54809529876417e-05,4439.70860782422
"2528019",6.51843914635235e-05,6.17694841824992e-05,4.95361506471928e-05,6.38755264224419e-05,3.61723145716724e-05,4.77817891851795e-05,4.69328754770592e-05,3.49069729171757e-05,6.46591345182615e-05,4.87182235386969e-05,4.65128725967818e-05,"v_4865",55,2.512373439188e-05,1282.88539686404
"1441386",7.14349495490669e-06,6.48720610135836e-06,7.46026365168566e-06,0,2.15311396259955e-06,2.66324726605919e-05,8.31103003239591e-06,3.83593108979953e-06,1.43298622445877e-05,1.32867882378264e-05,5.41588242565268e-06,"v_5194",52,2.68817204301075e-05,3996.30734938475
"660522",6.56308598982052e-05,8.34875220000903e-05,7.31105837865195e-05,6.38755264224419e-05,6.71771556331059e-05,9.67385403995028e-05,8.75102573999334e-05,6.67452009625118e-05,8.91247529846307e-05,9.92080188424373e-05,6.78578209802365e-05,"v_5270",101,2.4075500770416e-05,2321.12483384964
"1932004",2.90204482543084e-05,4.42822329527506e-05,2.74537702382032e-05,4.62546915472855e-05,2.28230080035552e-05,4.38652490880336e-05,3.93551716239924e-05,3.45233798081958e-05,3.94944983814246e-05,4.8275330597436e-05,3.31324571922281e-05,"v_5287",44,2.56042605489553e-05,3008.54883393004
"1470066",3.57174747745334e-06,2.67949817230019e-05,1.01459585662925e-05,4.4052087187891e-06,1.72249117007964e-06,8.61638821372089e-06,7.57770385306686e-06,1.53437243591981e-06,6.99017670467692e-06,8.41496588395674e-06,5.73446374480872e-06,"v_5444",42,2.64137985683721e-05,1774.23548751785
"1470067",4.91115278149835e-06,2.42565097702965e-05,1.4025295665169e-05,0,1.72249117007964e-06,5.09150212628962e-06,5.13328325530335e-06,3.06874487183962e-06,6.29115903420923e-06,4.42892941260881e-06,6.3716263831208e-06,"v_5446",33,2.60960334029228e-05,1921.83381179358
