"","X1qGgM2TOMPOOM080340.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"181487",2.72004052480841e-05,3.52565548986868e-05,3.31324571922281e-05,3.36598635358269e-05,2.79448034242764e-05,3.3811524899773e-05,3.4221888368689e-05,4.03536730417624e-05,2.62679903437145e-05,4.53019441196078e-05,4.62546915472855e-05,"v_3734",47,2.52251343238403e-05,2954.67260487839
"2609299",1.91035404300498e-05,4.5692495148698e-05,4.23713154477533e-05,5.35900458925666e-05,3.83243018390076e-05,2.81030856309801e-05,3.59329827871235e-05,4.80881270414335e-05,3.10048410614335e-05,3.55309365643983e-05,2.86338566721291e-05,"v_3746",47,2.5333130668288e-05,2129.64084128121
"2636013",1.88505134044862e-05,4.40001805135611e-05,2.96280626815117e-05,3.45456494183487e-05,3.99211477489662e-05,3.60070784646933e-05,3.54440986675708e-05,4.33801985198945e-05,2.97129726838738e-05,4.66343542407727e-05,3.74442741097073e-05,"v_3814",36,2.58484762323261e-05,3816.84165710727
"2490858",2.65678376841752e-05,7.53080012635949e-05,5.16101737032785e-05,6.3333690600306e-05,7.82454495879738e-05,7.50879319202751e-05,6.40438196614037e-05,8.03710654748434e-05,4.779912996971e-05,7.59473769064013e-05,3.74442741097073e-05,"v_4002",59,2.4595405578238e-05,3843.33750662511
"2610894",2.4290594454103e-05,3.92052890473397e-05,3.31324571922281e-05,4.8275330597436e-05,3.59290329740696e-05,4.52284034373587e-05,4.17995922217559e-05,3.39643414768166e-05,3.53110689866326e-05,6.66205060582467e-05,4.62546915472855e-05,"v_4325",62,2.52672006468403e-05,1964.66211256562
"271",3.49177295277731e-05,7.70003158987319e-05,7.67780979166056e-05,8.63641235458717e-05,8.30359873178498e-05,7.94790390501157e-05,7.72436908893267e-05,7.86896624314366e-05,5.98565681602675e-05,9.23804350674355e-05,2.64312523127346e-05,"v_4679",108,2.43771634732583e-05,3694.94925027178
"2528007",4.87077024209879e-05,7.98208402906268e-05,7.45480286825133e-05,5.5804510598871e-05,4.71069543437802e-05,4.83021784282471e-05,4.69328754770592e-05,5.58225810411046e-05,3.74641829492322e-05,7.06177364217416e-05,5.06599002660746e-05,"v_4868",43,2.49538354045017e-05,3232.58420471155
"1441386",1.8977026917268e-06,6.48720610135836e-06,5.41588242565268e-06,1.32867882378264e-05,4.79053772987595e-06,1.71253178063785e-05,8.31103003239591e-06,6.72561217362706e-06,2.15311396259955e-06,1.15475543834294e-05,0,"v_5194",31,2.59141206043173e-05,2292.33827419169
"430914",2.01156485323041e-05,4.99232817365405e-05,3.72740143412567e-05,5.09326882450013e-05,3.75258788840283e-05,4.7863067715263e-05,3.69107510262289e-05,4.06899536504437e-05,2.32536307960751e-05,3.64192099785082e-05,3.74442741097073e-05,"v_5291",31,2.54686226568867e-05,2012.57900558693
"62320",3.58033241172456e-05,9.84363012771334e-05,6.21233572354278e-05,7.26344423667844e-05,7.58501807230359e-05,6.41101640956734e-05,6.7710450558049e-05,8.07073460835247e-05,5.51197174425485e-05,7.95004705628411e-05,7.48885482194146e-05,"v_5308",70,2.41062603958248e-05,2490.75352124495
"370324",2.20133512240309e-05,4.8513019540593e-05,3.63182703837885e-05,6.3333690600306e-05,5.50911838935734e-05,3.90808534555818e-05,4.69328754770592e-05,5.34686167803351e-05,3.22967094389932e-05,5.15198580183775e-05,5.06599002660746e-05,"v_5311",31,2.48861458825872e-05,774.624138662593
"1175445",1.16392431759244e-05,3.49745024594973e-05,2.4212180255859e-05,3.01167200057399e-05,3.03400722892143e-05,3.60070784646933e-05,3.25107939502546e-05,3.36280608681353e-05,2.23923852110353e-05,3.24219796150134e-05,2.422864795334e-05,"v_5363",48,2.61096605744125e-05,3294.80559437853
"1293037",8.22337833081614e-06,1.01538878108218e-05,1.21060901279295e-05,1.77157176504352e-05,1.03794984147312e-05,9.66043568564942e-06,1.41776394670283e-05,1.34512243472541e-05,5.16747351023892e-06,1.46565113328143e-05,8.81041743757819e-06,"v_5374",36,2.63726989820138e-05,3549.13023417146
"1470066",1.01210810225429e-06,2.67949817230019e-05,5.73446374480872e-06,8.41496588395674e-06,0,7.90399283371316e-06,7.57770385306686e-06,6.72561217362706e-06,1.72249117007964e-06,1.11034176763745e-05,4.4052087187891e-06,"v_5444",57,2.62281322946993e-05,3907.08605326011
"1353260",2.60617836330481e-05,9.16670427365856e-05,9.01585133211593e-05,9.87651259011764e-05,5.58896068485527e-06,6.54274962346256e-05,7.21104076340233e-05,0.000122742422168694,5.33972262724688e-05,9.68218021379853e-05,8.59015700163874e-05,"v_5458",139,2.3930887596621e-05,1477.88756131651
"2259672",4.80751348570789e-06,2.84872963581389e-05,5.73446374480872e-06,7.52918000143497e-06,1.59684590995865e-06,7.4648821207291e-06,7.82214591284321e-06,1.24423825212101e-05,1.29186837755973e-06,7.55032401993463e-06,2.20260435939455e-06,"v_5463",37,2.63984583300335e-05,3683.95127171038
"33847",3.39056214255188e-05,4.82309671014035e-05,5.76632187672432e-05,0.000131539203554482,2.15574197844418e-05,4.65457355763109e-05,3.66663089664525e-05,3.12740966073658e-05,1.4210552153157e-05,4.0860577049058e-05,3.30390653909182e-05,"v_5544",38,2.53190196475592e-05,1012.01238271165
