"","X1qGgM2TOMPOOM080340.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"440085",3.93457024751357e-05,7.72823683379214e-05,6.43534264695201e-05,6.06763329527407e-05,4.47116854788422e-05,5.57670605489762e-05,6.11105149440875e-05,6.15393513886876e-05,4.86603755547498e-05,7.15060098358515e-05,0.000149777096438829,"v_209",53,2.41756116429746e-05,719.64800515558
"1549855",2.32784863518488e-05,3.58206597770658e-05,3.69554330221006e-05,2.87880411819573e-05,3.4332187064111e-05,3.77635213166296e-05,2.90886051133857e-05,2.82475711292336e-05,3.18660866464733e-05,5.32964048465974e-05,2.20260435939455e-05,"v_515",47,2.58980136223552e-05,4172.97108265353
"2018065",3.99782700390446e-05,5.72566451554673e-05,4.49199660010016e-05,5.84618682464363e-05,6.46722593533253e-05,6.49883855216416e-05,7.1865965574247e-05,5.95216677365995e-05,5.2535980687429e-05,8.39418376333909e-05,5.06599002660746e-05,"v_520",31,2.4443901246639e-05,898.326781560906
"1296990",3.41586484510824e-05,5.64104878378988e-05,5.5751730852307e-05,5.97905470702189e-05,6.22769904883873e-05,5.26932855580878e-05,5.3777253150797e-05,6.42295962581384e-05,4.04785424968715e-05,5.77377719171472e-05,3.74442741097073e-05,"v_524",63,2.48515122145183e-05,1496.70661616825
"33995",3.2007918733792e-05,4.03334988040977e-05,5.51145682139949e-05,3.45456494183487e-05,6.22769904883873e-05,4.52284034373587e-05,3.8377403384887e-05,3.90085506070369e-05,3.05742182689136e-05,3.41985264432333e-05,1.76208348751564e-05,"v_530",43,2.4955080854462e-05,2695.32740559766
"314260",5.40212699578229e-05,8.46157317568482e-05,7.90081671506979e-05,6.24479047177842e-05,7.26564889031186e-05,7.90399283371316e-05,7.16215235144706e-05,8.10436266922061e-05,5.89953225752277e-05,7.10618731287965e-05,5.50651089848637e-05,"v_776",45,2.40471323794638e-05,1205.24009365104
"2811789",3.68154322194999e-05,8.09490500473848e-05,7.1680796810109e-05,7.66204788381324e-05,7.90438725429532e-05,7.77225961981794e-05,6.69771243787199e-05,8.17161879095688e-05,4.82297527622299e-05,7.41708300781814e-05,4.4052087187891e-05,"v_922",62,2.45513245439591e-05,2988.86287922424
"1795043",3.18814052210103e-05,6.68464280879101e-05,4.74686165542499e-05,5.84618682464363e-05,4.23164166139042e-05,7.33314890683388e-05,5.84216522865477e-05,5.48137392150605e-05,3.61723145716724e-05,5.68494985030372e-05,7.26859438600201e-05,"v_925",48,2.45676100628931e-05,1721.81658232742
"2811788",3.54237835789003e-05,6.54361658919626e-05,5.35216616182147e-05,6.3333690600306e-05,6.1478567533408e-05,8.73830318838289e-05,7.13770814546943e-05,5.44774586063792e-05,4.69378843846702e-05,6.92853263005766e-05,7.04833395006255e-05,"v_926",36,2.43979798472686e-05,2964.28558592662
"1636423",6.57870266465291e-06,1.55128841554222e-05,1.08317648513054e-05,1.32867882378264e-05,8.78265250477257e-06,4.21546284464702e-05,1.93109227223317e-05,1.1433540695166e-05,7.32058747283847e-06,1.64330581610342e-05,1.32156261563673e-05,"v_939",45,2.63622703187198e-05,1760.35114748327
"2584944",5.9334837494658e-05,0.000118462024459588,8.25125616614143e-05,8.06065153094803e-05,8.38344102728291e-05,7.28923783553547e-05,9.04435621172496e-05,8.74329582571518e-05,6.6746532840586e-05,7.77239237346212e-05,4.84572959066801e-05,"v_1151",54,2.40407731512645e-05,1601.26758938583
"557598",2.18868377112491e-05,4.14617085608556e-05,2.86723187240436e-05,4.25177223610446e-05,3.51306100190903e-05,2.89813070569483e-05,3.37330042491363e-05,2.69024486945082e-05,2.58373675511946e-05,2.70923391303537e-05,3.52416697503128e-05,"v_1238",43,2.57519571487433e-05,2830.91738473874
"2726956",4.66834862164793e-05,5.95130646689833e-05,6.56277517461442e-05,3.76459000071749e-05,0.000214775774889438,0.000121633667496586,4.3999570759743e-05,3.93448312157183e-05,4.26316564594711e-05,7.15060098358515e-05,4.18494828284964e-05,"v_1318",49,2.38640702558228e-05,3114.77393397138
"2749999",3.0869297118756e-05,5.33079110068144e-05,4.07784088519731e-05,5.53616176576101e-05,0.000114972905517023,6.32319426697053e-05,4.3266244580414e-05,3.76634281723115e-05,4.47847704220706e-05,5.37405415536524e-05,5.94703177036528e-05,"v_1321",38,2.41120729149085e-05,458.941756981652
"2049589",3.82070808600996e-05,5.30258585676249e-05,3.85483396178808e-05,4.56179729498707e-05,0.000133336633481547,7.90399283371316e-05,3.66663089664525e-05,2.55573262597828e-05,4.22010336669512e-05,5.24081314324874e-05,4.62546915472855e-05,"v_1322",61,2.44200244200244e-05,3562.18036290914
"2774873",2.65678376841752e-05,4.93591768581615e-05,3.79111769795687e-05,3.85316858896966e-05,0.000127747672796692,7.28923783553547e-05,4.44884548792957e-05,3.49731833028607e-05,2.79904815137941e-05,5.95143187453671e-05,5.28625046254692e-05,"v_1326",88,2.47261578023391e-05,4163.63793005225
"1649877",2.72004052480841e-05,3.77950268513922e-05,3.88669209370369e-05,4.51750800086098e-05,8.38344102728291e-05,4.17155177334861e-05,3.27552360100309e-05,3.56457445202234e-05,2.71292359287543e-05,3.90840302208381e-05,5.06599002660746e-05,"v_1332",32,2.47096614776378e-05,1705.89956788911
"2025658",1.41695134315601e-05,2.2846247574349e-05,1.87962978302063e-05,1.68299317679135e-05,5.908329866847e-05,3.68852998906614e-05,2.19997853798715e-05,1.58051886080236e-05,1.93780256633959e-05,2.44275188880238e-05,2.64312523127346e-05,"v_1350",38,2.51369966316425e-05,2907.34952303953
"198620",5.41477834706047e-05,7.61541585811634e-05,6.18047759162717e-05,7.041997766048e-05,9.8206023462457e-05,9.08959175877014e-05,6.15993990636403e-05,4.74155658240708e-05,3.22967094389932e-05,7.28384199570165e-05,8.36989656569928e-05,"v_1490",59,2.41510892141236e-05,3019.32871352836
"702115",5.37682429322593e-05,6.37438512568257e-05,5.16101737032785e-05,5.53616176576101e-05,0.000110182367787147,6.63057176605938e-05,4.8155085775941e-05,5.21234943456097e-05,4.56460160071104e-05,6.52880959370818e-05,8.36989656569928e-05,"v_1496",38,2.40998698607028e-05,4105.09881492419
"1691904",3.7954053834536e-05,6.12053793041202e-05,5.67074748097751e-05,3.63172211833922e-05,0.000198008892834873,8.73830318838289e-05,3.37330042491363e-05,3.66545863462675e-05,3.8325428534272e-05,4.79667643619377e-05,3.08364610315237e-05,"v_1498",51,2.38595151746516e-05,2149.34045896593
"86265",3.27669998104828e-05,5.83848549122253e-05,3.9822664894505e-05,3.94174717722184e-05,7.42533348130772e-05,5.35715069840559e-05,3.78885192653343e-05,3.09378159986845e-05,3.87560513267919e-05,4.44136707054978e-05,9.69145918133601e-05,"v_1500",49,2.43979798472686e-05,3976.88351838599
"1853130",2.51761890435756e-05,5.44361207635724e-05,3.53625264263204e-05,4.8275330597436e-05,7.50517577680565e-05,6.63057176605938e-05,4.96217381345991e-05,3.90085506070369e-05,2.8851727098834e-05,4.0416440342003e-05,5.72677133442582e-05,"v_1503",58,2.45140097565759e-05,3875.02734914595
"46677",3.18814052210103e-05,4.31540231959926e-05,5.28844989799026e-05,4.11890435372619e-05,9.02217939126637e-05,8.56265890318926e-05,4.49773389988484e-05,3.73271475636302e-05,3.22967094389932e-05,5.90701820383121e-05,4.62546915472855e-05,"v_1510",63,2.45664029872746e-05,2513.5765120894
"1134687",0,5.69745927162778e-05,0,4.8275330597436e-05,5.10990691186768e-05,4.87412891412312e-05,4.52217810586248e-05,4.33801985198945e-05,3.18660866464733e-05,4.61902175337177e-05,2.64312523127346e-05,"v_1789",80,2.52264070028506e-05,901.452052086055
"1646377",1.88505134044862e-05,3.55386073378763e-05,2.58050868516392e-05,3.63172211833922e-05,3.75258788840283e-05,3.24941927608208e-05,3.76440772055579e-05,3.53094639115421e-05,2.4114876381115e-05,4.44136707054978e-05,4.4052087187891e-05,"v_2003",32,2.50068768911451e-05,1333.23444586244
"1484158",2.37845404029759e-05,2.84872963581389e-05,2.26192736600788e-05,2.39162188280876e-05,3.67274559290489e-05,3.29333034738049e-05,2.51775321569641e-05,1.95042753035185e-05,2.8421104306314e-05,3.37543897361784e-05,1.54182305157618e-05,"v_2009",34,2.56272263652905e-05,2996.43512505951
"472759",1.63202431488505e-05,3.44103975811183e-05,3.56811077454765e-05,2.03730752980005e-05,1.99605738744831e-05,1.97599820842829e-05,2.24886694994242e-05,1.81591528687931e-05,2.06698940409557e-05,2.66482024232987e-05,1.10130217969727e-05,"v_2196",33,2.63775685157342e-05,3743.67307939832
"2686360",3.63093781683728e-05,5.75386975946568e-05,5.00172671074983e-05,4.0746150596001e-05,5.10990691186768e-05,4.21546284464702e-05,5.15772746128099e-05,5.04420913022029e-05,3.74641829492322e-05,4.79667643619377e-05,4.18494828284964e-05,"v_2255",41,2.51483754149482e-05,3369.37746118313
"2738883",3.80805673473178e-05,6.93849000406155e-05,4.46013846818456e-05,3.63172211833922e-05,4.79053772987595e-05,4.87412891412312e-05,6.25771673027457e-05,4.87606882587962e-05,3.70335601567122e-05,5.37405415536524e-05,3.08364610315237e-05,"v_2735",40,2.51395243601991e-05,1421.19322774775
"67258",4.035781057739e-05,6.79746378446681e-05,7.07250528526409e-05,7.48489070730889e-05,4.31148395688835e-05,5.66452819749443e-05,9.53324033127766e-05,8.17161879095688e-05,5.55503402350684e-05,8.30535642192809e-05,7.04833395006255e-05,"v_3121",69,2.38367658276125e-05,4167.82815763762
"75293",1.55611620721598e-05,5.24617536892459e-05,3.9822664894505e-05,7.39631211905671e-05,2.39526886493797e-05,4.30328498724383e-05,0.000143243047028941,4.5734162780664e-05,3.18660866464733e-05,5.86260453312571e-05,6.38755264224419e-05,"v_3124",87,2.47616689364863e-05,2139.54025761942
"145458",2.79594863247749e-05,5.020533417573e-05,2.54865055324832e-05,4.73895447149142e-05,2.55495345593384e-05,3.4250635612757e-05,4.3266244580414e-05,3.09378159986845e-05,3.70335601567122e-05,3.81957568067281e-05,4.62546915472855e-05,"v_3180",56,2.51800372664552e-05,1375.51029219916
"37929",2.39110539157577e-05,3.15898731892233e-05,2.89909000431996e-05,4.16319364785228e-05,2.63479575143177e-05,2.59075320660598e-05,2.76219527547276e-05,3.19466578247285e-05,2.79904815137941e-05,5.32964048465974e-05,3.52416697503128e-05,"v_3258",57,2.52735865746708e-05,3402.24062212187
"85693",2.87185674014656e-05,5.21797012500564e-05,5.09730110649664e-05,7.13057635430018e-05,2.55495345593384e-05,3.95199641685658e-05,3.9110729564216e-05,5.11146525195656e-05,4.95216211397896e-05,4.88550377760476e-05,5.06599002660746e-05,"v_3393",41,2.49681655888742e-05,3673.28559070226
"191292",1.13862161503608e-05,2.87693487973284e-05,1.78405538727382e-05,3.23311847120443e-05,2.23558427394211e-05,1.62470963804104e-05,3.71551930860052e-05,2.42122038250574e-05,1.80861572858362e-05,2.57599290091887e-05,4.18494828284964e-05,"v_3452",34,2.55408270119786e-05,2961.93387168656
"152794",2.78329728119931e-05,6.28976939392572e-05,4.30084780860654e-05,6.3333690600306e-05,4.55101084338215e-05,4.83021784282471e-05,4.54662231184011e-05,4.50616015633013e-05,4.56460160071104e-05,6.88411895935216e-05,6.8280735141231e-05,"v_3493",53,2.44486822160286e-05,2227.7313286393
"39791",2.39110539157577e-05,4.93591768581615e-05,3.66368517029446e-05,5.35900458925666e-05,5.74864527585114e-05,4.30328498724383e-05,4.8155085775941e-05,5.41411779976978e-05,4.56460160071104e-05,6.39556858159169e-05,3.96468784691019e-05,"v_3501",42,2.52978825672291e-05,4118.16488904513
"38288",2.10012431217766e-05,4.6256600027077e-05,4.49199660010016e-05,4.4732187067349e-05,2.63479575143177e-05,3.64461891776774e-05,3.61774248468998e-05,4.37164791285759e-05,3.74641829492322e-05,4.79667643619377e-05,4.4052087187891e-05,"v_3502",80,2.55408270119786e-05,3847.42952688475
