"","pse1M2MAIPOOA100685.extra.kraken2.report","AJwcM2MAIPOOA100700.extra.kraken2.report","qU3SM2MAIPOOM070605.extra.kraken2.report","B7zTM2MAIPOOA070610.extra.kraken2.report","c5isM2MAIPOOA070615.extra.kraken2.report","TgLUM2MAIPOOM070620.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"1944646",1.98416241559869e-06,1.07910832449064e-05,1.62299965292777e-05,3.91944239399541e-05,1.02937846128508e-05,1.11008688991653e-05,"v_798",106,3.48310693138279e-05,2630.35534707641
"1664069",1.78574617403882e-05,3.20965552925421e-05,3.91184531731308e-05,5.87916359099312e-05,2.24938256354887e-05,3.54373891781045e-05,"v_831",97,3.43654421114128e-05,4048.77481510403
"1184",9.92081207799346e-06,1.96453053945732e-05,4.11992219589356e-05,3.26620199499618e-05,2.0968820507659e-05,1.49434773642609e-05,"v_1411",93,3.51666901111267e-05,4119.90573290817
"43988",1.19049744935921e-05,1.54948887619169e-05,5.78453722453742e-05,3.91944239399541e-05,3.27876102483395e-05,2.26286942944523e-05,"v_1456",90,3.46332340513957e-05,2592.32370981182
"2434",5.1588222805566e-05,5.03583884762299e-05,0,7.83888478799083e-05,5.6043938447743e-05,5.93469529609219e-05,"v_2150",92,3.20358801858081e-05,602.916857297938
"859657",1.98416241559869e-06,6.91736105442718e-06,5.40999884309256e-06,6.53240398999236e-06,6.48127179327641e-06,7.68521693019133e-06,"v_2460",93,3.34941050375134e-05,4104.8586295406
"55211",2.38099489871843e-05,2.32423331428753e-05,1.83107653150825e-05,3.91944239399541e-05,2.47813333272333e-05,3.24486937052523e-05,"v_3320",101,3.43182676138509e-05,4114.2656371654
"588898",2.38099489871843e-05,0.00017570097078245,3.16276855442334e-05,6.53240398999236e-05,4.00313846055307e-05,4.95269535501219e-05,"v_4536",157,3.30840997816449e-05,538.23632501092
