"","iYASM2TOMPOOA050195.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"634177",4.44795688267413e-05,4.44743474244791e-05,2.54067447586747e-05,4.96040094212186e-05,4.10750959907135e-05,3.65801387341523e-05,5.38720158851934e-05,4.50951634383587e-05,4.71069543437802e-05,5.77034239727019e-05,4.84572959066801e-05,"v_528",61,2.7241275981367e-05,2985.66612283064
"1840265",8.98577148014976e-06,2.73688291842949e-06,6.02871909527874e-06,3.98603647134793e-06,1.071524243236e-05,7.95220407264179e-07,1.01538878108218e-05,5.90030175828992e-06,1.67668820545658e-05,1.01234077145091e-05,0,"v_855",56,2.79923860709887e-05,3149.78962898231
"32009",6.20018232130333e-05,4.28778323887286e-05,4.47847704220706e-05,5.53616176576101e-05,4.91115278149835e-05,3.26040366978314e-05,5.21797012500564e-05,5.01525649454644e-05,5.74864527585114e-05,6.00655524394207e-05,5.72677133442582e-05,"v_944",91,2.6916451335056e-05,3764.02614665263
"521",8.85098490794751e-05,7.1843176608774e-05,8.00958394087032e-05,7.21915494255236e-05,6.47379230288419e-05,0,9.19490951757751e-05,6.82749203459263e-05,0,8.80736471162292e-05,5.72677133442582e-05,"v_1067",62,2.54816022831516e-05,252.364908367454
"490",1.52758115162546e-05,8.66679590836004e-06,1.20574381905575e-05,1.24010023553047e-05,1.69658005179034e-05,1.59044081452836e-06,1.91795658648856e-05,9.69335288861916e-06,6.3873836398346e-06,1.82221338861164e-05,3.30390653909182e-05,"v_1258",58,2.83937647292655e-05,1249.8916049782
"2498848",4.98710317148312e-05,6.34044542769497e-05,3.66029373641923e-05,4.69466517736534e-05,5.75944280739352e-05,2.62422734397179e-05,6.09233268649307e-05,5.05740150710565e-05,0.000108585521877188,8.33493901827916e-05,3.52416697503128e-05,"v_1316",91,2.68369921099243e-05,3444.94214266317
"2726956",5.21174745848686e-05,5.17727018736244e-05,4.26316564594711e-05,3.76459000071749e-05,6.25055808554335e-05,2.78327142542463e-05,5.95130646689833e-05,5.35241659502015e-05,0.000214775774889438,0.000153538350336721,4.18494828284964e-05,"v_1318",105,2.57479787836655e-05,1031.55375928652
"2320270",3.95373945126589e-05,4.01409494702991e-05,3.27273322315131e-05,4.03032576547402e-05,4.06286275560318e-05,2.86279346615105e-05,5.10514914932984e-05,4.25664626848059e-05,0.00010619025301225,6.88391724586619e-05,2.64312523127346e-05,"v_1324",98,2.70599377621431e-05,2575.49955584466
"2774873",4.40302802527338e-05,3.62636986691907e-05,2.79904815137941e-05,3.85316858896966e-05,6.69702652022502e-05,2.38566122179254e-05,4.93591768581615e-05,4.2987912810398e-05,0.000127747672796692,8.53740717256934e-05,5.28625046254692e-05,"v_1326",94,2.65090263234631e-05,1837.31564476459
"658644",3.8638817364644e-05,3.05618592557959e-05,2.11005168334756e-05,2.56877905931311e-05,3.08063219930351e-05,2.46518326251896e-05,3.13078207500338e-05,3.58232606753317e-05,6.78659511732426e-05,5.02795916487285e-05,3.30390653909182e-05,"v_1339",88,2.75315235945157e-05,3564.32202046141
"86185",5.4363917454906e-05,4.83515982255876e-05,4.00479197043516e-05,3.94174717722184e-05,4.59862487722118e-05,3.73753591414164e-05,4.7948914662214e-05,4.80453143175037e-05,8.70281020927464e-05,7.59255578588183e-05,3.30390653909182e-05,"v_1457",95,2.69005218701243e-05,3578.4609470476
"1691904",4.08852602346814e-05,4.15093909295139e-05,3.8325428534272e-05,3.63172211833922e-05,4.77721225109385e-05,3.49896979196239e-05,6.12053793041202e-05,4.2987912810398e-05,0.000198008892834873,0.000156237925727257,3.08364610315237e-05,"v_1498",86,2.59241976460829e-05,629.001725576272
"1853130",4.71753002707862e-05,4.51585681540865e-05,2.8851727098834e-05,4.8275330597436e-05,5.17903384230735e-05,2.78327142542463e-05,5.44361207635724e-05,3.87734115544766e-05,7.50517577680565e-05,7.35634293920995e-05,5.72677133442582e-05,"v_1503",81,2.66028198989093e-05,3793.10484248295
"191390",4.58274345487638e-05,4.33339795418002e-05,3.3588577816553e-05,3.98603647134793e-05,5.08974015537102e-05,3.18088162905672e-05,5.33079110068144e-05,4.88882145686879e-05,0.000102198138237354,6.64770439919431e-05,5.94703177036528e-05,"v_1504",69,2.62998711306315e-05,1097.44334323397
"46677",4.67260116967787e-05,4.44743474244791e-05,3.22967094389932e-05,4.11890435372619e-05,4.06286275560318e-05,2.78327142542463e-05,4.31540231959926e-05,4.34093629359902e-05,9.02217939126637e-05,8.97608817353141e-05,4.62546915472855e-05,"v_1510",54,2.64991917746509e-05,528.281814435258
