"ID","Etapa_fenologica"
"Ia7iM2MAIPOOB100245.extra.kraken2.report","Produccion"
"P0ZQM2MAIPOOA100240.extra.kraken2.report","Produccion"
"qU3SM2MAIPOOM070605.extra.kraken2.report","Formacion espiga"
"B7zTM2MAIPOOA070610.extra.kraken2.report","Formacion espiga"
"c5isM2MAIPOOA070615.extra.kraken2.report","Formacion espiga"
"TgLUM2MAIPOOM070620.extra.kraken2.report","Formacion espiga"
"pse1M2MAIPOOA100685.extra.kraken2.report","Produccion"
"AJwcM2MAIPOOA100700.extra.kraken2.report","Produccion"
